rank,character,read_value,candidates,correct
1,Villager,271357.0,{'271357': 3},
2,Ike,78463.0,{'78463': 3},
3,King Dedede,59806.0,"{'99806': 2, '59806': 1}",
4,Cloud,35060.0,{'35060': 4},
5,Corrin,34317.0,{'34317': 6},
6,Palutena,24709.0,{'24709': 6},
7,Little Mac,24439.0,{'24439': 6},
8,Byleth,17925.0,{'17925': 6},
9,Shulk,15900.0,{'15900': 3},
10,Ganondorf,9480.0,{'9480': 3},
11,Bayonetta,6967.0,{'6967': 6},
12,Dark Pit,4939.0,{'4939': 3},
13,Hero,3739.0,{'3739': 3},
14,Young Link,2739.0,{'2739': 3},
15,Captain Falcon,2657.0,{'2657': 3},
16,Bowser,2624.0,{'2624': 3},
17,Samus,2302.0,{'2302': 3},
18,Terry,2234.0,{'2234': 3},
19,Luigi,1542.0,{'1542': 3},
20,Banjo and Kazooie,1491.0,{'1491': 3},
21,Fox,1343.0,{'1343': 3},
22,King K Rool,1238.0,{'1238': 3},
23,Link,1030.0,{'1030': 3},
24,Snake,1006.0,{'1006': 3},
25,Jigglypuff,901.0,{'901': 3},
26,Isabelle,892.0,{'892': 3},
27,Donkey Kong,866.0,{'866': 3},
28,Min Min,618.0,{'618': 3},
29,Pit,506.0,{'506': 3},
30,Kirby,501.0,"{'901': 2, '501': 1}",
31,Toon Link,465.0,{'465': 3},
32,Lucario,458.0,{'458': 6},
33,Zelda,439.0,{'439': 3},
34,Ridley,434.0,{'434': 3},
35,Ness,390.0,{'390': 3},
36,Lucas,389.0,{'389': 3},
37,Ice Climbers,388.0,{'388': 3},
38,Pac-Man,350.0,{'350': 3},
39,Falco,341.0,{'341': 6},
40,Marth,336.0,{'336': 3},
41,Mario,334.0,{'334': 3},
42,Chrom,329.0,{'329': 3},
43,Zero Suit Samus,300.0,{'300': 3},
44,Peach,293.0,{'293': 3},
45,Sephiroth,291.0,"{'291': 3, '22': 2, '272': 1}",
46,Meta Knight,288.0,{'288': 3},
47,Pichu,286.0,{'286': 3},
48,Mega Man,211.0,"{'211': 2, '21': 1}",
49,Yoshi,201.0,{'201': 3},
50,Joker,156.0,{'156': 3},
51,Piranha Plant,89.0,{'89': 3},
52,Inkling,41.0,{'41': 6},
53,Dark Samus,0.0,{'0': 1},
53,Pikachu,0.0,{'0': 1},
53,Daisy,0.0,{'0': 1},
53,Sheik,0.0,{'0': 2},
53,Dr Mario,0.0,{'0': 2},
53,Lucina,0.0,{'0': 1},
53,Mewtwo,0.0,{'0': 4},
53,Roy,0.0,{'0': 1},
53,Mr Game and Watch,0.0,{'0': 2},
53,Wario,0.0,{'0': 2},
53,Pokemon Trainer,0.0,{'0': 1},
53,Diddy Kong,0.0,{'0': 1},
53,Sonic,0.0,{'0': 2},
53,Olimar,0.0,{'0': 3},
53,ROB,0.0,{'0': 2},
53,Wii Fit Trainer,0.0,{'0': 2},
53,Rosalina and Luma,0.0,{'0': 1},
53,Greninja,0.0,{'0': 2},
53,Robin,0.0,{'0': 1},
53,Bowser Jr,0.0,{'0': 2},
53,Duck Hunt,0.0,{'0': 4},
53,Ryu,0.0,{'0': 1},
53,Ken,0.0,{'0': 2},
53,Simon,0.0,{'0': 3},
53,Richter,0.0,{'0': 1},
53,Incineroar,0.0,{'0': 3},
53,Steve,0.0,{'0': 3},
53,Pyra-Mythra,0.0,{'0': 4},
53,Kazuya,0.0,{'0': 2},
53,Sora,0.0,{'0': 3},
53,Mii Brawler,0.0,{'0': 1},
53,Mii Swordsman,0.0,{'0': 2},
53,Mii Gunner,0.0,{'0': 2},
