rank,character,read_value,candidates,correct
1,Villager,382132.0,{'382132': 3},
2,Ike,101447.0,{'101447': 1},
3,King Dedede,77945.0,{'77945': 3},
4,Corrin,47261.0,{'47261': 6},
5,Cloud,45078.0,{'45078': 6},
6,Palutena,32074.0,{'32074': 6},
7,Little Mac,28333.0,{'28333': 6},
8,Shulk,19816.0,{'19816': 6},
9,Byleth,19700.0,{'19700': 3},
10,Ganondorf,10733.0,{'10733': 3},
11,Bayonetta,9687.0,{'9687': 3},
12,Dark Pit,6626.0,{'6626': 3},
13,Young Link,4285.0,{'4285': 3},
14,Hero,4108.0,{'4108': 3},
15,Samus,3307.0,{'3307': 3},
16,Bowser,3230.0,{'3230': 3},
17,Captain Falcon,3214.0,{'3214': 3},
18,Terry,3186.0,{'3186': 6},
19,Fox,1899.0,{'1899': 3},
20,Luigi,1833.0,{'1833': 3},
21,Banjo and Kazooie,1660.0,{'1660': 3},
22,Link,1544.0,{'1544': 3},
23,King K Rool,1206.0,{'1206': 3},
24,Isabelle,1188.0,{'1188': 3},
25,Donkey Kong,1187.0,{'1187': 3},
26,Toon Link,934.0,{'934': 3},
27,Jigglypuff,878.0,{'878': 3},
28,Snake,851.0,{'851': 3},
29,Min Min,803.0,{'803': 3},
30,Kirby,676.0,{'676': 3},
31,Pac-Man,658.0,{'658': 3},
32,Lucario,597.0,{'597': 3},
33,Ness,561.0,{'561': 3},
34,Lucas,547.0,"{'47': 2, '547': 1}",
35,Falco,541.0,"{'41': 2, '541': 1}",
36,Ridley,534.0,"{'934': 2, '534': 1}",
37,Peach,506.0,{'506': 3},
38,Zero Suit Samus,476.0,{'476': 3},
39,Ice Climbers,460.0,{'460': 3},
40,Sephiroth,456.0,"{'456': 3, '312': 3}",
41,Pit,448.0,{'448': 3},
42,Chrom,431.0,{'431': 3},
43,Zelda,405.0,{'405': 3},
44,Meta Knight,387.0,{'387': 3},
45,Mario,355.0,"{'395': 2, '355': 1}",
45,Yoshi,355.0,"{'55': 2, '355': 1}",
47,Pichu,264.0,{'264': 3},
48,Marth,249.0,{'249': 3},
49,Joker,154.0,{'154': 3},
50,Mega Man,127.0,{'127': 3},
51,Piranha Plant,108.0,{'108': 3},
52,Inkling,48.0,{'48': 3},
53,Dark Samus,0.0,{'0': 2},
53,Pikachu,0.0,{'0': 2},
53,Daisy,0.0,{'0': 2},
53,Sheik,0.0,{'0': 2},
53,Dr Mario,0.0,{'0': 2},
53,Lucina,0.0,{'0': 1},
53,Mewtwo,0.0,{'0': 1},
53,Roy,0.0,{'0': 1},
53,Mr Game and Watch,0.0,{'0': 1},
53,Wario,0.0,{'0': 2},
53,Pokemon Trainer,0.0,{'0': 1},
53,Diddy Kong,0.0,{'0': 2},
53,Sonic,0.0,{'0': 3},
53,Olimar,0.0,{'0': 2},
53,ROB,0.0,{'0': 2},
53,Wii Fit Trainer,0.0,{'0': 2},
53,Rosalina and Luma,0.0,{'0': 2},
53,Greninja,0.0,{'0': 1},
53,Robin,0.0,{'0': 1},
53,Bowser Jr,0.0,{'0': 2},
53,Duck Hunt,0.0,{'0': 1},
53,Ryu,0.0,{'0': 2},
53,Simon,0.0,{'0': 2},
53,Richter,0.0,{'0': 2},
53,Incineroar,0.0,{'0': 2},
53,Steve,0.0,{'0': 3},
53,Pyra-Mythra,0.0,{'0': 4},
53,Kazuya,0.0,{'0': 3},
53,Sora,0.0,{'0': 3},
53,Mii Brawler,0.0,{'0': 2},
53,Mii Swordsman,0.0,{'0': 1},
53,Mii Gunner,0.0,{'0': 1},
