rank,character,read_value,candidates,correct
1,Villager,150475.0,{'150475': 3},
2,Ike,99900.0,"{'99900': 2, '59900': 1}",
3,King Dedede,39572.0,{'39572': 3},
4,Little Mac,32694.0,{'32694': 6},
5,Cloud,32164.0,{'32164': 4},
6,Corrin,22120.0,{'22120': 6},
7,Palutena,15211.0,{'15211': 6},
8,Byleth,10135.0,{'10135': 6},
9,Shulk,9424.0,{'9424': 3},
10,Ganondorf,6516.0,{'6516': 3},
11,Bayonetta,6256.0,{'6256': 3},
12,Dark Pit,4430.0,{'4430': 3},
13,Hero,3668.0,{'3668': 3},
14,Terry,2575.0,{'2575': 3},
15,Captain Falcon,2165.0,{'2165': 3},
16,Samus,1965.0,{'1965': 3},
17,Young Link,1582.0,{'1582': 3},
18,Fox,1386.0,{'1386': 6},
19,Bowser,1290.0,{'1290': 3},
20,Banjo and Kazooie,1110.0,{'1110': 3},
21,Link,1007.0,{'1007': 3},
22,King K Rool,987.0,{'987': 3},
23,Isabelle,695.0,{'695': 3},
24,Luigi,619.0,{'619': 3},
25,Zero Suit Samus,549.0,{'549': 3},
26,Ice Climbers,514.0,"{'914': 2, '514': 1}",
27,Pac-Man,512.0,"{'912': 2, '512': 1}",
28,Jigglypuff,452.0,{'452': 3},
29,Donkey Kong,440.0,{'440': 3},
30,Mario,435.0,{'435': 3},
31,Chrom,415.0,{'415': 3},
32,Min Min,410.0,{'410': 3},
33,Ridley,402.0,{'402': 3},
34,Toon Link,380.0,{'380': 3},
35,Falco,374.0,{'374': 3},
36,Peach,350.0,{'350': 3},
37,Meta Knight,345.0,{'345': 3},
38,Pit,344.0,{'344': 3},
39,Ness,340.0,{'340': 3},
40,Wolf,333.0,{'333': 3},
41,Sephiroth,288.0,{'288': 3},
42,Snake,277.0,"{'27': 2, '277': 1}",
42,Lucario,277.0,{'277': 3},
44,Yoshi,274.0,{'274': 3},
45,Kirby,243.0,{'243': 3},
46,Pichu,240.0,{'240': 3},
47,Zelda,235.0,{'235': 3},
48,Marth,188.0,{'188': 3},
49,Lucas,148.0,{'148': 3},
50,Joker,112.0,"{'112': 2, '12': 1}",
51,Mega Man,72.0,{'72': 3},
51,Piranha Plant,72.0,{'72': 3},
53,Inkling,57,{'57': 3},
54,Dark Samus,0.0,{'0': 2},
54,Pikachu,0.0,{'0': 1},
54,Daisy,0.0,{'0': 3},
54,Sheik,0.0,{'0': 2},
54,Dr Mario,0.0,{'0': 2},
54,Lucina,0.0,{'0': 3},
54,Mewtwo,0.0,{'0': 1},
54,Roy,0.0,{'0': 2},
54,Mr Game and Watch,0.0,{'0': 1},
54,Wario,0.0,{'0': 2},
54,Pokemon Trainer,0.0,{'0': 1},
54,Diddy Kong,0.0,{'0': 2},
54,Sonic,0.0,{'0': 1},
54,Olimar,0.0,{'0': 3},
54,ROB,0.0,{'0': 1},
54,Wii Fit Trainer,0.0,{'0': 2},
54,Rosalina and Luma,0.0,{'0': 2},
54,Greninja,0.0,{'0': 1},
54,Robin,0.0,{'0': 2},
54,Bowser Jr,0.0,{'0': 1},
54,Duck Hunt,0.0,{'0': 3},
54,Ryu,0.0,{'0': 1},
54,Ken,0.0,{'0': 2},
54,Simon,0.0,{'0': 2},
54,Richter,0.0,{'0': 2},
54,Incineroar,0.0,{'0': 2},
54,Steve,0.0,{'0': 2},
54,Pyra-Mythra,0.0,{'0': 3},
54,Kazuya,0.0,{'0': 4},
54,Sora,0.0,{'0': 3},
54,Mii Brawler,0.0,{'0': 3},
54,Mii Swordsman,0.0,{'0': 1},
54,Mii Gunner,0.0,{'0': 1},
