rank,character,read_value,candidates,correct
1,Sephiroth,8.0,{'8.0': 3},
2,Ridley,7.0,{'7.0': 3},
3,Chrom,6.0,{'6.0': 3},
4,Ness,5.0,"{'9.0': 4, '5.0': 2}",
5,Meta Knight,4.0,{'4.0': 6},
6,Donkey Kong,3.66,{'3.66': 6},
7,Hero,3.53,{'3.53': 6},
8,Terry,3.33,{'3.33': 6},
9,Byleth,3.3,{'3.3': 3},
10,Villager,3.24,{'3.24': 3},
11,King Dedede,3.15,{'3.15': 3},
12,Ike,3.01,{'3.01': 3},
13,Peach,3.0,{'3.0': 3},
13,Ice Climbers,3.0,{'3.0': 3},
13,Falco,3.0,{'3.0': 3},
13,Zero Suit Samus,3.0,{'3.0': 3},
13,Lucas,3.0,{'3.0': 3},
13,Toon Link,3.0,{'3.0': 3},
13,Pac-Man,3.0,{'3.0': 3},
20,Little Mac,2.71,{'2.71': 3},
21,Ganondorf,2.61,{'2.61': 3},
22,Min Min,2.5,{'2.5': 3},
23,Dark Pit,2.46,{'2.46': 3},
24,Corrin,2.34,{'2.34': 3},
25,King K Rool,2.33,"{'20.33': 2, '2.33': 1}",
26,Palutena,2.32,{'2.32': 3},
27,Cloud,2.27,{'2.27': 3},
28,Samus,2.12,"{'2.12': 2, '2.42': 1}",
29,Bowser,2.11,"{'2.11': 2, '2.41': 1}",
30,Shulk,2.1,{'2.1': 3},
31,Zelda,2.0,{'2.0': 3},
31,Pichu,2.0,{'2.0': 3},
31,Marth,2.0,{'2.0': 3},
34,Captain Falcon,1.87,{'1.87': 3},
35,Bayonetta,1.83,{'1.83': 3},
36,Link,1.8,{'1.8': 3},
36,Fox,1.8,{'1.8': 3},
38,Isabelle,1.66,{'1.66': 3},
39,Luigi,1.6,{'1.6': 3},
40,Young Link,1.37,{'1.37': 3},
41,Mario,1.33,{'1.33': 3},
41,Jigglypuff,1.33,"{'0.13': 2, '1.33': 1}",
43,Pit,1.0,{'1.0': 3},
43,Lucario,1.0,{'1.0': 3},
43,Wolf,1.0,{'1.0': 3},
43,Inkling,1.0,{'1.0': 3},
43,Piranha Plant,1.0,{'1.0': 3},
48,Banjo and Kazooie,0.6,{'0.6': 3},
49,Kirby,0.5,{'0.5': 3},
49,Snake,0.5,{'0.5': 3},
51,Yoshi,0.0,{'0.0': 3},
51,Mega Man,0.0,{'0.0': 3},
51,Joker,0.0,{'0.0': 3},
51,Dark Samus,0.0,{'0.0': 3},
51,Pikachu,0.0,{'0.0': 3},
51,Daisy,0.0,{'0.0': 3},
51,Sheik,0.0,{'0.0': 3},
51,Dr Mario,0.0,{'0.0': 3},
51,Lucina,0.0,{'0.0': 3},
51,Mewtwo,0.0,{'0.0': 3},
51,Roy,0.0,{'0.0': 3},
51,Mr Game and Watch,0.0,{'0.0': 3},
51,Wario,0.0,{'0.0': 3},
51,Pokemon Trainer,0.0,{'0.0': 3},
51,Diddy Kong,0.0,{'0.0': 3},
51,Sonic,0.0,{'0.0': 3},
51,Olimar,0.0,{'0.0': 3},
51,ROB,0.0,{'0.0': 3},
51,Wii Fit Trainer,0.0,{'0.0': 3},
51,Rosalina and Luma,0.0,{'0.0': 3},
51,Greninja,0.0,{'0.0': 3},
51,Robin,0.0,{'0.0': 3},
51,Bowser Jr,0.0,{'0.0': 3},
51,Duck Hunt,0.0,{'0.0': 3},
51,Ryu,0.0,{'0.0': 3},
51,Ken,0.0,{'0.0': 3},
51,Simon,0.0,{'0.0': 6},
51,Richter,0.0,{'0.0': 3},
51,Incineroar,0.0,{'0.0': 6},
51,Steve,0.0,{'0.0': 6},
51,Pyra-Mythra,0.0,{'0.0': 6},
51,Kazuya,0.0,{'0.0': 6},
51,Sora,0.0,{'0.0': 6},
51,Mii Brawler,0.0,{'0.0': 6},
51,Mii Swordsman,0.0,{'0.0': 3},
51,Mii Gunner,0.0,{'0.0': 3},
