rank,character,read_value,candidates,correct
1,King Dedede,151.0,{'151': 3},
2,Ike,144.0,{'144': 3},
3,Villager,70.0,{'70': 3},
4,Cloud,40.0,{'40': 6},
5,Corrin,27.0,{'27': 6},
6,Little Mac,19.0,{'19': 6},
7,Palutena,14.0,{'14': 6},
8,Byleth,11.0,"{'11': 4, '1': 1}",
9,Hero,10.0,{'10': 3},
10,Dark Pit,9.0,"{'9': 2, '5': 1}",
11,Samus,4.0,{'4': 6},
11,Ridley,4.0,{'4': 3},
13,Luigi,3.0,{'3': 3},
13,Ganondorf,3.0,{'3': 3},
15,Donkey Kong,2.0,{'2': 3},
15,Bowser,2.0,{'2': 3},
15,Shulk,2.0,{'2': 3},
15,King K Rool,2.0,{'2': 3},
15,Terry,2.0,{'2': 3},
15,Sephiroth,2.0,"{'2': 3, '0': 2}",
21,Mario,1.0,{'1': 3},
21,Link,1.0,{'1': 3},
21,Fox,1.0,{'1': 3},
21,Ness,1.0,{'1': 3},
21,Bayonetta,1.0,{'1': 3},
21,Min Min,1.0,{'1': 3},
27,Yoshi,0.0,{'0': 1},
27,Kirby,0.0,{'0': 1},
27,Captain Falcon,0.0,{'0': 2},
27,Jigglypuff,0.0,{'0': 1},
27,Peach,0.0,{'0': 2},
27,Ice Climbers,0.0,{'0': 2},
27,Zelda,0.0,{'0': 3},
27,Pichu,0.0,{'0': 3},
27,Falco,0.0,{'0': 1},
27,Marth,0.0,{'0': 2},
27,Young Link,0.0,{'0': 1},
27,Chrom,0.0,{'0': 1},
27,Meta Knight,0.0,{'0': 1},
27,Pit,0.0,{'0': 2},
27,Zero Suit Samus,0.0,{'0': 2},
27,Snake,0.0,{'0': 2},
27,Lucas,0.0,{'0': 2},
27,Lucario,0.0,{'0': 1},
27,Toon Link,0.0,{'0': 2},
27,Mega Man,0.0,{'0': 1},
27,Pac-Man,0.0,{'0': 4},
27,Inkling,0.0,{'0': 1},
27,Isabelle,0.0,{'0': 2},
27,Piranha Plant,0.0,{'0': 2},
27,Joker,0.0,{'0': 3},
27,Banjo and Kazooie,0.0,{'0': 3},
27,Dark Samus,0.0,{'0': 1},
27,Pikachu,0.0,{'0': 2},
27,Daisy,0.0,{'0': 2},
27,Sheik,0.0,{'0': 1},
27,Dr Mario,0.0,{'0': 2},
27,Lucina,0.0,{'0': 1},
27,Mewtwo,0.0,{'0': 1},
27,Roy,0.0,{'0': 2},
27,Mr Game and Watch,0.0,{'0': 1},
27,Wario,0.0,{'0': 1},
27,Pokemon Trainer,0.0,{'0': 1},
27,Diddy Kong,0.0,{'0': 2},
27,Sonic,0.0,{'0': 1},
27,Olimar,0.0,{'0': 2},
27,ROB,0.0,{'0': 2},
27,Wii Fit Trainer,0.0,{'0': 1},
27,Rosalina and Luma,0.0,{'0': 3},
27,Greninja,0.0,{'0': 1},
27,Robin,0.0,{'0': 2},
27,Bowser Jr,0.0,{'0': 1},
27,Duck Hunt,0.0,{'0': 2},
27,Ryu,0.0,{'0': 2},
27,Ken,0.0,{'0': 2},
27,Simon,0.0,{'0': 2},
27,Richter,0.0,{'0': 2},
27,Incineroar,0.0,{'0': 3},
27,Steve,0.0,{'0': 2},
27,Pyra-Mythra,0.0,{'0': 4},
27,Kazuya,0.0,{'0': 3},
27,Sora,0.0,{'0': 4},
27,Mii Brawler,0.0,{'0': 3},
27,Mii Swordsman,0.0,{'0': 1},
27,Mii Gunner,0.0,{'0': 2},
