rank,character,read_value,candidates,correct
1,Villager,1147.0,{'1147': 3},
2,Ike,196.0,{'196': 3},
3,King Dedede,176.0,{'176': 3},
4,Cloud,120.0,{'120': 6},
5,Corrin,105.0,{'105': 6},
6,Palutena,102.0,{'102': 6},
7,Little Mac,90.0,{'90': 6},
8,Byleth,72.0,{'72': 6},
9,Ganondorf,32.0,{'32': 3},
10,Shulk,31.0,{'31': 3},
11,Bayonetta,30.0,"{'30': 2, '300': 1}",
12,Hero,22.0,{'22': 3},
13,Terry,9.0,{'9': 2},
14,Bowser,8.0,{'8': 2},
14,Dark Pit,8.0,{'8': 3},
16,Fox,6.0,{'6': 3},
16,Sephiroth,6.0,"{'6': 3, '1': 3}",
18,Chrom,5.0,{'5': 6},
19,Donkey Kong,4.0,{'4': 3},
20,Mario,3.0,{'3': 3},
20,Samus,3.0,{'3': 3},
20,Falco,3.0,{'3': 3},
20,Pac-Man,3.0,{'3': 3},
20,Ridley,3.0,{'3': 3},
20,King K Rool,3.0,{'3': 6},
26,Link,2.0,{'2': 3},
26,Captain Falcon,2.0,{'2': 3},
26,Ice Climbers,2.0,{'2': 3},
26,Pichu,2.0,{'2': 3},
26,Marth,2.0,{'2': 3},
26,Lucas,2.0,{'2': 3},
26,Min Min,2.0,{'2': 6},
33,Luigi,1.0,{'1': 3},
33,Ness,1.0,{'1': 3},
33,Jigglypuff,1.0,{'1': 3},
33,Young Link,1.0,{'1': 3},
33,Pit,1.0,{'1': 3},
33,Isabelle,1.0,{'1': 3},
33,Piranha Plant,1.0,{'1': 3},
33,Banjo and Kazooie,1.0,{'1': 3},
41,Yoshi,0.0,{'0': 1},
41,Kirby,0.0,{'0': 2},
41,Peach,0.0,{'0': 3},
41,Zelda,0.0,{'0': 1},
41,Meta Knight,0.0,{'0': 1},
41,Zero Suit Samus,0.0,{'0': 2},
41,Snake,0.0,{'0': 2},
41,Lucario,0.0,{'0': 2},
41,Toon Link,0.0,{'0': 2},
41,Mega Man,0.0,{'0': 1},
41,Inkling,0.0,{'0': 2},
41,Joker,0.0,{'0': 1},
41,Dark Samus,0.0,{'0': 2},
41,Pikachu,0.0,{'0': 1},
41,Daisy,0.0,{'0': 1},
41,Sheik,0.0,{'0': 2},
41,Dr Mario,0.0,{'0': 1},
41,Lucina,0.0,{'0': 2},
41,Mewtwo,0.0,{'0': 2},
41,Roy,0.0,{'0': 3},
41,Mr Game and Watch,0.0,{'0': 3},
41,Wario,0.0,{'0': 2},
41,Pokemon Trainer,0.0,{'0': 2},
41,Diddy Kong,0.0,{'0': 2},
41,Sonic,0.0,"{'0': 2, '4': 1}",
41,Olimar,0.0,{'0': 2},
41,ROB,0.0,{'0': 2},
41,Wii Fit Trainer,0.0,{'0': 1},
41,Rosalina and Luma,0.0,{'0': 1},
41,Greninja,0.0,{'0': 1},
41,Robin,0.0,{'0': 1},
41,Bowser Jr,0.0,{'0': 3},
41,Duck Hunt,0.0,{'0': 2},
41,Ryu,0.0,{'0': 2},
41,Ken,0.0,{'0': 3},
41,Simon,0.0,{'0': 1},
41,Richter,0.0,{'0': 2},
41,Incineroar,0.0,{'0': 2},
41,Steve,0.0,{'0': 3},
41,Pyra-Mythra,0.0,{'0': 3},
41,Kazuya,0.0,{'0': 4},
41,Sora,0.0,{'0': 3},
41,Mii Brawler,0.0,{'0': 2},
41,Mii Swordsman,0.0,{'0': 1},
41,Mii Gunner,0.0,{'0': 2},
