rank,character,read_value,candidates,correct
1,Ike,269.0,{'269': 3},
2,Villager,171.0,"{'171': 2, '771': 1}",
3,Corrin,120.0,{'120': 3},
4,Little Mac,118.0,{'118': 6},
5,King Dedede,103.0,{'103': 6},
6,Byleth,88.0,{'88': 6},
7,Cloud,87.0,"{'87': 1, '7': 2, '57': 1}",
8,Shulk,47.0,{'47': 6},
9,Palutena,46.0,{'46': 3},
10,Ganondorf,31.0,{'31': 3},
11,Dark Pit,17.0,"{'17': 2, '7': 1}",
12,Hero,16.0,{'16': 3},
13,Bayonetta,13.0,{'13': 3},
14,Captain Falcon,10.0,{'10': 3},
15,Terry,9.0,{'9': 2},
16,Samus,8.0,{'8': 3},
17,Link,5.0,"{'9': 2, '5': 1}",
18,Luigi,4.0,{'4': 3},
18,Meta Knight,4.0,{'4': 3},
20,Peach,2.0,{'2': 3},
20,Bowser,2.0,{'2': 3},
20,Zelda,2.0,{'2': 3},
20,Young Link,2.0,{'2': 3},
20,Zero Suit Samus,2.0,{'2': 3},
20,King K Rool,2.0,{'2': 3},
20,Isabelle,2.0,{'2': 3},
27,Donkey Kong,1.0,{'1': 3},
27,Yoshi,1.0,{'1': 3},
27,Kirby,1.0,{'1': 3},
27,Jigglypuff,1.0,{'1': 3},
27,Chrom,1.0,{'1': 3},
27,Pit,1.0,{'1': 3},
27,Lucas,1.0,{'1': 3},
27,Lucario,1.0,{'1': 3},
27,Inkling,1.0,{'1': 3},
27,Banjo and Kazooie,1.0,{'1': 3},
37,Mario,0.0,{'0': 3},
37,Fox,0.0,{'0': 2},
37,Ness,0.0,{'0': 1},
37,Ice Climbers,0.0,{'0': 1},
37,Pichu,0.0,{'0': 2},
37,Falco,0.0,{'0': 3},
37,Marth,0.0,{'0': 2},
37,Snake,0.0,{'0': 3},
37,Toon Link,0.0,{'0': 2},
37,Sephiroth,0.0,{'0': 3},
37,Mega Man,0.0,{'0': 2},
37,Pac-Man,0.0,{'0': 3},
37,Ridley,0.0,{'0': 2},
37,Piranha Plant,0.0,{'0': 1},
37,Joker,0.0,{'0': 1},
37,Min Min,0.0,{'0': 2},
37,Dark Samus,0.0,{'0': 2},
37,Pikachu,0.0,{'0': 2},
37,Daisy,0.0,{'0': 3},
37,Sheik,0.0,{'0': 2},
37,Dr Mario,0.0,{'0': 1},
37,Lucina,0.0,{'0': 2},
37,Mewtwo,0.0,{'0': 1},
37,Roy,0.0,{'0': 1},
37,Mr Game and Watch,0.0,{'0': 3},
37,Pokemon Trainer,0.0,{'0': 1},
37,Diddy Kong,0.0,{'0': 1},
37,Sonic,0.0,{'0': 1},
37,Olimar,0.0,{'0': 1},
37,ROB,0.0,{'0': 2},
37,Wii Fit Trainer,0.0,{'0': 2},
37,Rosalina and Luma,0.0,{'0': 1},
37,Greninja,0.0,{'0': 1},
37,Robin,0.0,{'0': 2},
37,Bowser Jr,0.0,{'0': 1},
37,Duck Hunt,0.0,{'0': 2},
37,Ryu,0.0,{'0': 2},
37,Ken,0.0,{'0': 1},
37,Simon,0.0,{'0': 1},
37,Richter,0.0,{'0': 3},
37,Incineroar,0.0,{'0': 3},
37,Steve,0.0,{'0': 2},
37,Pyra-Mythra,0.0,{'0': 2},
37,Kazuya,0.0,{'0': 3},
37,Sora,0.0,{'0': 4},
37,Mii Brawler,0.0,{'0': 3},
37,Mii Swordsman,0.0,{'0': 3},
37,Mii Gunner,0.0,{'0': 2},
