rank,character,read_value,candidates,correct
1,Villager,239.0,"{'29': 2, '239': 1}",
2,King Dedede,15.0,{'15': 3},
3,Palutena,9.0,"{'9': 2, '5': 1}",
4,Corrin,4.0,{'4': 6},
5,Bowser,3.0,{'3': 6},
5,Shulk,3.0,{'3': 6},
5,Cloud,3.0,{'3': 6},
8,Ike,2.0,{'2': 6},
8,Hero,2.0,{'2': 3},
8,Byleth,2.0,{'2': 3},
11,Samus,1.0,{'1': 3},
11,Ganondorf,1.0,{'1': 3},
11,Dark Pit,1.0,{'1': 3},
11,Zero Suit Samus,1.0,{'1': 3},
11,Snake,1.0,{'1': 3},
11,Terry,1.0,{'1': 3},
17,Mario,0.0,{'0': 2},
17,Donkey Kong,0.0,{'0': 4},
17,Link,0.0,{'0': 2},
17,Yoshi,0.0,{'0': 2},
17,Kirby,0.0,{'0': 2},
17,Fox,0.0,{'0': 2},
17,Luigi,0.0,{'0': 2},
17,Ness,0.0,{'0': 3},
17,Captain Falcon,0.0,{'0': 1},
17,Jigglypuff,0.0,{'0': 1},
17,Peach,0.0,{'0': 1},
17,Ice Climbers,0.0,{'0': 1},
17,Zelda,0.0,{'0': 1},
17,Pichu,0.0,{'0': 2},
17,Falco,0.0,{'0': 2},
17,Marth,0.0,{'0': 1},
17,Young Link,0.0,{'0': 2},
17,Chrom,0.0,{'0': 1},
17,Meta Knight,0.0,{'0': 2},
17,Pit,0.0,{'0': 2},
17,Lucas,0.0,{'0': 1},
17,Lucario,0.0,{'0': 2},
17,Toon Link,0.0,{'0': 1},
17,Sephiroth,0.0,{'0': 4},
17,Mega Man,0.0,{'0': 1},
17,Little Mac,0.0,{'0': 2},
17,Pac-Man,0.0,{'0': 2},
17,Bayonetta,0.0,{'0': 2},
17,Inkling,0.0,{'0': 2},
17,Ridley,0.0,{'0': 1},
17,King K Rool,0.0,{'0': 3},
17,Isabelle,0.0,{'0': 3},
17,Piranha Plant,0.0,{'0': 1},
17,Joker,0.0,{'0': 2},
17,Banjo and Kazooie,0.0,{'0': 1},
17,Min Min,0.0,{'0': 1},
17,Dark Samus,0.0,{'0': 1},
17,Pikachu,0.0,{'0': 1},
17,Daisy,0.0,{'0': 2},
17,Sheik,0.0,{'0': 2},
17,Dr Mario,0.0,{'0': 2},
17,Lucina,0.0,{'0': 2},
17,Mewtwo,0.0,{'0': 3},
17,Roy,0.0,{'0': 1},
17,Mr Game and Watch,0.0,{'0': 1},
17,Wario,0.0,{'0': 1},
17,Pokemon Trainer,0.0,{'0': 1},
17,Diddy Kong,0.0,{'0': 2},
17,Sonic,0.0,{'0': 1},
17,Olimar,0.0,{'0': 2},
17,ROB,0.0,{'0': 2},
17,Wii Fit Trainer,0.0,{'0': 4},
17,Rosalina and Luma,0.0,{'0': 3},
17,Greninja,0.0,{'0': 1},
17,Robin,0.0,{'0': 2},
17,Bowser Jr,0.0,{'0': 1},
17,Duck Hunt,0.0,{'0': 1},
17,Ryu,0.0,{'0': 1},
17,Ken,0.0,{'0': 1},
17,Simon,0.0,{'0': 1},
17,Richter,0.0,{'0': 1},
17,Incineroar,0.0,{'0': 2},
17,Steve,0.0,{'0': 2},
17,Pyra-Mythra,0.0,{'0': 4},
17,Kazuya,0.0,{'0': 4},
17,Sora,0.0,{'0': 2},
17,Mii Brawler,0.0,{'0': 4},
17,Mii Swordsman,0.0,{'0': 1},
17,Mii Gunner,0.0,{'0': 1},
