rank,character,read_value,candidates,correct
1,Villager,43.95,{'43.95': 3},
2,Ike,12.14,{'12.14': 3},
3,King Dedede,8.73,{'8.73': 3},
4,Corrin,5.96,"{'9.96': 4, '5.96': 2}",
5,Cloud,5.7,"{'9.7': 2, '5.7': 4}",
6,Little Mac,4.44,{'4.44': 6},
7,Palutena,3.92,{'3.92': 6},
8,Byleth,2.87,{'2.87': 6},
9,Shulk,2.4,{'2.4': 3},
10,Ganondorf,1.62,{'1.62': 3},
11,Bayonetta,1.25,"{'1.25': 2, '12.5': 1}",
12,Hero,0.78,{'0.78': 3},
13,Dark Pit,0.68,{'0.68': 3},
14,Bowser,0.47,{'0.47': 3},
15,Samus,0.41,{'0.41': 3},
15,Captain Falcon,0.41,{'0.41': 3},
15,Young Link,0.41,{'0.41': 3},
18,Terry,0.31,{'0.31': 6},
19,Link,0.26,{'0.26': 3},
19,Fox,0.26,{'0.26': 3},
19,Luigi,0.26,{'0.26': 3},
19,Banjo and Kazooie,0.26,{'0.26': 3},
23,Mario,0.15,{'0.15': 3},
23,Donkey Kong,0.15,{'0.15': 3},
23,Jigglypuff,0.15,{'0.15': 3},
23,Pit,0.15,{'0.15': 3},
23,King K Rool,0.15,{'0.15': 3},
23,Isabelle,0.15,{'0.15': 3},
29,Kirby,0.1,{'0.1': 3},
29,Snake,0.1,{'0.1': 3},
29,Min Min,0.1,{'0.1': 3},
32,Yoshi,0.05,{'0.05': 3},
32,Ness,0.05,{'0.05': 3},
32,Peach,0.05,{'0.05': 3},
32,Ice Climbers,0.05,{'0.05': 3},
32,Zelda,0.05,{'0.05': 3},
32,Pichu,0.05,{'0.05': 3},
32,Falco,0.05,{'0.05': 3},
32,Marth,0.05,{'0.05': 3},
32,Chrom,0.05,{'0.05': 3},
32,Meta Knight,0.05,{'0.05': 3},
32,Zero Suit Samus,0.05,{'0.05': 3},
32,Lucas,0.05,{'0.05': 3},
32,Lucario,0.05,{'0.05': 3},
32,Toon Link,0.05,{'0.05': 3},
32,Sephiroth,0.05,{'0.05': 6},
32,Mega Man,0.05,{'0.05': 3},
32,Pac-Man,0.05,{'0.05': 3},
32,Inkling,0.05,{'0.05': 3},
32,Ridley,0.05,{'0.05': 3},
32,Piranha Plant,0.05,{'0.05': 3},
32,Joker,0.05,{'0.05': 3},
53,Dark Samus,0.0,{'0.0': 3},
53,Pikachu,0.0,{'0.0': 3},
53,Daisy,0.0,{'0.0': 3},
53,Sheik,0.0,{'0.0': 3},
53,Dr Mario,0.0,{'0.0': 3},
53,Lucina,0.0,{'0.0': 3},
53,Mewtwo,0.0,{'0.0': 3},
53,Roy,0.0,{'0.0': 3},
53,Mr Game and Watch,0.0,{'0.0': 3},
53,Wario,0.0,{'0.0': 3},
53,Pokemon Trainer,0.0,{'0.0': 3},
53,Diddy Kong,0.0,{'0.0': 3},
53,Sonic,0.0,{'0.0': 3},
53,Olimar,0.0,{'0.0': 3},
53,ROB,0.0,{'0.0': 3},
53,Wii Fit Trainer,0.0,{'0.0': 3},
53,Rosalina and Luma,0.0,{'0.0': 3},
53,Greninja,0.0,{'0.0': 3},
53,Robin,0.0,{'0.0': 3},
53,Bowser Jr,0.0,{'0.0': 3},
53,Duck Hunt,0.0,{'0.0': 3},
53,Ryu,0.0,{'0.0': 3},
53,Ken,0.0,{'0.0': 6},
53,Simon,0.0,{'0.0': 3},
53,Richter,0.0,{'0.0': 3},
53,Incineroar,0.0,{'0.0': 6},
53,Steve,0.0,{'0.0': 6},
53,Pyra-Mythra,0.0,{'0.0': 6},
53,Kazuya,0.0,{'0.0': 6},
53,Sora,0.0,{'0.0': 6},
53,Mii Brawler,0.0,{'0.0': 3},
53,Mii Swordsman,0.0,{'0.0': 3},
53,Mii Gunner,0.0,{'0.0': 3},
