rank,character,read_value,candidates,correct
1,Falco,100.0,{'100.0': 3},
1,Chrom,100.0,{'100.0': 3},
1,Zero Suit Samus,100.0,{'100.0': 3},
1,Lucas,100.0,{'100.0': 6},
1,Toon Link,100.0,{'100.0': 6},
1,Pac-Man,100.0,{'100.0': 6},
1,Inkling,100.0,{'100.0': 6},
1,Piranha Plant,100.0,{'100.0': 6},
9,Hero,70.0,{'70.0': 3},
10,Mario,66.66,{'66.66': 3},
11,Little Mac,60.0,{'60.0': 3},
12,Kirby,50.0,{'50.0': 3},
12,Terry,50.0,{'50.0': 3},
14,Villager,40.0,{'40.0': 3},
14,Byleth,40.0,{'40.0': 3},
16,Samus,37.5,{'37.5': 3},
17,Donkey Kong,33.33,"{'31.33': 2, '33.33': 1}",
17,Pit,33.33,{'33.33': 3},
17,King K Rool,33.33,"{'0.02': 2, '33.33': 1}",
17,Isabelle,33.33,{'33.33': 3},
21,Link,20.0,{'20.0': 3},
21,Fox,20.0,{'20.0': 3},
21,Ganondorf,20.0,{'20.0': 3},
21,Dark Pit,20.0,{'20.0': 3},
21,Shulk,20.0,{'20.0': 3},
21,Bayonetta,20.0,{'20.0': 3},
27,Young Link,12.5,{'12.5': 3},
28,Palutena,10.0,{'10.0': 3},
28,Cloud,10.0,{'10.0': 3},
28,Corrin,10.0,{'10.0': 3},
31,Yoshi,0.0,{'0.0': 3},
31,Luigi,0.0,{'0.0': 3},
31,Ness,0.0,{'0.0': 3},
31,Captain Falcon,0.0,{'0.0': 3},
31,Jigglypuff,0.0,{'0.0': 3},
31,Peach,0.0,{'0.0': 3},
31,Bowser,0.0,{'0.0': 3},
31,Ice Climbers,0.0,{'0.0': 3},
31,Zelda,0.0,{'0.0': 3},
31,Pichu,0.0,{'0.0': 3},
31,Marth,0.0,{'0.0': 3},
31,Meta Knight,0.0,{'0.0': 3},
31,Snake,0.0,{'0.0': 3},
31,Ike,0.0,{'0.0': 3},
31,King Dedede,0.0,{'0.0': 3},
31,Lucario,0.0,{'0.0': 3},
31,Sephiroth,0.0,{'0.0': 6},
31,Mega Man,0.0,{'0.0': 3},
31,Ridley,0.0,{'0.0': 3},
31,Joker,0.0,{'0.0': 3},
31,Banjo and Kazooie,0.0,{'0.0': 3},
31,Min Min,0.0,{'0.0': 3},
31,Dark Samus,0.0,{'0.0': 6},
31,Pikachu,0.0,{'0.0': 3},
31,Daisy,0.0,{'0.0': 3},
31,Sheik,0.0,{'0.0': 3},
31,Dr Mario,0.0,{'0.0': 3},
31,Lucina,0.0,{'0.0': 3},
31,Mewtwo,0.0,{'0.0': 3},
31,Roy,0.0,{'0.0': 3},
31,Mr Game and Watch,0.0,{'0.0': 3},
31,Wario,0.0,{'0.0': 3},
31,Pokemon Trainer,0.0,{'0.0': 3},
31,Diddy Kong,0.0,{'0.0': 3},
31,Sonic,0.0,{'0.0': 3},
31,Olimar,0.0,{'0.0': 3},
31,ROB,0.0,{'0.0': 6},
31,Wii Fit Trainer,0.0,{'0.0': 3},
31,Rosalina and Luma,0.0,{'0.0': 3},
31,Greninja,0.0,{'0.0': 3},
31,Robin,0.0,{'0.0': 3},
31,Bowser Jr,0.0,{'0.0': 3},
31,Duck Hunt,0.0,{'0.0': 3},
31,Ryu,0.0,{'0.0': 3},
31,Ken,0.0,{'0.0': 3},
31,Simon,0.0,{'0.0': 3},
31,Richter,0.0,{'0.0': 3},
31,Incineroar,0.0,{'0.0': 6},
31,Steve,0.0,{'0.0': 6},
31,Pyra-Mythra,0.0,{'0.0': 6},
31,Kazuya,0.0,{'0.0': 6},
31,Sora,0.0,{'0.0': 3},
31,Mii Brawler,0.0,{'0.0': 3},
31,Mii Swordsman,0.0,{'0.0': 3},
31,Mii Gunner,0.0,{'0.0': 3},
