rank,character,read_value,candidates,correct
1,Ness,971504.0,"{'971504': 2, '871504': 1}",
2,Jigglypuff,98222.0,{'98222': 6},
3,Villager,6729.0,{'6729': 6},
4,Piranha Plant,5608.0,"{'9608': 4, '5608': 2}",
5,Lucina,4170.0,{'4170': 6},
6,King Dedede,2656.0,{'2656': 6},
7,Captain Falcon,2592.0,{'2592': 6},
8,Dr Mario,2292.0,{'2292': 6},
9,Isabelle,2186.0,{'2186': 3},
10,Link,2092.0,{'2092': 3},
11,Young Link,1973.0,{'1973': 3},
12,Hero,1644.0,{'1644': 3},
13,Mr Game and Watch,1627.0,{'1627': 3},
14,Incineroar,1603.0,{'1603': 3},
15,Min Min,1577.0,"{'1577': 2, '1877': 1}",
16,King K Rool,1568.0,{'1568': 6},
17,Steve,1486.0,{'1486': 3},
18,ROB,1336.0,{'1336': 3},
19,Wii Fit Trainer,1184.0,{'1184': 3},
20,Richter,1169.0,{'1169': 3},
21,Bayonetta,1129.0,{'1129': 3},
22,Samus,1092.0,{'1092': 3},
23,Ganondorf,924.0,{'924': 3},
24,Donkey Kong,915.0,{'915': 3},
25,Sephiroth,853.0,"{'853': 3, '419': 3}",
26,Ridley,717.0,"{'717': 2, '17': 1}",
27,Falco,684.0,{'684': 3},
28,Kazuya,677.0,{'677': 3},
29,Bowser,663.0,{'663': 3},
30,Olimar,650.0,{'650': 3},
31,Daisy,612.0,{'612': 3},
31,Ryu,612.0,{'612': 3},
33,Pichu,609.0,{'609': 3},
34,Mega Man,566.0,{'566': 3},
35,Greninja,555.0,"{'995': 2, '555': 1}",
36,Little Mac,551.0,"{'957': 2, '551': 1}",
37,Mewtwo,549.0,"{'949': 2, '549': 1}",
38,Duck Hunt,548.0,"{'548': 4, '948': 2}",
39,Pit,533.0,{'533': 3},
40,Rosalina and Luma,497.0,{'497': 3},
41,Cloud,485.0,{'485': 3},
42,Lucas,479.0,{'479': 3},
43,Snake,426.0,{'426': 3},
44,Kirby,422.0,{'422': 3},
45,Sonic,415.0,{'415': 3},
46,Ice Climbers,328.0,{'328': 3},
47,Corrin,314.0,{'314': 3},
48,Yoshi,278.0,{'278': 3},
49,Marth,256.0,{'256': 3},
50,Mario,0.0,{'0': 1},
50,Dark Samus,0.0,{'0': 2},
50,Fox,0.0,{'0': 2},
50,Pikachu,0.0,{'0': 2},
50,Luigi,0.0,{'0': 2},
50,Peach,0.0,{'0': 3},
50,Sheik,0.0,{'0': 2},
50,Zelda,0.0,{'0': 2},
50,Roy,0.0,{'0': 3},
50,Chrom,0.0,{'0': 2},
50,Meta Knight,0.0,{'0': 1},
50,Dark Pit,0.0,{'0': 2},
50,Zero Suit Samus,0.0,{'0': 3},
50,Wario,0.0,{'0': 1},
50,Ike,0.0,{'0': 2},
50,Pokemon Trainer,0.0,{'0': 2},
50,Diddy Kong,0.0,{'0': 1},
50,Lucario,0.0,{'0': 1},
50,Toon Link,0.0,{'0': 3},
50,Palutena,0.0,{'0': 1},
50,Pac-Man,0.0,{'0': 1},
50,Robin,0.0,{'0': 3},
50,Shulk,0.0,{'0': 1},
50,Bowser Jr,0.0,{'0': 4},
50,Ken,0.0,{'0': 1},
50,Inkling,0.0,{'0': 2},
50,Simon,0.0,{'0': 1},
50,Joker,0.0,{'0': 1},
50,Banjo and Kazooie,0.0,{'0': 2},
50,Terry,0.0,{'0': 3},
50,Byleth,0.0,"{'0': 2, '4': 1}",
50,Pyra-Mythra,0.0,{'0': 2},
50,Sora,0.0,{'0': 2},
50,Mii Brawler,0.0,{'0': 2},
50,Mii Swordsman,0.0,{'0': 1},
50,Mii Gunner,0.0,{'0': 2},
