rank,character,read_value,candidates,correct
1,Mr Game and Watch,9.0,"{'9.0': 2, '5.0': 1}",
2,Daisy,4.0,{'4.0': 6},
2,Sonic,4.0,{'4.0': 6},
2,Sephiroth,4.0,{'4.0': 6},
5,Samus,3.5,{'3.5': 6},
6,Link,3.0,{'3.0': 6},
6,Yoshi,3.0,{'3.0': 6},
6,Kirby,3.0,{'3.0': 6},
6,Bowser,3.0,{'3.0': 3},
6,Marth,3.0,{'3.0': 3},
6,Mewtwo,3.0,{'3.0': 3},
6,Snake,3.0,{'3.0': 3},
6,Rosalina and Luma,3.0,{'3.0': 3},
6,Ryu,3.0,{'3.0': 3},
6,Kazuya,3.0,{'3.0': 3},
16,King Dedede,2.75,"{'25.13': 2, '2.75': 4}",
17,Incineroar,2.5,{'2.5': 3},
17,Hero,2.5,{'2.5': 3},
19,Ness,2.4,{'2.4': 3},
20,Lucina,2.25,{'2.25': 3},
21,Captain Falcon,2.2,{'2.2': 3},
22,Piranha Plant,2.1,{'2.1': 3},
23,Ice Climbers,2.0,{'2.0': 3},
23,Falco,2.0,{'2.0': 3},
23,ROB,2.0,{'2.0': 3},
23,Mega Man,2.0,{'2.0': 3},
23,Wii Fit Trainer,2.0,{'2.0': 3},
23,Greninja,2.0,{'2.0': 3},
23,Ridley,2.0,{'2.0': 3},
23,Richter,2.0,{'2.0': 3},
23,King K Rool,2.0,{'2.0': 3},
23,Isabelle,2.0,{'2.0': 3},
23,Min Min,2.0,{'2.0': 3},
34,Jigglypuff,1.92,{'1.92': 3},
35,Ganondorf,1.66,{'1.66': 3},
36,Dr Mario,1.5,"{'1.3': 2, '1.5': 1}",
36,Bayonetta,1.5,{'1.5': 3},
38,Villager,1.38,{'1.38': 6},
39,Young Link,1.33,"{'0.13': 2, '1.33': 1}",
39,Steve,1.33,{'1.33': 3},
41,Pichu,1.0,{'1.0': 3},
41,Lucas,1.0,{'1.0': 3},
41,Wolf,1.0,{'1.0': 3},
41,Little Mac,1.0,{'1.0': 3},
41,Corrin,1.0,{'1.0': 3},
46,Donkey Kong,0.66,{'0.66': 3},
47,Pit,0.0,{'0.0': 3},
47,Olimar,0.0,{'0.0': 3},
47,Duck Hunt,0.0,{'0.0': 3},
47,Cloud,0.0,{'0.0': 3},
47,Mario,0.0,{'0.0': 3},
47,Dark Samus,0.0,{'0.0': 3},
47,Fox,0.0,{'0.0': 3},
47,Pikachu,0.0,{'0.0': 3},
47,Luigi,0.0,{'0.0': 3},
47,Peach,0.0,{'0.0': 3},
47,Sheik,0.0,{'0.0': 3},
47,Zelda,0.0,{'0.0': 3},
47,Roy,0.0,{'0.0': 3},
47,Chrom,0.0,{'0.0': 3},
47,Meta Knight,0.0,{'0.0': 3},
47,Dark Pit,0.0,{'0.0': 3},
47,Zero Suit Samus,0.0,{'0.0': 3},
47,Wario,0.0,{'0.0': 3},
47,Ike,0.0,{'0.0': 3},
47,Pokemon Trainer,0.0,{'0.0': 3},
47,Diddy Kong,0.0,{'0.0': 3},
47,Lucario,0.0,{'0.0': 3},
47,Toon Link,0.0,{'0.0': 3},
47,Palutena,0.0,{'0.0': 3},
47,Pac-Man,0.0,{'0.0': 3},
47,Robin,0.0,{'0.0': 3},
47,Shulk,0.0,{'0.0': 3},
47,Bowser Jr,0.0,{'0.0': 3},
47,Ken,0.0,{'0.0': 3},
47,Inkling,0.0,{'0.0': 3},
47,Simon,0.0,{'0.0': 3},
47,Joker,0.0,{'0.0': 3},
47,Banjo and Kazooie,0.0,{'0.0': 6},
47,Terry,0.0,{'0.0': 6},
47,Byleth,0.0,{'0.0': 6},
47,Pyra-Mythra,0.0,{'0.0': 3},
47,Sora,0.0,{'0.0': 3},
47,Mii Brawler,0.0,{'0.0': 3},
47,Mii Swordsman,0.0,{'0.0': 3},
47,Mii Gunner,0.0,{'0.0': 3},
