rank,character,read_value,candidates,correct
1,Bayonetta,9.0,{'9.0': 3},
2,Hero,3.4,{'3.4': 3},
3,King Dedede,3.2,{'3.2': 6},
4,Mario,3.0,{'3.0': 6},
4,Fox,3.0,{'3.0': 6},
4,Sheik,3.0,{'3.0': 6},
4,Dr Mario,3.0,{'3.0': 6},
4,Dark Pit,3.0,{'3.0': 6},
4,Pokemon Trainer,3.0,{'3.0': 3},
4,Pac-Man,3.0,{'3.0': 3},
4,Shulk,3.0,{'3.0': 3},
4,Duck Hunt,3.0,{'3.0': 3},
4,Corrin,3.0,{'3.0': 3},
4,Ridley,3.0,{'3.0': 3},
4,Incineroar,3.0,{'3.0': 3},
4,Sephiroth,3.0,{'3.0': 3},
4,Mii Swordsman,3.0,{'3.0': 3},
18,Jigglypuff,2.92,{'2.92': 3},
19,Captain Falcon,2.87,{'2.87': 3},
20,Bowser,2.85,{'2.85': 3},
20,Zero Suit Samus,2.85,{'2.85': 3},
20,Wolf,2.85,{'2.85': 3},
20,Simon,2.85,{'2.85': 3},
24,Ice Climbers,2.83,{'2.83': 3},
24,Roy,2.83,{'2.83': 3},
24,Little Mac,2.83,{'2.83': 3},
27,Ganondorf,2.81,{'2.81': 3},
28,Yoshi,2.77,{'2.77': 3},
29,Zelda,2.75,{'2.75': 3},
29,Greninja,2.75,{'2.75': 3},
29,Isabelle,2.75,{'2.75': 1},
32,Kazuya,2.72,{'2.72': 3},
33,Pichu,2.71,{'2.71': 3},
34,Pikachu,2.68,{'2.68': 3},
35,Byleth,2.67,{'2.67': 3},
36,Pit,2.66,{'2.66': 3},
36,Wario,2.66,{'2.66': 3},
36,Lucario,2.66,{'2.66': 3},
36,Rosalina and Luma,2.66,{'2.66': 3},
36,Ryu,2.66,{'2.66': 3},
36,Ken,2.66,{'2.66': 3},
36,Terry,2.66,{'2.66': 3},
43,Lucina,2.65,{'2.65': 3},
43,Snake,2.65,{'2.65': 3},
45,Donkey Kong,2.64,{'2.64': 3},
46,Marth,2.62,{'2.62': 3},
46,Young Link,2.62,{'2.62': 3},
48,Peach,2.6,{'2.6': 3},
48,Mewtwo,2.6,{'2.6': 3},
48,Sonic,2.6,{'2.6': 3},
48,Steve,2.6,{'2.6': 3},
52,Mr Game and Watch,2.56,{'2.56': 3},
52,Ike,2.56,{'2.56': 6},
54,Samus,2.54,{'2.54': 3},
55,Kirby,2.53,"{'2.93': 2, '2.53': 1}",
56,Daisy,2.5,{'2.5': 3},
56,Falco,2.5,{'2.5': 3},
56,Chrom,2.5,{'2.5': 3},
56,Meta Knight,2.5,{'2.5': 3},
56,Pyra-Mythra,2.5,{'2.5': 3},
61,Lucas,2.49,{'2.49': 3},
62,Mii Gunner,2.42,{'2.42': 3},
63,Bowser Jr,2.4,{'2.4': 3},
63,Inkling,2.4,{'2.4': 3},
63,Banjo and Kazooie,2.4,{'2.4': 3},
66,ROB,2.39,{'2.39': 3},
67,Link,2.33,{'2.33': 6},
67,Dark Samus,2.33,"{'21.33': 2, '2.33': 1}",
67,Luigi,2.33,{'2.33': 3},
67,Diddy Kong,2.33,{'2.33': 3},
67,Palutena,2.33,{'2.33': 3},
67,Robin,2.33,{'2.33': 3},
73,Olimar,2.25,{'2.25': 3},
73,Wii Fit Trainer,2.25,{'2.25': 6},
73,Cloud,2.25,{'2.25': 3},
73,Joker,2.25,{'2.25': 3},
73,Mii Brawler,2.25,"{'2.29': 2, '2.25': 1}",
78,Piranha Plant,2.22,{'2.22': 6},
79,Ness,2.19,{'2.19': 6},
80,Toon Link,2.0,{'2.0': 6},
80,Villager,2.0,{'2.0': 6},
80,Mega Man,2.0,{'2.0': 3},
80,Richter,2.0,{'2.0': 3},
80,Min Min,2.0,{'2.0': 3},
85,King K Rool,1.33,{'1.33': 3},
