rank,character,read_value,candidates,correct
1,Kirby,874.0,{'874': 3},
2,Lucas,849.0,{'849': 6},
3,Donkey Kong,690.0,{'690': 6},
4,Mr Game and Watch,260.0,{'260': 6},
5,Samus,164.0,{'164': 6},
6,Mii Gunner,119.0,{'119': 6},
7,Lucina,86.0,{'86': 6},
8,Pyra-Mythra,73.0,{'73': 6},
9,Pikachu,70.0,{'70': 3},
9,Captain Falcon,70.0,{'70': 3},
11,Bowser,56.0,{'56': 3},
12,Snake,52.0,"{'92': 2, '52': 1}",
13,Little Mac,49.0,"{'49': 2, '490': 1}",
14,Kazuya,44.0,{'44': 3},
15,Ganondorf,43.0,{'43': 3},
16,Byleth,40.0,{'40': 3},
17,Steve,33.0,{'33': 3},
18,Jigglypuff,28.0,{'28': 3},
19,Ike,23.0,{'23': 3},
19,ROB,23.0,{'23': 3},
21,Piranha Plant,22.0,{'22': 3},
22,Ness,21.0,"{'21': 2, '2': 1}",
22,Wolf,21.0,"{'21': 2, '2': 1}",
24,Pichu,14.0,{'14': 3},
25,Joker,12.0,{'12': 3},
26,Fox,11.0,{'11': 2},
27,Yoshi,9.0,{'9': 2},
28,Zelda,8.0,{'8': 3},
28,Falco,8.0,{'8': 3},
28,Marth,8.0,{'8': 2},
28,Young Link,8.0,{'8': 2},
32,Mario,7.0,{'7': 3},
32,Zero Suit Samus,7.0,{'7': 3},
32,Simon,7.0,{'7': 3},
35,Ice Climbers,6.0,{'6': 3},
35,Roy,6.0,{'6': 3},
35,Diddy Kong,6.0,{'6': 3},
35,Ken,6.0,{'6': 3},
39,Peach,5.0,"{'2': 2, '5': 1}",
39,Mewtwo,5.0,"{'9': 2, '5': 1}",
39,Pokemon Trainer,5.0,"{'9': 2, '5': 1}",
39,Sonic,5.0,"{'9': 2, '5': 1}",
39,King Dedede,5.0,"{'9': 2, '5': 1}",
39,Bowser Jr,5.0,"{'2': 2, '5': 1}",
39,Inkling,5.0,{'5': 3},
39,Ridley,5.0,"{'9': 2, '5': 1}",
39,Hero,5.0,"{'9': 2, '5': 1}",
39,Banjo and Kazooie,5.0,"{'9': 2, '5': 1}",
39,Sephiroth,5.0,"{'9': 2, '5': 1}",
50,Daisy,4.0,{'4': 3},
50,Dr Mario,4.0,{'4': 3},
50,Chrom,4.0,{'4': 3},
50,Olimar,4.0,{'4': 3},
50,Mega Man,4.0,{'4': 3},
50,Wii Fit Trainer,4.0,{'4': 3},
50,Greninja,4.0,{'4': 3},
50,Cloud,4.0,{'4': 3},
50,Isabelle,4.0,{'4': 3},
50,Mii Brawler,4.0,{'4': 3},
60,Link,3.0,{'3': 3},
60,Dark Samus,3.0,{'3': 3},
60,Luigi,3.0,{'3': 3},
60,Pit,3.0,{'3': 3},
60,Wario,3.0,{'3': 3},
60,Lucario,3.0,{'3': 3},
60,Villager,3.0,{'3': 3},
60,Rosalina and Luma,3.0,{'3': 6},
60,Palutena,3.0,{'3': 3},
60,Robin,3.0,{'3': 3},
60,Shulk,3.0,{'3': 3},
60,Duck Hunt,3.0,{'3': 3},
60,Ryu,3.0,{'3': 3},
60,King K Rool,3.0,{'3': 3},
60,Terry,3.0,{'3': 3},
60,Min Min,3.0,{'3': 3},
76,Meta Knight,2.0,{'2': 3},
76,Dark Pit,2.0,{'2': 3},
76,Toon Link,2.0,{'2': 3},
76,Pac-Man,2.0,{'2': 6},
76,Incineroar,2.0,{'2': 6},
76,Sora,2.0,{'2': 6},
82,Sheik,1.0,{'1': 3},
82,Corrin,1.0,{'1': 3},
82,Bayonetta,1.0,{'1': 3},
82,Richter,1.0,{'1': 3},
82,Mii Swordsman,1.0,{'1': 3},
