rank,character,read_value,candidates,correct
1,Lucas,275359.0,{'275359': 3},
2,Kirby,265993.0,{'265993': 3},
3,Donkey Kong,212640.0,{'212640': 6},
4,Mr Game and Watch,87355.0,{'87355': 6},
5,Samus,63871.0,{'63871': 6},
6,Mii Gunner,47019.0,{'47019': 6},
7,Pyra-Mythra,27037.0,{'27037': 6},
8,Lucina,24959.0,{'24959': 6},
9,Pikachu,21667.0,{'21667': 3},
10,Bowser,18605.0,{'18605': 3},
11,Captain Falcon,17171.0,"{'17171': 2, '1': 1}",
12,Snake,16875.0,{'16875': 3},
13,Kazuya,16753.0,{'16753': 3},
14,Little Mac,14049.0,{'14049': 3},
15,Ganondorf,13497.0,{'13497': 3},
16,Byleth,11876.0,{'11876': 3},
17,Steve,9241.0,{'9241': 3},
18,Piranha Plant,7346.0,{'7346': 3},
19,ROB,7144.0,{'7144': 3},
20,Ike,6762.0,{'6762': 3},
21,Wolf,5795,{'5795': 3},
22,Ness,5619.0,"{'9619': 2, '5619': 1}",
23,Jigglypuff,5577,{'5577': 3},
24,Pichu,3830.0,{'3830': 3},
25,Joker,3400.0,{'3400': 3},
26,Fox,3148.0,{'3148': 3},
27,Young Link,2769.0,{'2769': 3},
28,Marth,2623.0,{'2623': 3},
29,Yoshi,2239.0,{'2239': 3},
30,Ice Climbers,2168.0,{'2168': 3},
31,Falco,2015.0,{'2015': 3},
32,Zelda,1992.0,{'1992': 3},
33,Bowser Jr,1866.0,{'1866': 3},
34,Simon,1854.0,{'1854': 3},
35,Zero Suit Samus,1825.0,{'1825': 3},
36,Mewtwo,1777.0,"{'1777': 2, '777': 1}",
37,Ken,1695.0,{'1695': 3},
38,Sephiroth,1683.0,{'1683': 3},
39,Banjo and Kazooie,1656.0,{'1656': 6},
40,Diddy Kong,1652.0,{'1652': 3},
41,Mario,1631.0,{'1631': 3},
42,Roy,1544.0,{'1544': 3},
43,Daisy,1464.0,{'1464': 3},
44,Hero,1452.0,{'1452': 3},
45,Inkling,1407.0,{'1407': 3},
46,King Dedede,1403.0,{'1403': 6},
47,Wii Fit Trainer,1386.0,{'1386': 3},
48,Peach,1360.0,{'1360': 3},
49,Dr Mario,1344.0,{'1344': 3},
50,Olimar,1293.0,{'1293': 3},
51,Mii Brawler,1246.0,{'1246': 3},
52,Mega Man,1243.0,{'1243': 3},
53,Chrom,1230.0,{'1230': 6},
54,Cloud,1226.0,{'1226': 3},
55,Dark Samus,1217.0,{'1217': 3},
56,Ridley,1192.0,{'1192': 3},
57,Min Min,1180.0,{'1180': 3},
58,Ryu,1178.0,{'1178': 3},
59,Isabelle,1168.0,{'1168': 3},
60,Pokemon Trainer,1146.0,{'1146': 6},
61,Sonic,1144.0,{'1144': 3},
62,King K Rool,1119.0,{'1119': 3},
63,Wario,1109.0,{'1109': 3},
64,Robin,1051.0,{'1051': 3},
65,Palutena,1047.0,{'1047': 3},
66,Rosalina and Luma,1001.0,{'1001': 3},
67,Shulk,989.0,{'989': 6},
68,Luigi,959.0,{'959': 3},
69,Link,949.0,{'949': 3},
70,Pit,864.0,{'864': 3},
71,Terry,817.0,{'817': 3},
72,Lucario,805.0,{'805': 3},
73,Greninja,797.0,"{'197': 2, '797': 1}",
74,Toon Link,740.0,{'740': 3},
75,Duck Hunt,711.0,"{'711': 2, '11': 1}",
76,Villager,651.0,{'651': 3},
77,Sora,611.0,{'611': 3},
78,Dark Pit,548.0,"{'948': 2, '548': 1}",
79,Mii Swordsman,539.0,"{'939': 4, '539': 2}",
80,Pac-Man,436.0,{'436': 6},
81,Meta Knight,432.0,{'432': 6},
82,Incineroar,307.0,{'307': 3},
83,Corrin,245.0,{'245': 3},
84,Richter,222.0,{'222': 3},
85,Bayonetta,207.0,{'207': 3},
86,Sheik,124.0,{'124': 3},
