rank,character,read_value,candidates,correct
1,Lucas,6273.0,{'6273': 3},
2,Kirby,472.0,{'472': 3},
3,Mr Game and Watch,244.0,{'244': 6},
4,Ness,103.0,{'103': 6},
5,Wii Fit Trainer,86.0,{'86': 6},
6,Captain Falcon,20.0,"{'20': 4, '200': 2}",
7,Donkey Kong,13.0,{'13': 6},
7,Wario,13.0,{'13': 6},
9,Lucina,10.0,{'10': 3},
9,ROB,10.0,{'10': 6},
11,Piranha Plant,9.0,"{'9': 2, '5': 1}",
12,Sonic,5,{'5': 3},
13,Villager,4.0,{'4': 3},
13,Pyra-Mythra,4.0,{'4': 3},
15,Pit,3.0,{'3': 3},
15,Ike,3.0,{'3': 3},
17,Zero Suit Samus,1.0,{'1': 6},
18,Mario,0.0,{'0': 1},
18,Link,0.0,{'0': 2},
18,Samus,0.0,{'0': 1},
18,Dark Samus,0.0,{'0': 1},
18,Yoshi,0.0,{'0': 2},
18,Fox,0.0,{'0': 2},
18,Pikachu,0.0,{'0': 3},
18,Luigi,0.0,{'0': 1},
18,Jigglypuff,0.0,{'0': 1},
18,Peach,0.0,{'0': 2},
18,Daisy,0.0,{'0': 1},
18,Bowser,0.0,{'0': 2},
18,Ice Climbers,0.0,{'0': 2},
18,Sheik,0.0,{'0': 2},
18,Zelda,0.0,{'0': 1},
18,Dr Mario,0.0,{'0': 1},
18,Pichu,0.0,{'0': 1},
18,Falco,0.0,{'0': 2},
18,Marth,0.0,{'0': 1},
18,Young Link,0.0,"{'0': 1, '6': 1}",
18,Ganondorf,0.0,{'0': 2},
18,Mewtwo,0.0,{'0': 2},
18,Roy,0.0,{'0': 2},
18,Chrom,0.0,{'0': 2},
18,Meta Knight,0.0,{'0': 1},
18,Dark Pit,0.0,{'0': 3},
18,Snake,0.0,{'0': 2},
18,Pokemon Trainer,0.0,{'0': 2},
18,Diddy Kong,0.0,{'0': 2},
18,King Dedede,0.0,{'0': 1},
18,Olimar,0.0,{'0': 2},
18,Lucario,0.0,{'0': 2},
18,Toon Link,0.0,{'0': 2},
18,Sephiroth,0.0,{'0': 5},
18,Mega Man,0.0,{'0': 2},
18,Rosalina and Luma,0.0,{'0': 1},
18,Little Mac,0.0,{'0': 3},
18,Greninja,0.0,{'0': 2},
18,Palutena,0.0,{'0': 1},
18,Pac-Man,0.0,{'0': 2},
18,Robin,0.0,{'0': 2},
18,Shulk,0.0,{'0': 1},
18,Bowser Jr,0.0,{'0': 2},
18,Duck Hunt,0.0,{'0': 2},
18,Ryu,0.0,{'0': 2},
18,Ken,0.0,{'0': 3},
18,Cloud,0.0,{'0': 2},
18,Corrin,0.0,{'0': 1},
18,Bayonetta,0.0,{'0': 1},
18,Inkling,0.0,{'0': 2},
18,Ridley,0.0,{'0': 1},
18,Simon,0.0,{'0': 1},
18,Richter,0.0,{'0': 2},
18,King K Rool,0.0,{'0': 3},
18,Isabelle,0.0,{'0': 2},
18,Incineroar,0.0,{'0': 2},
18,Joker,0.0,{'0': 2},
18,Hero,0.0,{'0': 1},
18,Banjo and Kazooie,0.0,{'0': 1},
18,Terry,0.0,{'0': 2},
18,Byleth,0.0,{'0': 1},
18,Min Min,0.0,{'0': 3},
18,Steve,0.0,{'0': 3},
18,Kazuya,0.0,{'0': 2},
18,Sora,0.0,{'0': 2},
18,Mii Brawler,0.0,{'0': 2},
18,Mii Swordsman,0.0,{'0': 2},
18,Mii Gunner,0.0,{'0': 1},
