rank,character,read_value,candidates,correct
1,Lucas,262969.0,{'262969': 3},
2,Kirby,259588.0,{'259588': 3},
3,Donkey Kong,247672.0,{'247672': 6},
4,Mr Game and Watch,82617.0,{'82617': 6},
5,Samus,48117.0,{'48117': 4},
6,Mii Gunner,36707.0,{'36707': 6},
7,Lucina,26330.0,{'26330': 6},
8,Pyra-Mythra,23991.0,{'23991': 6},
9,Captain Falcon,22099.0,"{'22099': 2, '22559': 1}",
10,Pikachu,21809.0,{'21809': 4},
11,Bowser,21418.0,{'21418': 3},
12,Snake,17575.0,{'17575': 3},
13,Kazuya,15432.0,{'15432': 3},
14,Little Mac,15308.0,{'15308': 3},
15,Ganondorf,14629.0,{'14629': 3},
16,Byleth,12310.0,{'12310': 3},
17,Steve,10636.0,{'10636': 4},
18,ROB,8094.0,{'8094': 3},
19,Jigglypuff,7947.0,"{'1947': 2, '7947': 1}",
20,Ike,7200.0,{'7200': 3},
21,Piranha Plant,6987.0,{'6987': 3},
22,Wolf,5747,{'5747': 3},
23,Ness,5224.0,"{'9224': 2, '5224': 1}",
24,Pichu,4528.0,{'4528': 3},
25,Fox,3648.0,{'3648': 3},
26,Joker,3123.0,{'3123': 3},
27,Marth,2890.0,{'2890': 3},
28,Zelda,2521.0,{'2521': 3},
29,Young Link,2428.0,{'2428': 3},
30,Yoshi,2420.0,{'2420': 3},
31,Falco,2406.0,{'2406': 3},
32,Mario,2404.0,{'2404': 3},
33,Zero Suit Samus,2182.0,{'2182': 3},
34,Simon,2023.0,{'2023': 3},
35,Ice Climbers,2005.0,{'2005': 3},
36,Hero,1922.0,{'1922': 3},
37,Bowser Jr,1889.0,{'1889': 3},
38,King Dedede,1843.0,{'1843': 3},
39,Ken,1764.0,{'1764': 3},
40,Inkling,1723.0,{'1723': 3},
41,Diddy Kong,1582.0,{'1582': 3},
42,Roy,1511.0,{'1511': 3},
43,Peach,1479.0,{'1479': 3},
44,Sonic,1470.0,{'1470': 3},
45,Sephiroth,1465.0,{'1465': 3},
46,Daisy,1459.0,{'1459': 3},
47,Banjo and Kazooie,1447.0,{'1447': 3},
48,Pokemon Trainer,1440.0,{'1440': 3},
49,Dr Mario,1407.0,{'1407': 3},
50,Mewtwo,1360.0,{'1360': 3},
51,Ridley,1335.0,{'1335': 3},
52,Mega Man,1322.0,{'1322': 3},
53,Isabelle,1275.0,"{'205': 2, '1275': 1}",
54,Wii Fit Trainer,1255.0,{'1255': 3},
55,Olimar,1241.0,{'1241': 3},
56,Palutena,1158.0,{'1158': 3},
57,Wario,1144.0,{'1144': 3},
57,Greninja,1144.0,{'1144': 3},
59,Min Min,1138.0,{'1138': 3},
60,Chrom,1094.0,{'1094': 6},
61,Lucario,1092.0,{'1092': 3},
61,Ryu,1092.0,{'1092': 3},
63,Rosalina and Luma,1081.0,{'1081': 3},
64,Cloud,1076.0,{'1076': 3},
65,Shulk,1057.0,{'1057': 3},
66,King K Rool,1029.0,{'1029': 3},
67,Pit,1025.0,{'1025': 3},
68,Dark Samus,987.0,{'987': 3},
69,Mii Brawler,980.0,{'980': 3},
70,Luigi,959.0,{'959': 3},
71,Terry,933.0,{'933': 3},
72,Robin,930.0,{'930': 3},
73,Link,864.0,{'864': 3},
74,Dark Pit,796.0,{'796': 3},
75,Sora,729.0,{'729': 3},
76,Bayonetta,674.0,{'674': 3},
77,Duck Hunt,671.0,{'671': 3},
78,Pac-Man,659.0,{'659': 3},
79,Villager,651.0,{'651': 6},
80,Toon Link,615.0,{'615': 6},
81,Incineroar,528.0,"{'928': 4, '528': 2}",
82,Meta Knight,481.0,{'481': 6},
83,Mii Swordsman,423.0,{'423': 3},
84,Corrin,351.0,{'351': 3},
85,Richter,263.0,{'263': 3},
86,Sheik,240.0,{'240': 3},
