rank,character,read_value,candidates,correct
1,Kirby,167489.0,{'167489': 3},
2,Donkey Kong,135068.0,{'135068': 3},
3,Lucas,129836.0,{'129836': 6},
4,Mr Game and Watch,46523.0,{'46523': 6},
5,Samus,30083.0,{'30083': 6},
6,Lucina,18923.0,{'18923': 6},
7,Mii Gunner,17392.0,{'17392': 6},
8,Captain Falcon,16681.0,{'16681': 6},
9,Pyra-Mythra,15106.0,{'15106': 3},
10,Pikachu,13159.0,{'13159': 3},
11,Little Mac,12932.0,{'12932': 3},
12,Snake,11556.0,{'11556': 3},
13,Kazuya,10202.0,{'10202': 3},
14,Bowser,10104.0,{'10104': 3},
15,Steve,9717.0,"{'9717': 2, '8717': 1}",
16,Byleth,9624.0,"{'9624': 2, '5624': 1}",
17,ROB,9218.0,"{'9218': 2, '5218': 1}",
18,Ganondorf,6725.0,{'6725': 3},
19,Ike,4535.0,{'4535': 3},
20,Jigglypuff,4467.0,{'4467': 3},
21,Piranha Plant,4119.0,{'4119': 3},
22,Wolf,4094.0,{'4094': 3},
23,Ness,3232.0,"{'32352': 2, '3232': 1}",
24,Fox,3123.0,{'3123': 3},
25,Joker,2807.0,{'2807': 3},
26,Pichu,2041.0,{'2041': 3},
27,Marth,2024.0,{'2024': 3},
28,Falco,1998.0,{'1998': 3},
29,Ken,1945.0,{'1945': 3},
30,Zero Suit Samus,1902.0,{'1902': 3},
31,Banjo and Kazooie,1713.0,{'1713': 3},
32,Mario,1701.0,{'1701': 3},
33,Inkling,1685.0,{'1685': 3},
34,Zelda,1585.0,{'1585': 3},
35,Yoshi,1474.0,{'1474': 3},
36,Diddy Kong,1338.0,{'1338': 3},
37,Sonic,1274.0,{'1274': 3},
38,Young Link,1230.0,{'1230': 3},
39,Mewtwo,1188.0,{'1188': 3},
40,Pokemon Trainer,1144.0,{'1144': 3},
41,Ice Climbers,1132.0,{'1132': 3},
42,Bowser Jr,1129.0,{'1129': 3},
43,Roy,1120.0,{'1120': 3},
44,Simon,1109.0,{'1109': 3},
45,Cloud,1062.0,{'1062': 3},
46,Ridley,1054.0,{'1054': 3},
47,Isabelle,1051.0,{'1051': 3},
48,Ryu,928.0,{'928': 3},
49,Chrom,919.0,{'919': 3},
50,Lucario,917.0,{'917': 3},
51,Pit,879.0,{'879': 3},
52,Sephiroth,864.0,{'864': 3},
53,Dr Mario,840.0,{'840': 3},
54,Mii Brawler,830.0,{'830': 3},
55,Daisy,829.0,{'829': 3},
56,Peach,827.0,{'827': 3},
57,Wii Fit Trainer,821.0,{'821': 3},
58,Dark Pit,782.0,{'782': 3},
59,Wario,756.0,{'756': 3},
60,Mega Man,752.0,{'752': 3},
61,King Dedede,749.0,{'749': 6},
62,Greninja,737.0,"{'137': 2, '737': 1}",
63,Hero,717.0,"{'717': 2, '1': 1}",
64,Luigi,698.0,{'698': 3},
65,Rosalina and Luma,616.0,{'616': 3},
66,Shulk,613.0,{'613': 3},
67,Olimar,611.0,{'611': 3},
68,Palutena,574.0,"{'74': 2, '574': 1}",
69,King K Rool,548.0,"{'948': 2, '548': 1}",
70,Terry,538.0,"{'938': 2, '538': 1}",
71,Dark Samus,517.0,"{'917': 2, '517': 1}",
72,Meta Knight,475.0,{'475': 3},
73,Robin,472.0,{'472': 3},
74,Min Min,466.0,{'466': 3},
75,Sora,432.0,{'432': 3},
76,Pac-Man,422.0,{'422': 3},
77,Link,404.0,{'404': 3},
78,Villager,373.0,{'373': 3},
79,Mii Swordsman,345.0,{'345': 6},
80,Duck Hunt,272.0,"{'212': 2, '272': 2, '22': 2}",
81,Toon Link,268.0,{'268': 6},
82,Bayonetta,247.0,{'247': 6},
83,Incineroar,242.0,{'242': 6},
84,Sheik,141.0,{'141': 3},
85,Richter,113.0,{'113': 3},
86,Corrin,100.0,{'100': 3},
