rank,character,read_value,candidates,correct
1,Kirby,2196.0,{'2196': 3},
2,Lucas,2101.0,{'2101': 6},
3,Donkey Kong,1809.0,{'1809': 6},
4,Mr Game and Watch,668.0,{'668': 6},
5,Samus,414.0,{'414': 6},
6,Mii Gunner,287.0,{'287': 6},
7,Lucina,226.0,{'226': 6},
8,Captain Falcon,196.0,{'196': 6},
9,Pikachu,188.0,{'188': 6},
10,Pyra-Mythra,181.0,{'181': 3},
11,Bowser,160.0,{'160': 3},
12,Little Mac,137.0,{'137': 3},
13,Snake,136.0,{'136': 3},
14,Kazuya,120.0,{'120': 3},
15,Ganondorf,118.0,{'118': 3},
16,Byleth,105.0,{'105': 3},
17,Steve,86.0,{'86': 3},
18,Jigglypuff,79.0,{'79': 3},
19,Ike,59.0,"{'39': 2, '59': 1}",
20,Wolf,57,{'57': 3},
21,ROB,54.0,"{'4': 2, '54': 1}",
22,Piranha Plant,47.0,{'47': 3},
23,Ness,46.0,{'46': 3},
24,Pichu,38.0,{'38': 3},
25,Fox,33.0,{'33': 1},
26,Joker,26.0,{'26': 3},
27,Yoshi,24.0,{'24': 3},
28,Zelda,21.0,"{'21': 2, '2': 1}",
28,Young Link,21.0,"{'21': 2, '2': 1}",
30,Mario,20.0,"{'20': 2, '200': 1}",
30,Falco,20.0,"{'20': 2, '200': 1}",
30,Marth,20.0,"{'20': 2, '200': 1}",
30,Zero Suit Samus,20.0,"{'20': 2, '200': 1}",
30,Simon,20.0,"{'20': 2, '200': 1}",
35,Ice Climbers,17.0,"{'17': 2, '7': 1}",
35,Roy,17.0,"{'17': 2, '7': 1}",
37,Hero,16.0,{'16': 3},
38,King Dedede,15.0,"{'15': 2, '150': 1}",
38,Ken,15.0,{'15': 3},
38,Ridley,15.0,{'15': 3},
41,Sephiroth,14.0,{'14': 3},
42,Mewtwo,13.0,{'13': 3},
42,Pokemon Trainer,13.0,{'13': 3},
42,Sonic,13.0,{'13': 3},
45,Peach,12.0,{'12': 3},
45,Dr Mario,12.0,{'12': 3},
45,Diddy Kong,12.0,{'12': 3},
45,Bowser Jr,12.0,{'12': 3},
45,Inkling,12.0,{'12': 3},
50,Greninja,11.0,{'11': 2},
50,Isabelle,11.0,{'11': 2},
50,Banjo and Kazooie,11.0,{'11': 2},
53,Daisy,10.0,{'10': 3},
53,Chrom,10.0,{'10': 3},
55,Olimar,9.0,{'9': 2},
55,Wii Fit Trainer,9.0,{'9': 2},
55,Shulk,9.0,{'9': 2},
55,Duck Hunt,9.0,"{'9': 1, '2': 1}",
55,Cloud,9.0,"{'9': 2, '2': 1}",
55,Bayonetta,9.0,"{'9': 1, '2': 1}",
55,Mii Brawler,9.0,"{'9': 1, '2': 1}",
62,Pit,8.0,{'8': 2},
62,Wario,8.0,{'8': 3},
62,Lucario,8.0,{'8': 2},
62,Mega Man,8.0,{'8': 3},
62,Rosalina and Luma,8.0,{'8': 3},
62,Ryu,8.0,{'8': 3},
62,Terry,8.0,{'8': 2},
69,Link,7.0,{'7': 3},
69,Dark Samus,7.0,{'7': 3},
69,Luigi,7.0,{'7': 3},
69,Palutena,7.0,{'7': 3},
69,Robin,7.0,{'7': 3},
74,Dark Pit,6.0,{'6': 3},
74,Villager,6.0,{'6': 3},
74,Pac-Man,6.0,{'6': 3},
74,Min Min,6.0,{'6': 3},
74,Sora,6.0,{'6': 3},
79,Meta Knight,5.0,"{'9': 2, '5': 4}",
79,Incineroar,5.0,"{'9': 4, '5': 2}",
81,Toon Link,4.0,{'4': 6},
81,King K Rool,4.0,{'4': 6},
83,Sheik,3.0,{'3': 6},
83,Corrin,3.0,{'3': 3},
83,Mii Swordsman,3.0,{'3': 3},
86,Richter,2.0,{'2': 3},
