rank,character,read_value,candidates,correct
1,Kirby,362.0,{'362': 3},
2,Lucas,220.0,{'220': 3},
3,Mr Game and Watch,185.0,{'185': 6},
4,Donkey Kong,146.0,{'146': 6},
5,Simon,72.0,{'72': 6},
6,Pikachu,48.0,{'48': 6},
7,ROB,42.0,{'42': 6},
8,Samus,34.0,{'34': 6},
9,Lucina,29.0,"{'29': 2, '290': 1}",
10,Diddy Kong,21.0,{'21': 3},
10,Mii Gunner,21.0,"{'21': 2, '2': 1}",
12,Captain Falcon,19.0,{'19': 3},
13,Ness,15.0,{'15': 3},
13,Bowser Jr,15.0,{'15': 3},
13,Pyra-Mythra,15.0,{'15': 3},
16,Snake,14.0,{'14': 6},
16,Piranha Plant,14.0,{'14': 3},
18,Richter,13.0,{'13': 3},
19,Sonic,10.0,{'10': 3},
20,Ike,9.0,{'9': 2},
21,Wario,7.0,{'7': 3},
21,Banjo and Kazooie,7.0,{'7': 3},
23,Link,6.0,{'6': 6},
23,Peach,6.0,{'6': 3},
23,Bowser,6.0,{'6': 3},
23,Sheik,6.0,{'6': 3},
27,Pichu,5.0,"{'9': 2, '5': 1}",
28,Mario,4.0,{'4': 3},
28,Villager,4.0,{'4': 3},
28,Isabelle,4.0,{'4': 3},
28,Steve,4.0,{'4': 3},
28,Kazuya,4.0,{'4': 3},
33,Ice Climbers,3.0,{'3': 3},
33,Zelda,3.0,{'3': 3},
33,Ganondorf,3.0,{'3': 3},
33,Wolf,3.0,{'3': 3},
33,Little Mac,3.0,{'3': 6},
38,Jigglypuff,2.0,{'2': 3},
38,Daisy,2.0,{'2': 3},
38,Dr Mario,2.0,{'2': 3},
38,Zero Suit Samus,2.0,{'2': 3},
38,Greninja,2.0,{'2': 3},
43,Fox,1.0,{'1': 3},
43,Marth,1.0,{'1': 3},
43,Pit,1.0,{'1': 3},
43,Shulk,1.0,{'1': 3},
43,Ken,1.0,{'1': 3},
43,Inkling,1.0,{'1': 3},
43,Joker,1.0,{'1': 3},
43,Byleth,1.0,{'1': 3},
51,Dark Samus,0.0,{'0': 1},
51,Yoshi,0.0,{'0': 1},
51,Luigi,0.0,{'0': 2},
51,Young Link,0.0,{'0': 2},
51,Mewtwo,0.0,{'0': 2},
51,Roy,0.0,{'0': 2},
51,Chrom,0.0,{'0': 1},
51,Meta Knight,0.0,{'0': 1},
51,Dark Pit,0.0,{'0': 1},
51,Pokemon Trainer,0.0,{'0': 1},
51,King Dedede,0.0,{'0': 1},
51,Olimar,0.0,{'0': 2},
51,Lucario,0.0,{'0': 2},
51,Toon Link,0.0,{'0': 1},
51,Mega Man,0.0,{'0': 2},
51,Wii Fit Trainer,0.0,{'0': 3},
51,Rosalina and Luma,0.0,{'0': 1},
51,Palutena,0.0,{'0': 1},
51,Pac-Man,0.0,{'0': 2},
51,Robin,0.0,{'0': 1},
51,Duck Hunt,0.0,{'0': 2},
51,Ryu,0.0,{'0': 2},
51,Cloud,0.0,{'0': 1},
51,Corrin,0.0,{'0': 1},
51,Bayonetta,0.0,{'0': 1},
51,Ridley,0.0,{'0': 2},
51,King K Rool,0.0,{'0': 1},
51,Incineroar,0.0,{'0': 4},
51,Hero,0.0,{'0': 3},
51,Terry,0.0,{'0': 4},
51,Min Min,0.0,{'0': 1},
51,Sephiroth,0.0,{'0': 2},
51,Sora,0.0,{'0': 2},
51,Mii Brawler,0.0,{'0': 1},
51,Mii Swordsman,0.0,{'0': 2},
