rank,character,read_value,candidates,correct
1,Kirby,24.0,{'24': 3},
2,Lucas,18.0,{'18': 3},
3,Donkey Kong,12.0,{'12': 6},
4,Pikachu,8.0,{'8': 5},
5,Mii Gunner,7.0,{'7': 6},
6,Ness,3.0,{'3': 6},
6,Captain Falcon,3.0,{'3': 6},
6,Lucina,3.0,{'3': 6},
6,ROB,3.0,{'3': 3},
10,Mr Game and Watch,2.0,{'2': 3},
10,Diddy Kong,2.0,{'2': 3},
10,Sonic,2.0,{'2': 3},
13,Samus,1.0,{'1': 3},
13,Daisy,1.0,{'1': 3},
13,Bowser,1.0,{'1': 3},
13,Young Link,1.0,{'1': 3},
13,Ike,1.0,{'1': 6},
13,Toon Link,1.0,{'1': 3},
13,Piranha Plant,1.0,{'1': 3},
20,Mario,0.0,{'0': 2},
20,Link,0.0,{'0': 2},
20,Dark Samus,0.0,{'0': 2},
20,Yoshi,0.0,{'0': 2},
20,Fox,0.0,{'0': 4},
20,Luigi,0.0,{'0': 1},
20,Jigglypuff,0.0,{'0': 1},
20,Peach,0.0,{'0': 2},
20,Ice Climbers,0.0,{'0': 2},
20,Sheik,0.0,{'0': 1},
20,Zelda,0.0,{'0': 2},
20,Dr Mario,0.0,{'0': 2},
20,Pichu,0.0,{'0': 1},
20,Falco,0.0,{'0': 2},
20,Marth,0.0,{'0': 2},
20,Ganondorf,0.0,{'0': 3},
20,Mewtwo,0.0,{'0': 2},
20,Roy,0.0,{'0': 2},
20,Chrom,0.0,{'0': 1},
20,Meta Knight,0.0,{'0': 3},
20,Pit,0.0,{'0': 1},
20,Dark Pit,0.0,{'0': 1},
20,Zero Suit Samus,0.0,{'0': 1},
20,Wario,0.0,{'0': 1},
20,Snake,0.0,{'0': 3},
20,Pokemon Trainer,0.0,{'0': 2},
20,King Dedede,0.0,{'0': 2},
20,Olimar,0.0,{'0': 1},
20,Lucario,0.0,{'0': 2},
20,Wolf,0.0,{'0': 1},
20,Villager,0.0,{'0': 3},
20,Mega Man,0.0,{'0': 1},
20,Wii Fit Trainer,0.0,{'0': 2},
20,Little Mac,0.0,{'0': 1},
20,Greninja,0.0,{'0': 1},
20,Palutena,0.0,{'0': 1},
20,Pac-Man,0.0,{'0': 2},
20,Robin,0.0,{'0': 1},
20,Shulk,0.0,"{'0': 1, '6': 1}",
20,Bowser Jr,0.0,{'0': 2},
20,Duck Hunt,0.0,{'0': 2},
20,Ryu,0.0,{'0': 2},
20,Ken,0.0,{'0': 1},
20,Cloud,0.0,{'0': 2},
20,Corrin,0.0,{'0': 2},
20,Bayonetta,0.0,{'0': 1},
20,Inkling,0.0,{'0': 2},
20,Ridley,0.0,{'0': 1},
20,Simon,0.0,{'0': 2},
20,Richter,0.0,{'0': 1},
20,King K Rool,0.0,{'0': 2},
20,Isabelle,0.0,{'0': 2},
20,Incineroar,0.0,{'0': 2},
20,Joker,0.0,{'0': 2},
20,Hero,0.0,{'0': 1},
20,Banjo and Kazooie,0.0,{'0': 1},
20,Terry,0.0,{'0': 2},
20,Byleth,0.0,{'0': 2},
20,Min Min,0.0,{'0': 4},
20,Steve,0.0,{'0': 3},
20,Sephiroth,0.0,{'0': 3},
20,Pyra-Mythra,0.0,{'0': 2},
20,Kazuya,0.0,{'0': 2},
20,Sora,0.0,{'0': 2},
20,Mii Brawler,0.0,{'0': 1},
20,Mii Swordsman,0.0,{'0': 2},
