rank,character,read_value,candidates,correct
1,Lucas,777,{'777': 3},
2,Kirby,541.0,"{'41': 2, '541': 1}",
3,Donkey Kong,420.0,"{'420': 4, '4200': 2}",
4,Mr Game and Watch,245.0,{'245': 6},
5,Pyra-Mythra,109.0,{'109': 6},
6,Bowser,100.0,{'100': 6},
7,Mii Gunner,94.0,{'94': 6},
8,Kazuya,62.0,{'62': 6},
9,Ganondorf,49.0,{'49': 3},
10,Lucina,45.0,{'45': 3},
11,Little Mac,42.0,{'42': 3},
12,Samus,39.0,{'39': 3},
13,Steve,36.0,{'36': 3},
14,Snake,35.0,{'35': 3},
15,Pikachu,25.0,{'25': 3},
16,Piranha Plant,18.0,{'18': 3},
17,ROB,15.0,{'15': 3},
17,Byleth,15.0,{'15': 3},
19,Wolf,12.0,{'12': 3},
20,Fox,10.0,{'10': 3},
20,Captain Falcon,10.0,{'10': 3},
20,Simon,10.0,{'10': 3},
23,Falco,9.0,{'9': 1},
23,Rosalina and Luma,9.0,{'9': 1},
25,Ice Climbers,8.0,{'8': 3},
25,Young Link,8.0,{'8': 2},
25,Inkling,8.0,{'8': 3},
25,Joker,8.0,{'8': 3},
29,Ness,7.0,{'7': 3},
29,Pichu,7.0,{'7': 3},
29,Mewtwo,7.0,{'7': 3},
29,Min Min,7.0,{'7': 3},
33,Jigglypuff,6.0,{'6': 3},
33,Dr Mario,6.0,{'6': 3},
33,Zero Suit Samus,6.0,{'6': 3},
33,Bowser Jr,6.0,{'6': 3},
37,Mario,5.0,{'5': 1},
37,Chrom,5.0,{'5': 1},
37,Ken,5.0,"{'9': 2, '5': 1}",
40,Diddy Kong,4.0,{'4': 3},
40,Wii Fit Trainer,4.0,{'4': 3},
40,Greninja,4.0,{'4': 3},
40,Robin,4.0,{'4': 3},
40,Shulk,4.0,{'4': 3},
40,Cloud,4.0,{'4': 3},
40,King K Rool,4.0,{'4': 3},
40,Sephiroth,4.0,{'4': 3},
48,Zelda,3.0,{'3': 3},
48,Wario,3.0,{'3': 3},
48,Sonic,3.0,{'3': 3},
48,Lucario,3.0,{'3': 3},
48,Terry,3.0,{'3': 3},
53,Link,2.0,{'2': 3},
53,Daisy,2.0,{'2': 3},
53,Marth,2.0,{'2': 3},
53,Roy,2.0,{'2': 3},
53,Pokemon Trainer,2.0,{'2': 3},
53,Toon Link,2.0,{'2': 3},
53,Villager,2.0,{'2': 3},
53,Palutena,2.0,{'2': 3},
53,Ryu,2.0,{'2': 3},
53,Richter,2.0,{'2': 3},
53,Banjo and Kazooie,2.0,{'2': 3},
53,Sora,2.0,{'2': 3},
53,Mii Brawler,2.0,{'2': 3},
66,Luigi,1.0,{'1': 3},
66,Pit,1.0,{'1': 3},
66,Dark Pit,1.0,{'1': 3},
66,King Dedede,1.0,{'1': 3},
66,Mega Man,1.0,{'1': 3},
66,Bayonetta,1.0,{'1': 3},
66,Ridley,1.0,{'1': 3},
66,Incineroar,1.0,{'1': 3},
66,Hero,1.0,{'1': 6},
75,Dark Samus,0.0,{'0': 3},
75,Peach,0.0,{'0': 2},
75,Sheik,0.0,{'0': 4},
75,Meta Knight,0.0,{'0': 3},
75,Olimar,0.0,{'0': 2},
75,Pac-Man,0.0,{'0': 2},
75,Duck Hunt,0.0,{'0': 4},
75,Corrin,0.0,{'0': 1},
75,Isabelle,0.0,{'0': 1},
75,Mii Swordsman,0.0,{'0': 1},
