rank,character,read_value,candidates,correct
1,Kirby,1225.0,"{'1229': 2, '12250': 1}",
2,Lucas,961.0,{'961': 3},
3,Donkey Kong,606.0,{'606': 6},
4,Samus,180.0,{'180': 6},
5,Mii Gunner,162.0,{'162': 6},
6,Mr Game and Watch,128.0,{'128': 6},
7,Pyra-Mythra,106.0,{'106': 6},
8,Captain Falcon,104.0,{'104': 6},
9,Little Mac,83.0,{'83': 3},
10,Pikachu,73.0,{'73': 3},
11,Byleth,64.0,{'64': 3},
12,Ganondorf,58.0,"{'8': 2, '58': 1}",
13,Bowser,54.0,"{'4': 2, '54': 1}",
14,Lucina,48.0,{'48': 3},
15,Snake,47.0,{'47': 3},
16,Jigglypuff,30.0,{'30': 3},
17,Ike,22.0,{'22': 3},
18,Piranha Plant,17.0,"{'17': 2, '7': 1}",
18,Kazuya,17.0,"{'17': 2, '7': 1}",
20,Pichu,16.0,{'16': 3},
21,Steve,11.0,{'11': 2},
22,Zelda,9.0,"{'9': 1, '2': 1}",
22,Marth,9.0,"{'9': 1, '2': 1}",
22,ROB,9.0,{'9': 2},
22,Wolf,9.0,"{'9': 1, '2': 1}",
26,Yoshi,8.0,{'8': 3},
26,Ness,8.0,{'8': 2},
26,King Dedede,8.0,{'8': 2},
26,Joker,8.0,{'8': 3},
30,Dark Samus,7.0,{'7': 3},
30,Luigi,7.0,{'7': 3},
30,Hero,7.0,{'7': 4},
33,Chrom,5.0,"{'2': 2, '5': 1}",
33,Wii Fit Trainer,5.0,"{'9': 2, '5': 1}",
33,Greninja,5.0,"{'9': 2, '5': 1}",
33,Bowser Jr,5.0,"{'9': 2, '5': 1}",
33,Ken,5.0,"{'9': 2, '5': 1}",
33,Simon,5.0,"{'9': 2, '5': 1}",
33,Banjo and Kazooie,5.0,{'5': 6},
33,Sephiroth,5.0,{'5': 1},
41,Daisy,4.0,{'4': 3},
41,Roy,4.0,{'4': 3},
41,Zero Suit Samus,4.0,{'4': 3},
41,Pokemon Trainer,4.0,{'4': 3},
41,Diddy Kong,4.0,{'4': 3},
41,Villager,4.0,{'4': 6},
47,Peach,3.0,{'3': 1},
47,Young Link,3.0,{'3': 3},
47,Ridley,3.0,{'3': 3},
47,Mii Brawler,3.0,{'3': 3},
51,Mario,2.0,{'2': 3},
51,Fox,2.0,{'2': 3},
51,Mewtwo,2.0,{'2': 6},
51,Meta Knight,2.0,{'2': 3},
51,Lucario,2.0,{'2': 3},
51,Palutena,2.0,{'2': 3},
51,Robin,2.0,{'2': 3},
51,Ryu,2.0,{'2': 3},
51,Corrin,2.0,{'2': 3},
51,Sora,2.0,{'2': 6},
61,Link,1.0,{'1': 3},
61,Ice Climbers,1.0,{'1': 3},
61,Dr Mario,1.0,{'1': 3},
61,Pit,1.0,{'1': 3},
61,Wario,1.0,{'1': 3},
61,Sonic,1.0,{'1': 3},
61,Olimar,1.0,{'1': 3},
61,Toon Link,1.0,{'1': 3},
61,Mega Man,1.0,{'1': 3},
61,Shulk,1.0,{'1': 3},
61,Duck Hunt,1.0,{'1': 3},
61,Richter,1.0,{'1': 3},
61,King K Rool,1.0,{'1': 3},
61,Terry,1.0,{'1': 3},
61,Mii Swordsman,1.0,{'1': 3},
76,Sheik,0.0,{'0': 2},
76,Falco,0.0,{'0': 2},
76,Dark Pit,0.0,{'0': 2},
76,Rosalina and Luma,0.0,{'0': 4},
76,Pac-Man,0.0,{'0': 3},
76,Cloud,0.0,{'0': 4},
76,Bayonetta,0.0,{'0': 4},
76,Inkling,0.0,{'0': 2},
76,Isabelle,0.0,"{'0': 1, '8': 1}",
76,Incineroar,0.0,{'0': 1},
76,Min Min,0.0,{'0': 2},
