rank,character,read_value,candidates,correct
1,Donkey Kong,247.0,{'247': 3},
2,Kirby,246.0,{'246': 3},
3,Lucas,224.0,{'224': 6},
4,Mr Game and Watch,63.0,{'63': 6},
5,Lucina,37.0,{'37': 6},
6,Samus,35.0,{'35': 6},
7,Pikachu,34.0,{'34': 6},
8,Captain Falcon,31.0,{'31': 6},
9,Bowser,23.0,{'23': 3},
9,Mii Gunner,23.0,{'23': 3},
11,Little Mac,21.0,"{'21': 2, '2': 1}",
12,Jigglypuff,20.0,"{'20': 2, '200': 1}",
13,Byleth,17.0,"{'17': 2, '7': 1}",
13,Pyra-Mythra,17.0,"{'17': 2, '7': 1}",
13,Kazuya,17.0,"{'17': 2, '7': 1}",
16,Wolf,14.0,{'14': 3},
17,Ganondorf,13.0,{'13': 6},
17,Steve,13.0,{'13': 3},
19,Snake,11.0,{'11': 2},
19,Ike,11.0,{'11': 2},
21,Ness,9.0,{'9': 2},
22,Fox,8.0,{'8': 3},
23,Pichu,7.0,{'7': 3},
24,ROB,6.0,{'6': 3},
25,Yoshi,5.0,"{'9': 2, '5': 1}",
25,Falco,5.0,"{'9': 2, '5': 1}",
25,Piranha Plant,5.0,"{'9': 2, '5': 1}",
28,Mario,4.0,{'4': 3},
28,Young Link,4.0,{'4': 3},
28,Roy,4.0,{'4': 3},
28,Ridley,4.0,{'4': 3},
28,Sephiroth,4.0,{'4': 3},
33,Ice Climbers,3.0,{'3': 3},
33,Zelda,3.0,{'3': 3},
33,Dr Mario,3.0,{'3': 3},
33,Mewtwo,3.0,{'3': 3},
33,Zero Suit Samus,3.0,{'3': 3},
33,Greninja,3.0,{'3': 3},
33,Ken,3.0,{'3': 3},
33,Simon,3.0,{'3': 3},
33,Joker,3.0,{'3': 3},
33,Hero,3.0,{'3': 3},
43,Peach,2.0,{'2': 3},
43,Marth,2.0,{'2': 3},
43,Pokemon Trainer,2.0,{'2': 3},
43,King Dedede,2.0,{'2': 3},
43,Shulk,2.0,{'2': 3},
43,Bowser Jr,2.0,{'2': 3},
43,Cloud,2.0,{'2': 3},
43,Incineroar,2.0,{'2': 3},
43,Banjo and Kazooie,2.0,{'2': 3},
52,Link,1.0,{'1': 3},
52,Dark Samus,1.0,{'1': 6},
52,Daisy,1.0,{'1': 3},
52,Sheik,1.0,{'1': 3},
52,Chrom,1.0,{'1': 3},
52,Meta Knight,1.0,{'1': 3},
52,Dark Pit,1.0,{'1': 3},
52,Wario,1.0,{'1': 3},
52,Diddy Kong,1.0,{'1': 3},
52,Sonic,1.0,{'1': 3},
52,Villager,1.0,{'1': 3},
52,Palutena,1.0,{'1': 3},
52,Pac-Man,1.0,{'1': 3},
52,Robin,1.0,{'1': 3},
52,Duck Hunt,1.0,{'1': 3},
52,Ryu,1.0,{'1': 3},
52,Corrin,1.0,{'1': 3},
52,Bayonetta,1.0,{'1': 3},
52,Inkling,1.0,{'1': 3},
52,Terry,1.0,{'1': 3},
52,Sora,1.0,{'1': 3},
73,Luigi,0.0,{'0': 1},
73,Pit,0.0,{'0': 2},
73,Olimar,0.0,{'0': 2},
73,Lucario,0.0,{'0': 1},
73,Toon Link,0.0,{'0': 1},
73,Mega Man,0.0,{'0': 1},
73,Wii Fit Trainer,0.0,{'0': 4},
73,Rosalina and Luma,0.0,{'0': 4},
73,Richter,0.0,{'0': 2},
73,King K Rool,0.0,{'0': 4},
73,Isabelle,0.0,{'0': 3},
73,Min Min,0.0,{'0': 1},
73,Mii Brawler,0.0,{'0': 1},
73,Mii Swordsman,0.0,{'0': 2},
