rank,character,read_value,candidates,correct
1,Lucas,18.0,{'18': 3},
2,Kirby,17.0,"{'17': 2, '7': 1}",
3,Donkey Kong,15.0,{'15': 6},
4,Captain Falcon,9.0,"{'9': 4, '5': 2}",
5,Samus,4.0,{'4': 6},
6,Jigglypuff,3.0,{'3': 6},
6,Ganondorf,3.0,{'3': 6},
6,Wolf,3.0,{'3': 6},
9,Lucina,2.0,{'2': 6},
9,Snake,2.0,{'2': 3},
9,Pokemon Trainer,2.0,{'2': 3},
9,Diddy Kong,2.0,{'2': 3},
9,Little Mac,2.0,{'2': 3},
9,Piranha Plant,2.0,{'2': 3},
9,Byleth,2.0,{'2': 3},
9,Pyra-Mythra,2.0,{'2': 6},
17,Mario,1.0,{'1': 3},
17,Yoshi,1.0,{'1': 3},
17,Peach,1.0,{'1': 3},
17,Zelda,1.0,{'1': 3},
17,Marth,1.0,{'1': 3},
17,King Dedede,1.0,{'1': 3},
17,ROB,1.0,{'1': 3},
17,Ken,1.0,{'1': 3},
17,Incineroar,1.0,{'1': 3},
17,Joker,1.0,{'1': 3},
17,Hero,1.0,{'1': 3},
17,Banjo and Kazooie,1.0,{'1': 3},
17,Sephiroth,1.0,{'1': 3},
17,Mii Gunner,1.0,{'1': 3},
31,Link,0.0,{'0': 1},
31,Dark Samus,0.0,{'0': 2},
31,Fox,0.0,{'0': 2},
31,Pikachu,0.0,{'0': 2},
31,Luigi,0.0,{'0': 1},
31,Ness,0.0,{'0': 1},
31,Daisy,0.0,{'0': 1},
31,Bowser,0.0,{'0': 3},
31,Ice Climbers,0.0,{'0': 1},
31,Sheik,0.0,{'0': 2},
31,Dr Mario,0.0,{'0': 2},
31,Pichu,0.0,{'0': 3},
31,Falco,0.0,{'0': 2},
31,Young Link,0.0,{'0': 2},
31,Mewtwo,0.0,{'0': 2},
31,Roy,0.0,{'0': 1},
31,Chrom,0.0,{'0': 1},
31,Mr Game and Watch,0.0,{'0': 2},
31,Meta Knight,0.0,{'0': 2},
31,Pit,0.0,{'0': 2},
31,Dark Pit,0.0,{'0': 2},
31,Zero Suit Samus,0.0,{'0': 2},
31,Wario,0.0,{'0': 1},
31,Ike,0.0,{'0': 2},
31,Sonic,0.0,{'0': 2},
31,Olimar,0.0,{'0': 2},
31,Lucario,0.0,{'0': 2},
31,Toon Link,0.0,{'0': 2},
31,Villager,0.0,{'0': 2},
31,Mega Man,0.0,{'0': 1},
31,Wii Fit Trainer,0.0,{'0': 3},
31,Rosalina and Luma,0.0,{'0': 2},
31,Greninja,0.0,{'0': 1},
31,Palutena,0.0,{'0': 2},
31,Pac-Man,0.0,{'0': 3},
31,Robin,0.0,{'0': 2},
31,Shulk,0.0,{'0': 1},
31,Bowser Jr,0.0,{'0': 1},
31,Duck Hunt,0.0,{'0': 1},
31,Ryu,0.0,{'0': 2},
31,Cloud,0.0,{'0': 1},
31,Corrin,0.0,{'0': 1},
31,Bayonetta,0.0,{'0': 2},
31,Inkling,0.0,{'0': 1},
31,Ridley,0.0,{'0': 2},
31,Simon,0.0,{'0': 1},
31,Richter,0.0,{'0': 1},
31,King K Rool,0.0,{'0': 1},
31,Isabelle,0.0,{'0': 4},
31,Terry,0.0,{'0': 2},
31,Min Min,0.0,{'0': 3},
31,Steve,0.0,{'0': 3},
31,Kazuya,0.0,{'0': 2},
31,Sora,0.0,{'0': 1},
31,Mii Brawler,0.0,{'0': 1},
31,Mii Swordsman,0.0,{'0': 1},
