rank,character,read_value,candidates,correct
1,Luigi,100.0,{'100.0': 3},
1,Toon Link,100.0,{'100.0': 3},
1,Mega Man,100.0,{'100.0': 6},
1,Wii Fit Trainer,100.0,{'100.0': 6},
1,Richter,100.0,{'100.0': 6},
1,King K Rool,100.0,{'100.0': 6},
1,Min Min,100.0,{'100.0': 6},
8,Daisy,75.0,{'75.0': 6},
8,Olimar,75.0,{'75.0': 3},
10,Piranha Plant,72.72,"{'72.72': 4, '7.22': 2}",
11,Link,66.66,{'66.66': 3},
11,Dark Samus,66.66,{'66.66': 3},
11,Diddy Kong,66.66,{'66.66': 3},
11,Villager,66.66,{'66.66': 3},
11,Palutena,66.66,{'66.66': 3},
11,Joker,66.66,{'66.66': 3},
17,Lucas,66.0,{'66.0': 3},
18,King Dedede,60.0,{'60.0': 3},
18,Bowser Jr,60.0,{'60.0': 3},
20,ROB,56.52,"{'96.52': 2, '56.52': 1}",
21,Mii Gunner,56.0,{'56.0': 3},
22,Pyra-Mythra,54.0,"{'94.0': 2, '54.0': 1}",
23,Ness,52.38,"{'92.38': 2, '52.38': 1}",
24,Samus,52.0,{'52.0': 3},
24,Mr Game and Watch,52.0,{'52.0': 3},
26,Kirby,50.0,{'50.0': 3},
26,Marth,50.0,{'50.0': 3},
26,Chrom,50.0,{'50.0': 3},
26,Meta Knight,50.0,{'50.0': 3},
26,Cloud,50.0,{'50.0': 3},
26,Mii Brawler,50.0,{'50.0': 3},
32,Snake,46.0,{'46.0': 3},
33,Donkey Kong,42.0,{'42.0': 3},
34,Peach,40.0,{'40.0': 3},
34,Mewtwo,40.0,{'40.0': 3},
34,Sonic,40.0,{'40.0': 3},
34,Inkling,40.0,{'40.0': 3},
34,Banjo and Kazooie,40.0,{'40.0': 3},
39,Ganondorf,39.53,{'39.53': 3},
40,Steve,39.39,{'39.39': 3},
41,Falco,37.5,{'37.5': 3},
41,Byleth,37.5,{'37.5': 3},
43,Kazuya,36.36,{'36.36': 3},
44,Pit,33.33,{'33.33': 3},
44,Wario,33.33,{'33.33': 3},
44,Lucario,33.33,"{'31.33': 2, '33.33': 1}",
44,Rosalina and Luma,33.33,{'33.33': 3},
44,Robin,33.33,{'33.33': 3},
44,Shulk,33.33,{'33.33': 3},
44,Duck Hunt,33.33,{'33.33': 3},
44,Ryu,33.33,{'33.33': 3},
44,Ken,33.33,{'33.33': 3},
44,Terry,33.33,"{'55.35': 2, '33.33': 1}",
54,Pikachu,32.0,{'32.0': 3},
55,Ike,30.43,{'30.43': 3},
56,Lucina,30.0,{'30.0': 3},
57,Pichu,28.57,{'28.57': 3},
57,Zero Suit Samus,28.57,{'28.57': 3},
57,Simon,28.57,{'28.57': 3},
60,Zelda,25.0,{'25.0': 3},
60,Young Link,25.0,{'25.0': 3},
60,Greninja,25.0,{'25.0': 3},
60,Isabelle,25.0,{'25.0': 3},
64,Bowser,24.0,{'24.0': 3},
65,Yoshi,22.22,{'22.22': 3},
66,Captain Falcon,22.0,{'22.0': 3},
67,Hero,20.0,{'20.0': 3},
68,Little Mac,18.36,{'18.36': 6},
69,Fox,18.18,{'18.18': 3},
70,Roy,16.66,{'16.66': 3},
71,Mario,14.28,{'14.28': 3},
71,Wolf,14.28,{'14.28': 3},
73,Jigglypuff,10.71,{'10.71': 3},
74,Ice Climbers,0.0,{'0.0': 3},
74,Sheik,0.0,{'0.0': 3},
74,Dr Mario,0.0,{'0.0': 3},
74,Dark Pit,0.0,{'0.0': 3},
74,Pokemon Trainer,0.0,{'0.0': 3},
74,Pac-Man,0.0,{'0.0': 6},
74,Corrin,0.0,{'0.0': 6},
74,Bayonetta,0.0,{'0.0': 6},
74,Ridley,0.0,{'0.0': 6},
74,Incineroar,0.0,{'0.0': 3},
74,Sephiroth,0.0,{'0.0': 3},
74,Sora,0.0,{'0.0': 3},
74,Mii Swordsman,0.0,{'0.0': 3},
