rank,character,read_value,candidates,correct
1,Kirby,437.0,{'437': 3},
2,Lucas,427.0,{'427': 3},
3,Donkey Kong,259.0,{'259': 6},
4,Mr Game and Watch,122.0,{'122': 6},
5,Samus,83.0,{'83': 6},
6,Mii Gunner,72.0,{'72': 6},
7,Pyra-Mythra,41.0,{'41': 6},
8,Lucina,29.0,"{'29': 5, '290': 1}",
9,Pikachu,24.0,{'24': 3},
9,Snake,24.0,{'24': 3},
11,Captain Falcon,17.0,"{'17': 2, '7': 1}",
11,Ganondorf,17.0,"{'17': 2, '7': 1}",
13,Piranha Plant,16.0,{'16': 3},
13,Kazuya,16.0,{'16': 3},
15,Bowser,15.0,{'15': 3},
15,Byleth,15.0,"{'15': 2, '150': 1}",
17,ROB,13.0,{'13': 3},
17,Steve,13.0,{'13': 3},
19,Ness,11.0,{'11': 2},
20,Little Mac,9.0,{'9': 2},
21,Joker,8.0,{'8': 3},
22,Ike,7.0,{'7': 3},
23,Pichu,4.0,{'4': 3},
23,Marth,4.0,{'4': 3},
23,Diddy Kong,4.0,{'4': 3},
23,Mega Man,4.0,{'4': 3},
23,Wii Fit Trainer,4.0,{'4': 3},
28,Luigi,3.0,{'3': 3},
28,Jigglypuff,3.0,{'3': 3},
28,Daisy,3.0,{'3': 3},
28,Falco,3.0,{'3': 3},
28,King Dedede,3.0,{'3': 3},
28,Olimar,3.0,{'3': 3},
28,Wolf,3.0,{'3': 3},
28,Bowser Jr,3.0,{'3': 3},
28,King K Rool,3.0,{'3': 3},
28,Min Min,3.0,{'3': 3},
38,Link,2.0,{'2': 3},
38,Dark Samus,2.0,{'2': 3},
38,Yoshi,2.0,{'2': 3},
38,Fox,2.0,{'2': 3},
38,Peach,2.0,{'2': 3},
38,Zelda,2.0,{'2': 3},
38,Young Link,2.0,{'2': 3},
38,Mewtwo,2.0,{'2': 3},
38,Chrom,2.0,{'2': 3},
38,Zero Suit Samus,2.0,{'2': 3},
38,Sonic,2.0,{'2': 3},
38,Toon Link,2.0,{'2': 3},
38,Villager,2.0,{'2': 3},
38,Palutena,2.0,{'2': 3},
38,Ken,2.0,{'2': 3},
38,Cloud,2.0,{'2': 3},
38,Inkling,2.0,{'2': 3},
38,Simon,2.0,{'2': 3},
38,Banjo and Kazooie,2.0,{'2': 3},
38,Mii Brawler,2.0,{'2': 3},
58,Mario,1.0,{'1': 3},
58,Roy,1.0,{'1': 3},
58,Meta Knight,1.0,{'1': 3},
58,Pit,1.0,{'1': 3},
58,Wario,1.0,{'1': 3},
58,Lucario,1.0,{'1': 3},
58,Rosalina and Luma,1.0,{'1': 3},
58,Greninja,1.0,{'1': 3},
58,Robin,1.0,{'1': 3},
58,Shulk,1.0,{'1': 3},
58,Duck Hunt,1.0,{'1': 3},
58,Ryu,1.0,{'1': 3},
58,Richter,1.0,{'1': 3},
58,Isabelle,1.0,{'1': 3},
58,Hero,1.0,{'1': 3},
58,Terry,1.0,{'1': 3},
74,Ice Climbers,0.0,{'0': 1},
74,Sheik,0.0,{'0': 1},
74,Dr Mario,0.0,{'0': 1},
74,Dark Pit,0.0,{'0': 2},
74,Pokemon Trainer,0.0,{'0': 1},
74,Pac-Man,0.0,{'0': 3},
74,Corrin,0.0,{'0': 2},
74,Bayonetta,0.0,{'0': 1},
74,Ridley,0.0,{'0': 2},
74,Incineroar,0.0,{'0': 2},
74,Sephiroth,0.0,{'0': 2},
74,Sora,0.0,{'0': 1},
74,Mii Swordsman,0.0,{'0': 2},
