rank,character,read_value,candidates,correct
1,Kirby,10.0,{'10': 3},
2,Lucas,7.0,{'7': 6},
3,Mr Game and Watch,6.0,{'6': 6},
4,Samus,3.0,{'3': 6},
4,Snake,3.0,{'3': 6},
6,Ness,2.0,{'2': 6},
6,Falco,2.0,{'2': 6},
8,Donkey Kong,1.0,{'1': 6},
8,Pikachu,1.0,{'1': 3},
8,Marth,1.0,{'1': 3},
8,Little Mac,1.0,{'1': 3},
8,Piranha Plant,1.0,{'1': 3},
8,Min Min,1.0,{'1': 3},
8,Steve,1.0,{'1': 3},
8,Pyra-Mythra,1.0,{'1': 3},
8,Mii Gunner,1.0,{'1': 3},
17,Mario,0.0,{'0': 2},
17,Link,0.0,{'0': 1},
17,Dark Samus,0.0,{'0': 2},
17,Yoshi,0.0,{'0': 2},
17,Fox,0.0,{'0': 2},
17,Luigi,0.0,{'0': 3},
17,Captain Falcon,0.0,{'0': 2},
17,Jigglypuff,0.0,{'0': 3},
17,Peach,0.0,{'0': 2},
17,Daisy,0.0,{'0': 2},
17,Bowser,0.0,{'0': 3},
17,Ice Climbers,0.0,{'0': 2},
17,Sheik,0.0,{'0': 2},
17,Zelda,0.0,{'0': 3},
17,Dr Mario,0.0,{'0': 2},
17,Pichu,0.0,{'0': 2},
17,Lucina,0.0,{'0': 1},
17,Young Link,0.0,{'0': 2},
17,Ganondorf,0.0,{'0': 3},
17,Mewtwo,0.0,{'0': 1},
17,Roy,0.0,{'0': 1},
17,Chrom,0.0,{'0': 1},
17,Meta Knight,0.0,{'0': 2},
17,Pit,0.0,{'0': 1},
17,Dark Pit,0.0,{'0': 2},
17,Zero Suit Samus,0.0,{'0': 1},
17,Wario,0.0,{'0': 3},
17,Ike,0.0,{'0': 1},
17,Pokemon Trainer,0.0,{'0': 2},
17,Diddy Kong,0.0,{'0': 1},
17,Sonic,0.0,{'0': 2},
17,King Dedede,0.0,{'0': 2},
17,Olimar,0.0,{'0': 1},
17,Lucario,0.0,{'0': 1},
17,ROB,0.0,{'0': 1},
17,Toon Link,0.0,{'0': 1},
17,Sephiroth,0.0,{'0': 6},
17,Villager,0.0,{'0': 1},
17,Mega Man,0.0,{'0': 1},
17,Wii Fit Trainer,0.0,{'0': 1},
17,Rosalina and Luma,0.0,{'0': 2},
17,Greninja,0.0,{'0': 2},
17,Palutena,0.0,{'0': 1},
17,Pac-Man,0.0,{'0': 2},
17,Robin,0.0,{'0': 1},
17,Shulk,0.0,{'0': 3},
17,Bowser Jr,0.0,{'0': 1},
17,Duck Hunt,0.0,{'0': 3},
17,Ryu,0.0,{'0': 1},
17,Ken,0.0,{'0': 1},
17,Cloud,0.0,{'0': 2},
17,Corrin,0.0,{'0': 1},
17,Bayonetta,0.0,{'0': 1},
17,Inkling,0.0,{'0': 2},
17,Ridley,0.0,{'0': 2},
17,Simon,0.0,{'0': 2},
17,Richter,0.0,{'0': 2},
17,King K Rool,0.0,{'0': 1},
17,Isabelle,0.0,{'0': 1},
17,Incineroar,0.0,{'0': 1},
17,Joker,0.0,{'0': 1},
17,Hero,0.0,{'0': 2},
17,Banjo and Kazooie,0.0,{'0': 4},
17,Terry,0.0,{'0': 5},
17,Byleth,0.0,{'0': 2},
17,Kazuya,0.0,{'0': 2},
17,Sora,0.0,{'0': 1},
17,Mii Brawler,0.0,{'0': 2},
17,Mii Swordsman,0.0,{'0': 2},
