rank,character,read_value,candidates,correct
1,Toon Link,100.0,{'100.0': 3},
1,Richter,100.0,{'100.0': 6},
1,King K Rool,100.0,{'100.0': 6},
1,Min Min,100.0,{'100.0': 6},
5,Mega Man,75.0,{'75.0': 6},
6,Dark Samus,66.66,{'66.66': 6},
6,Luigi,66.66,{'66.66': 6},
6,Palutena,66.66,{'66.66': 6},
9,Meta Knight,50.0,{'50.0': 3},
9,Diddy Kong,50.0,{'50.0': 3},
9,Olimar,50.0,{'50.0': 3},
9,Wii Fit Trainer,50.0,{'50.0': 3},
9,Cloud,50.0,{'50.0': 3},
9,Piranha Plant,50.0,{'50.0': 3},
9,Joker,50.0,{'50.0': 3},
9,Mii Brawler,50.0,{'50.0': 3},
17,Lucas,46.0,{'46.0': 3},
18,ROB,43.47,{'43.47': 3},
19,Pyra-Mythra,42.0,{'42.0': 3},
20,Peach,40.0,{'40.0': 3},
20,Mewtwo,40.0,{'40.0': 3},
20,Sonic,40.0,{'40.0': 3},
20,Bowser Jr,40.0,{'40.0': 3},
20,Banjo and Kazooie,40.0,{'40.0': 3},
25,Steve,39.39,{'39.39': 3},
26,Falco,37.5,{'37.5': 3},
26,Marth,37.5,{'37.5': 3},
28,Samus,34.0,{'34.0': 3},
28,Kirby,34.0,{'34.0': 3},
28,Mii Gunner,34.0,{'34.0': 3},
31,Link,33.33,"{'335.33': 2, '33.33': 1}",
31,Ness,33.33,{'33.33': 3},
31,Pit,33.33,{'33.33': 3},
31,Wario,33.33,{'33.33': 3},
31,Lucario,33.33,{'33.33': 3},
31,Villager,33.33,{'33.33': 3},
31,Rosalina and Luma,33.33,{'33.33': 3},
31,Robin,33.33,"{'31.33': 2, '33.33': 1}",
31,Ryu,33.33,{'33.33': 3},
31,Ken,33.33,{'33.33': 3},
31,Terry,33.33,{'33.33': 3},
42,Donkey Kong,32.0,{'32.0': 3},
43,Ike,30.43,{'30.43': 3},
44,Mr Game and Watch,30.0,{'30.0': 3},
44,Byleth,30.0,{'30.0': 3},
46,Lucina,28.0,{'28.0': 6},
46,Snake,28.0,{'28.0': 3},
48,Ganondorf,25.58,{'25.58': 3},
49,Zelda,25.0,{'25.0': 3},
49,Young Link,25.0,{'25.0': 3},
49,Chrom,25.0,{'25.0': 3},
49,Greninja,25.0,{'25.0': 3},
49,Kazuya,25.0,{'25.0': 6},
54,Pichu,21.42,{'21.42': 3},
55,King Dedede,20.0,{'20.0': 3},
55,Inkling,20.0,{'20.0': 3},
57,Roy,16.66,{'16.66': 3},
58,Zero Suit Samus,14.28,{'14.28': 3},
58,Little Mac,14.28,{'14.28': 3},
58,Simon,14.28,{'14.28': 3},
61,Pikachu,14.0,{'14.0': 3},
62,Bowser,12.0,{'12.0': 3},
63,Yoshi,11.11,"{'11.11': 2, '0.01': 1}",
64,Captain Falcon,10.0,{'10.0': 3},
65,Wolf,9.52,{'9.52': 3},
66,Jigglypuff,7.14,{'7.14': 3},
67,Mario,0.0,{'0.0': 3},
67,Daisy,0.0,{'0.0': 3},
67,Ice Climbers,0.0,{'0.0': 3},
67,Sheik,0.0,{'0.0': 3},
67,Dr Mario,0.0,{'0.0': 3},
67,Dark Pit,0.0,{'0.0': 3},
67,Pokemon Trainer,0.0,{'0.0': 3},
67,Pac-Man,0.0,{'0.0': 3},
67,Shulk,0.0,{'0.0': 3},
67,Duck Hunt,0.0,{'0.0': 3},
67,Corrin,0.0,{'0.0': 3},
67,Bayonetta,0.0,{'0.0': 6},
67,Ridley,0.0,{'0.0': 6},
67,Isabelle,0.0,{'0.0': 6},
67,Incineroar,0.0,{'0.0': 6},
67,Hero,0.0,{'0.0': 3},
67,Sephiroth,0.0,{'0.0': 3},
67,Sora,0.0,{'0.0': 3},
67,Mii Swordsman,0.0,{'0.0': 3},
