rank,character,read_value,candidates,correct
1,Kirby,3.0,{'3.0': 3},
1,Pichu,3.0,{'3.0': 3},
1,Lucina,3.0,{'3.0': 3},
1,Wolf,3.0,"{'3.0': 3, '2.66': 3}",
1,Snake,3.0,{'3.0': 3},
1,Sonic,3.0,{'3.0': 3},
1,Little Mac,3.0,{'3.0': 3},
1,Corrin,3.0,{'3.0': 6},
1,Bayonetta,3.0,{'3.0': 3},
1,Ridley,3.0,{'3.0': 3},
1,Sephiroth,3.0,{'3.0': 3},
1,Kazuya,3.0,{'3.0': 3},
1,Mii Gunner,3.0,{'3.0': 3},
14,Sheik,2.91,{'2.91': 3},
15,Samus,2.83,{'2.83': 6},
16,Donkey Kong,2.8,{'2.8': 3},
16,Sora,2.8,{'2.8': 3},
18,Pikachu,2.75,{'2.75': 3},
18,Mega Man,2.75,{'2.75': 3},
18,Isabelle,2.75,"{'221.23': 2, '2.75': 1}",
21,Mr Game and Watch,2.72,"{'0.22': 2, '2.72': 1}",
22,Steve,2.69,{'2.69': 6},
23,Marth,2.66,{'2.66': 3},
23,Palutena,2.66,{'2.66': 3},
23,Simon,2.66,{'2.66': 3},
26,Shulk,2.57,{'2.57': 1},
26,Cloud,2.57,"{'2.97': 2, '2.57': 1}",
28,Ike,2.55,"{'2.95': 2, '2.55': 2, '22.55': 2}",
29,Roy,2.54,{'2.54': 3},
30,Luigi,2.5,{'2.5': 3},
30,Daisy,2.5,"{'2.0': 2, '2.5': 1}",
30,Ice Climbers,2.5,"{'29.5': 2, '2.5': 1}",
30,Falco,2.5,{'2.5': 3},
30,Ganondorf,2.5,{'2.5': 3},
30,Olimar,2.5,{'2.5': 6},
30,Pac-Man,2.5,{'2.5': 3},
30,King K Rool,2.5,{'2.5': 3},
38,Captain Falcon,2.49,{'2.49': 3},
39,Peach,2.47,{'2.47': 3},
40,Mario,2.46,{'2.46': 3},
41,Jigglypuff,2.44,{'2.44': 3},
42,Bowser,2.42,{'2.42': 6},
42,Bowser Jr,2.42,{'2.42': 3},
44,Zelda,2.4,{'2.4': 3},
45,Dr Mario,2.36,{'2.36': 3},
46,Lucas,2.35,"{'2.39': 2, '2.35': 1}",
47,Hero,2.33,{'2.33': 3},
48,Young Link,2.32,{'2.32': 3},
49,Ness,2.3,{'2.3': 3},
49,Joker,2.3,{'2.3': 3},
51,Link,2.25,"{'22.23': 2, '2.25': 1}",
52,Pit,2.2,{'2.2': 3},
52,Villager,2.2,{'2.2': 3},
52,Byleth,2.2,{'2.2': 3},
55,Incineroar,2.16,{'2.16': 3},
56,Banjo and Kazooie,2.14,{'2.14': 3},
57,Richter,2.12,"{'2.12': 2, '2.42': 1}",
58,Terry,2.08,{'2.08': 3},
59,Dark Pit,2.0,{'2.0': 3},
59,Wario,2.0,{'2.0': 3},
59,Diddy Kong,2.0,{'2.0': 3},
59,King Dedede,2.0,{'2.0': 3},
59,Ryu,2.0,{'2.0': 3},
59,Mii Swordsman,2.0,{'2.0': 3},
65,Fox,1.66,{'1.66': 3},
65,Inkling,1.66,{'1.66': 3},
67,Pyra-Mythra,1.0,"{'1.0': 2, '1.5': 1}",
68,Piranha Plant,0.5,{'0.5': 3},
69,Robin,0.0,{'0.0': 3},
69,Dark Samus,0.0,{'0.0': 3},
69,Yoshi,0.0,{'0.0': 3},
69,Mewtwo,0.0,{'0.0': 3},
69,Chrom,0.0,{'0.0': 3},
69,Zero Suit Samus,0.0,{'0.0': 3},
69,Pokemon Trainer,0.0,{'0.0': 3},
69,Lucario,0.0,{'0.0': 3},
69,ROB,0.0,{'0.0': 3},
69,Toon Link,0.0,{'0.0': 6},
69,Wii Fit Trainer,0.0,{'0.0': 3},
69,Rosalina and Luma,0.0,{'0.0': 3},
69,Greninja,0.0,{'0.0': 3},
69,Duck Hunt,0.0,{'0.0': 3},
69,Ken,0.0,{'0.0': 3},
69,Min Min,0.0,{'0.0': 3},
69,Mii Brawler,0.0,{'0.0': 3},
