rank,character,read_value,candidates,correct
1,Young Link,448816.0,{'448816': 3},
2,Jigglypuff,263975.0,{'263975': 3},
3,Captain Falcon,71362.0,{'71362': 3},
4,Shulk,64571.0,{'64571': 3},
5,Dr Mario,56079.0,"{'96079': 2, '56079': 1}",
6,Ganondorf,47787.0,{'47787': 3},
7,Mario,35346.0,{'35346': 3},
8,Lucas,29990.0,{'29990': 6},
9,Daisy,23888.0,{'23888': 3},
10,Richter,15386.0,{'15386': 3},
11,Donkey Kong,12684.0,{'12684': 3},
12,Banjo and Kazooie,11306.0,{'11306': 3},
13,Terry,8474.0,{'8474': 3},
14,Steve,7865.0,{'7865': 3},
15,Roy,7660.0,{'7660': 6},
16,Byleth,5899.0,"{'899': 2, '5899': 1}",
17,Peach,5577.0,{'5577': 3},
18,Bowser Jr,4590.0,{'4590': 3},
19,Pichu,4325.0,{'4325': 3},
20,Cloud,4089.0,{'4089': 3},
21,Pikachu,4076.0,{'4076': 3},
22,Sheik,3926.0,{'3926': 6},
23,Mr Game and Watch,3847.0,{'3847': 3},
24,Joker,3211.0,{'3211': 3},
25,Ike,3165.0,{'3165': 3},
26,Ness,3111.0,{'3111': 3},
27,Wolf,2950.0,"{'2950': 3, '877': 3}",
28,Bowser,2678.0,{'2678': 3},
29,Samus,1999.0,{'1999': 3},
30,Incineroar,1902.0,{'1902': 3},
31,Hero,1728.0,{'1728': 3},
32,Pit,1719.0,{'1719': 3},
33,Villager,1688.0,{'1688': 3},
34,Sora,1561.0,{'1561': 3},
35,Zelda,1550.0,{'1550': 3},
36,Isabelle,1544.0,{'1544': 3},
37,Mega Man,1445.0,{'1445': 3},
38,Little Mac,1427.0,{'1427': 3},
39,Pac-Man,1268.0,{'1268': 3},
40,Link,1149.0,{'1149': 3},
41,Marth,1071.0,{'1071': 3},
42,Bayonetta,1048.0,{'1048': 3},
43,Palutena,993.0,{'993': 3},
44,Simon,989.0,{'989': 3},
45,Inkling,903.0,{'903': 3},
46,Fox,886.0,{'886': 3},
47,Kazuya,881.0,{'881': 3},
48,King K Rool,812.0,{'812': 3},
49,Sephiroth,737.0,"{'737': 2, '137': 1}",
50,Sonic,735.0,{'735': 3},
51,Kirby,684.0,{'684': 3},
52,Falco,654.0,{'654': 3},
53,Dark Pit,645.0,{'645': 3},
54,Luigi,624.0,{'624': 3},
55,Olimar,616.0,{'616': 3},
56,Ice Climbers,611.0,{'611': 3},
57,Diddy Kong,606.0,{'606': 6},
58,Pyra-Mythra,465.0,{'465': 3},
59,Corrin,438.0,{'438': 3},
60,Ridley,434.0,{'434': 3},
61,King Dedede,413.0,{'413': 3},
62,Mii Gunner,411.0,"{'411': 2, '4': 1}",
63,Lucina,318.0,{'318': 3},
64,Snake,311.0,{'311': 6},
65,Piranha Plant,298.0,{'298': 3},
66,Wario,293.0,{'293': 3},
67,Mii Swordsman,283.0,{'283': 3},
68,Ryu,281.0,{'281': 3},
69,Robin,68.0,{'68': 3},
70,Dark Samus,0.0,{'0': 1},
70,Yoshi,0.0,{'0': 3},
70,Mewtwo,0.0,{'0': 3},
70,Chrom,0.0,{'0': 2},
70,Zero Suit Samus,0.0,{'0': 1},
70,Pokemon Trainer,0.0,{'0': 2},
70,Lucario,0.0,{'0': 2},
70,ROB,0.0,{'0': 2},
70,Toon Link,0.0,{'0': 3},
70,Wii Fit Trainer,0.0,{'0': 3},
70,Rosalina and Luma,0.0,{'0': 2},
70,Greninja,0.0,{'0': 1},
70,Duck Hunt,0.0,{'0': 3},
70,Ken,0.0,{'0': 2},
70,Min Min,0.0,{'0': 2},
70,Mii Brawler,0.0,{'0': 3},
