rank,character,read_value,candidates,correct
1,Young Link,395273.0,{'395273': 3},
2,Jigglypuff,170294.0,{'170294': 3},
3,Captain Falcon,91031.0,"{'91031': 2, '51031': 1}",
4,Shulk,46731.0,{'46731': 3},
5,Dr Mario,37525.0,{'37525': 3},
6,Mario,26854.0,{'26854': 3},
7,Ganondorf,23676.0,{'23676': 3},
8,Lucas,16566.0,{'16566': 6},
9,Daisy,12939.0,{'12939': 3},
10,Richter,10061.0,{'10061': 3},
11,Banjo and Kazooie,9854.0,{'9854': 3},
12,Terry,6116.0,{'6116': 3},
13,Donkey Kong,6015.0,{'6015': 3},
14,Sheik,4909.0,{'4909': 3},
15,Bowser Jr,3998.0,{'3998': 3},
16,Steve,3879.0,{'3879': 3},
17,Roy,3547.0,{'3547': 3},
18,Pichu,3541.0,{'3541': 3},
19,Pikachu,3366.0,{'3366': 3},
20,Byleth,3230.0,{'3230': 3},
21,Peach,3160.0,{'3160': 3},
22,Cloud,3102.0,{'3102': 3},
23,Mr Game and Watch,2509.0,{'2509': 3},
24,Ness,2348.0,{'2348': 3},
25,Joker,2088.0,{'2088': 3},
26,Ike,1769.0,{'1769': 3},
27,Bowser,1725.0,{'1725': 3},
28,Villager,1372.0,{'1372': 3},
29,Samus,1325.0,{'1325': 3},
30,Wolf,1283.0,"{'1283': 3, '171': 5, '771': 1}",
31,Pit,1193.0,{'1193': 3},
32,Sora,1135.0,{'1135': 3},
33,Incineroar,1069.0,{'1069': 3},
34,Sonic,1027.0,{'1027': 3},
35,Diddy Kong,958.0,{'958': 3},
35,Pac-Man,958.0,{'958': 3},
37,Hero,940.0,{'940': 3},
38,Isabelle,894.0,{'894': 3},
39,Fox,893.0,{'893': 3},
40,Zelda,847.0,{'847': 3},
41,Inkling,821.0,{'821': 3},
42,Mega Man,801.0,{'801': 3},
43,Link,736.0,{'736': 3},
44,Marth,664.0,{'664': 3},
45,Little Mac,658.0,{'658': 3},
46,Falco,639.0,{'639': 3},
47,Sephiroth,564.0,{'564': 3},
48,Dark Pit,559.0,"{'959': 2, '559': 1}",
49,Simon,511.0,"{'911': 2, '511': 1}",
50,Bayonetta,428.0,{'428': 3},
51,Olimar,391.0,{'391': 3},
51,King K Rool,391.0,{'391': 3},
53,Piranha Plant,384.0,{'384': 3},
54,Pyra-Mythra,377.0,{'377': 3},
55,Corrin,361.0,{'361': 3},
56,Wario,350.0,{'350': 3},
57,Ice Climbers,312.0,{'312': 3},
58,Kazuya,308.0,{'308': 3},
59,Ryu,274.0,{'274': 3},
60,Ridley,259.0,{'259': 3},
61,Mii Swordsman,250.0,{'250': 3},
62,Lucina,236.0,{'236': 3},
63,Kirby,228.0,{'228': 3},
64,Luigi,180.0,{'180': 3},
65,King Dedede,172.0,{'172': 3},
65,Palutena,172.0,{'172': 3},
67,Mii Gunner,155.0,{'155': 3},
68,Robin,138.0,{'138': 3},
69,Snake,135.0,{'135': 3},
70,Dark Samus,0.0,{'0': 2},
70,Yoshi,0.0,{'0': 1},
70,Mewtwo,0.0,{'0': 1},
70,Chrom,0.0,{'0': 1},
70,Zero Suit Samus,0.0,{'0': 2},
70,Pokemon Trainer,0.0,{'0': 2},
70,Lucario,0.0,{'0': 2},
70,ROB,0.0,{'0': 2},
70,Toon Link,0.0,{'0': 2},
70,Wii Fit Trainer,0.0,{'0': 2},
70,Rosalina and Luma,0.0,{'0': 2},
70,Greninja,0.0,{'0': 1},
70,Duck Hunt,0.0,{'0': 3},
70,Ken,0.0,{'0': 2},
70,Min Min,0.0,{'0': 1},
70,Mii Brawler,0.0,{'0': 2},
