rank,character,read_value,candidates,correct
1,Dark Pit,4.5,{'4.5': 3},
2,Corrin,4.0,{'4.0': 3},
3,Ike,3.77,{'3.77': 3},
4,Ice Climbers,3.5,{'3.5': 3},
5,Bowser,3.28,{'3.28': 3},
6,Ganondorf,3.13,{'3.13': 3},
7,Lucina,3.0,{'3.0': 3},
7,Pit,3.0,{'3.0': 6},
7,King Dedede,3.0,{'3.0': 3},
7,Robin,3.0,{'3.0': 3},
7,Piranha Plant,3.0,{'3.0': 3},
7,Pyra-Mythra,3.0,{'3.0': 3},
7,Mii Swordsman,3.0,{'3.0': 3},
14,Banjo and Kazooie,2.85,{'2.85': 3},
15,Villager,2.8,{'2.8': 3},
16,Shulk,2.77,{'2.77': 3},
17,Lucas,2.67,{'2.67': 3},
18,Fox,2.66,{'2.66': 3},
18,Jigglypuff,2.66,{'2.66': 3},
18,Roy,2.66,{'2.66': 3},
18,Wolf,2.66,"{'2.66': 3, '1.33': 3}",
18,Palutena,2.66,{'2.66': 3},
18,Bayonetta,2.66,{'2.66': 3},
18,Inkling,2.66,{'2.66': 3},
25,Captain Falcon,2.63,{'2.63': 3},
25,Mr Game and Watch,2.63,{'2.63': 3},
27,Dr Mario,2.62,{'2.62': 3},
27,Richter,2.62,{'2.62': 3},
29,Terry,2.6,{'2.6': 3},
29,Byleth,2.6,{'2.6': 6},
31,Falco,2.5,{'2.5': 3},
32,Bowser Jr,2.42,{'2.42': 3},
33,Zelda,2.4,{'2.4': 3},
33,Sora,2.4,{'2.4': 3},
35,Hero,2.33,{'2.33': 3},
36,Mario,2.32,{'2.32': 3},
37,Young Link,2.31,{'2.31': 3},
38,Link,2.25,{'2.25': 3},
39,Steve,2.17,"{'2.17': 2, '2.47': 1}",
40,Pikachu,2.16,{'2.16': 3},
40,Incineroar,2.16,{'2.16': 3},
42,Daisy,2.12,"{'0.22': 2, '2.12': 1}",
43,Peach,2.11,"{'2.11': 2, '2.41': 1}",
44,Cloud,2.07,{'2.07': 3},
45,Luigi,2.0,{'2.0': 3},
45,Ness,2.0,{'2.0': 3},
45,Wario,2.0,{'2.0': 3},
45,Pac-Man,2.0,{'2.0': 3},
45,Ryu,2.0,{'2.0': 3},
45,Ridley,2.0,{'2.0': 3},
45,King K Rool,2.0,{'2.0': 3},
52,Donkey Kong,1.93,{'1.93': 3},
53,Pichu,1.71,{'1.71': 2},
54,Joker,1.7,{'1.7': 3},
55,Simon,1.66,{'1.66': 3},
56,Sheik,1.5,{'1.5': 3},
56,Diddy Kong,1.5,{'1.5': 3},
56,Sonic,1.5,{'1.5': 3},
56,Olimar,1.5,{'1.5': 6},
56,Little Mac,1.5,{'1.5': 3},
56,Sephiroth,1.5,{'1.5': 3},
62,Samus,1.33,{'1.33': 3},
63,Mega Man,1.25,{'1.25': 3},
64,Kirby,1.0,{'1.0': 3},
64,Marth,1.0,{'1.0': 3},
64,Snake,1.0,{'1.0': 3},
64,Isabelle,1.0,{'1.0': 3},
64,Kazuya,1.0,{'1.0': 3},
64,Mii Gunner,1.0,{'1.0': 3},
70,Dark Samus,0.0,{'0.0': 3},
70,Yoshi,0.0,{'0.0': 3},
70,Mewtwo,0.0,{'0.0': 3},
70,Chrom,0.0,{'0.0': 3},
70,Zero Suit Samus,0.0,{'0.0': 3},
70,Pokemon Trainer,0.0,{'0.0': 3},
70,Lucario,0.0,{'0.0': 3},
70,ROB,0.0,{'0.0': 3},
70,Toon Link,0.0,{'0.0': 6},
70,Wii Fit Trainer,0.0,{'0.0': 6},
70,Rosalina and Luma,0.0,{'0.0': 6},
70,Greninja,0.0,{'0.0': 3},
70,Duck Hunt,0.0,{'0.0': 3},
70,Ken,0.0,{'0.0': 3},
70,Min Min,0.0,{'0.0': 3},
70,Mii Brawler,0.0,{'0.0': 3},
