rank,character,read_value,candidates,correct
1,Young Link,73.0,{'73': 3},
2,Daisy,15.0,{'15': 3},
3,Hero,3.0,{'3': 3},
3,Banjo and Kazooie,3.0,{'3': 3},
5,Mario,2.0,{'2': 3},
5,Peach,2.0,{'2': 3},
5,Falco,2.0,{'2': 3},
5,Ganondorf,2.0,{'2': 6},
9,Jigglypuff,1.0,{'1': 3},
9,Dr Mario,1.0,{'1': 3},
9,Mr Game and Watch,1.0,{'1': 3},
9,Steve,1.0,{'1': 3},
13,Donkey Kong,0.0,{'0': 1},
13,Link,0.0,{'0': 1},
13,Samus,0.0,{'0': 3},
13,Kirby,0.0,{'0': 2},
13,Fox,0.0,{'0': 1},
13,Pikachu,0.0,{'0': 1},
13,Luigi,0.0,{'0': 2},
13,Ness,0.0,{'0': 2},
13,Captain Falcon,0.0,{'0': 1},
13,Bowser,0.0,{'0': 6},
13,Ice Climbers,0.0,{'0': 3},
13,Sheik,0.0,{'0': 1},
13,Zelda,0.0,{'0': 1},
13,Pichu,0.0,{'0': 2},
13,Marth,0.0,{'0': 2},
13,Lucina,0.0,{'0': 1},
13,Roy,0.0,{'0': 4},
13,Wolf,0.0,{'0': 5},
13,Pit,0.0,{'0': 1},
13,Dark Pit,0.0,{'0': 1},
13,Wario,0.0,{'0': 2},
13,Snake,0.0,{'0': 2},
13,Ike,0.0,{'0': 2},
13,Diddy Kong,0.0,{'0': 2},
13,Lucas,0.0,{'0': 3},
13,Sonic,0.0,{'0': 2},
13,King Dedede,0.0,{'0': 1},
13,Olimar,0.0,{'0': 1},
13,Villager,0.0,{'0': 2},
13,Mega Man,0.0,{'0': 2},
13,Little Mac,0.0,{'0': 2},
13,Palutena,0.0,{'0': 3},
13,Pac-Man,0.0,{'0': 1},
13,Robin,0.0,{'0': 1},
13,Shulk,0.0,{'0': 3},
13,Bowser Jr,0.0,{'0': 3},
13,Ryu,0.0,{'0': 1},
13,Cloud,0.0,{'0': 3},
13,Corrin,0.0,{'0': 1},
13,Bayonetta,0.0,{'0': 1},
13,Inkling,0.0,{'0': 2},
13,Ridley,0.0,{'0': 1},
13,Simon,0.0,{'0': 1},
13,Richter,0.0,{'0': 1},
13,King K Rool,0.0,{'0': 2},
13,Isabelle,0.0,{'0': 1},
13,Incineroar,0.0,{'0': 3},
13,Piranha Plant,0.0,{'0': 1},
13,Joker,0.0,{'0': 1},
13,Terry,0.0,{'0': 3},
13,Byleth,0.0,{'0': 3},
13,Sephiroth,0.0,{'0': 1},
13,Pyra-Mythra,0.0,{'0': 3},
13,Kazuya,0.0,{'0': 2},
13,Sora,0.0,{'0': 1},
13,Mii Swordsman,0.0,{'0': 2},
13,Mii Gunner,0.0,{'0': 2},
13,Dark Samus,0.0,{'0': 2},
13,Yoshi,0.0,{'0': 2},
13,Mewtwo,0.0,{'0': 2},
13,Chrom,0.0,{'0': 1},
13,Zero Suit Samus,0.0,{'0': 3},
13,Pokemon Trainer,0.0,{'0': 2},
13,Lucario,0.0,{'0': 1},
13,ROB,0.0,{'0': 2},
13,Toon Link,0.0,{'0': 3},
13,Wii Fit Trainer,0.0,{'0': 5},
13,Rosalina and Luma,0.0,{'0': 4},
13,Greninja,0.0,{'0': 1},
13,Duck Hunt,0.0,{'0': 3},
13,Ken,0.0,{'0': 2},
13,Min Min,0.0,{'0': 1},
13,Mii Brawler,0.0,{'0': 2},
