rank,character,read_value,candidates,correct
1,Young Link,354.0,{'354': 3},
2,Jigglypuff,239.0,{'239': 3},
3,Shulk,190.0,{'190': 3},
4,Dr Mario,156.0,{'156': 3},
5,Ganondorf,147.0,{'147': 3},
6,Captain Falcon,99.0,{'99': 3},
7,Mario,96.0,{'96': 3},
8,Lucas,88.0,{'88': 3},
9,Richter,81.0,"{'1': 2, '81': 1}",
10,Daisy,29.0,{'29': 3},
11,Roy,24.0,{'24': 3},
12,Banjo and Kazooie,23.0,{'23': 3},
13,Terry,22.0,{'22': 3},
13,Steve,22.0,{'22': 3},
15,Donkey Kong,14.0,{'14': 3},
15,Bowser Jr,14.0,{'14': 3},
15,Cloud,14.0,{'14': 3},
18,Pichu,13.0,{'13': 3},
18,Byleth,13.0,"{'13': 2, '130': 1}",
20,Bowser,9.0,{'9': 2},
20,Ike,9.0,{'9': 3},
22,Sheik,8.0,{'8': 2},
23,Mr Game and Watch,7.0,{'7': 3},
24,Pikachu,6.0,{'6': 3},
24,Ice Climbers,6.0,{'6': 3},
26,Zelda,5.0,{'5': 3},
26,Palutena,5.0,"{'9': 2, '5': 1}",
26,Pac-Man,5.0,"{'9': 2, '5': 1}",
26,Bayonetta,5.0,{'5': 1},
26,Joker,5.0,{'5': 1},
31,Fox,4.0,{'4': 3},
31,Ness,4.0,{'4': 3},
31,Peach,4.0,{'4': 3},
31,Pit,4.0,{'4': 3},
31,Villager,4.0,{'4': 3},
31,Mega Man,4.0,{'4': 3},
31,Inkling,4.0,{'4': 3},
31,Simon,4.0,{'4': 3},
31,Hero,4.0,{'4': 3},
40,Link,2.0,{'2': 3},
40,Samus,2.0,{'2': 3},
40,Kirby,2.0,{'2': 3},
40,Lucina,2.0,{'2': 3},
40,Little Mac,2.0,{'2': 3},
40,King K Rool,2.0,{'2': 3},
40,Sephiroth,2.0,{'2': 3},
40,Kazuya,2.0,{'2': 3},
40,Sora,2.0,{'2': 3},
49,Marth,1.0,{'1': 3},
49,Dark Pit,1.0,{'1': 3},
49,Olimar,1.0,{'1': 3},
49,Corrin,1.0,{'1': 3},
49,Isabelle,1.0,{'1': 3},
49,Incineroar,1.0,{'1': 3},
49,Piranha Plant,1.0,{'1': 3},
49,Pyra-Mythra,1.0,{'1': 3},
57,Luigi,0.0,{'0': 1},
57,Falco,0.0,{'0': 2},
57,Wolf,0.0,{'0': 3},
57,Wario,0.0,{'0': 1},
57,Snake,0.0,{'0': 2},
57,Diddy Kong,0.0,{'0': 1},
57,Sonic,0.0,{'0': 1},
57,King Dedede,0.0,{'0': 3},
57,Robin,0.0,{'0': 1},
57,Ryu,0.0,{'0': 2},
57,Ridley,0.0,{'0': 2},
57,Mii Swordsman,0.0,{'0': 1},
57,Mii Gunner,0.0,{'0': 1},
57,Dark Samus,0.0,{'0': 3},
57,Yoshi,0.0,{'0': 2},
57,Mewtwo,0.0,{'0': 2},
57,Chrom,0.0,{'0': 2},
57,Zero Suit Samus,0.0,{'0': 2},
57,Pokemon Trainer,0.0,{'0': 1},
57,Lucario,0.0,{'0': 2},
57,ROB,0.0,{'0': 3},
57,Toon Link,0.0,{'0': 3},
57,Wii Fit Trainer,0.0,{'0': 4},
57,Rosalina and Luma,0.0,{'0': 4},
57,Greninja,0.0,{'0': 1},
57,Duck Hunt,0.0,{'0': 3},
57,Ken,0.0,{'0': 3},
57,Min Min,0.0,{'0': 1},
57,Mii Brawler,0.0,{'0': 2},
