rank,character,read_value,candidates,correct
1,Young Link,446.0,{'446': 3},
2,Jigglypuff,246.0,{'246': 3},
3,Captain Falcon,66.0,{'66': 3},
4,Dr Mario,42.0,{'42': 3},
5,Shulk,37.0,{'37': 3},
6,Mario,35.0,{'35': 3},
7,Ganondorf,31.0,{'31': 3},
8,Lucas,21.0,"{'21': 5, '2': 1}",
9,Donkey Kong,18.0,{'18': 3},
10,Daisy,17,{'17': 3},
11,Sheik,10.0,"{'10': 2, '100': 1}",
11,Steve,10.0,{'10': 3},
13,Roy,9.0,{'9': 3},
14,Wolf,8.0,"{'8': 2, '2': 3}",
15,Peach,7.0,{'7': 3},
15,Pichu,7.0,{'7': 1},
17,Cloud,6.0,{'6': 2},
18,Pikachu,5.0,{'5': 3},
18,Richter,5.0,"{'9': 2, '5': 1}",
18,Terry,5.0,"{'9': 2, '5': 1}",
18,Byleth,5.0,{'5': 1},
22,Little Mac,4.0,{'4': 3},
23,Samus,3.0,{'3': 3},
23,Ness,3.0,{'3': 3},
23,Zelda,3.0,{'3': 3},
23,Mr Game and Watch,3.0,{'3': 1},
23,Bowser Jr,3.0,{'3': 3},
23,Incineroar,3.0,{'3': 3},
23,Banjo and Kazooie,3.0,{'3': 3},
30,Marth,2.0,{'2': 3},
30,Pit,2.0,{'2': 3},
30,Mega Man,2.0,{'2': 3},
30,Simon,2.0,{'2': 3},
30,Joker,2.0,{'2': 3},
30,Hero,2.0,{'2': 3},
30,Kazuya,2.0,{'2': 3},
30,Sora,2.0,{'2': 3},
38,Kirby,1.0,{'1': 3},
38,Fox,1.0,{'1': 3},
38,Luigi,1.0,{'1': 3},
38,Bowser,1.0,{'1': 3},
38,Ice Climbers,1.0,{'1': 3},
38,Snake,1.0,{'1': 3},
38,Sonic,1.0,{'1': 3},
38,Olimar,1.0,{'1': 3},
38,Palutena,1.0,{'1': 3},
38,Pac-Man,1.0,{'1': 3},
38,Bayonetta,1.0,{'1': 3},
38,Inkling,1.0,{'1': 3},
38,King K Rool,1.0,{'1': 3},
38,Isabelle,1.0,{'1': 3},
38,Mii Gunner,1.0,{'1': 3},
53,Link,0.0,{'0': 2},
53,Falco,0.0,{'0': 1},
53,Lucina,0.0,{'0': 2},
53,Dark Pit,0.0,{'0': 3},
53,Wario,0.0,{'0': 1},
53,Ike,0.0,{'0': 2},
53,Diddy Kong,0.0,{'0': 2},
53,King Dedede,0.0,{'0': 2},
53,Villager,0.0,{'0': 2},
53,Robin,0.0,{'0': 3},
53,Ryu,0.0,{'0': 2},
53,Corrin,0.0,{'0': 2},
53,Ridley,0.0,{'0': 2},
53,Piranha Plant,0.0,{'0': 1},
53,Sephiroth,0.0,{'0': 1},
53,Pyra-Mythra,0.0,{'0': 2},
53,Mii Swordsman,0.0,{'0': 1},
53,Dark Samus,0.0,{'0': 1},
53,Yoshi,0.0,{'0': 6},
53,Mewtwo,0.0,{'0': 3},
53,Chrom,0.0,{'0': 1},
53,Zero Suit Samus,0.0,{'0': 1},
53,Pokemon Trainer,0.0,{'0': 3},
53,Lucario,0.0,{'0': 1},
53,ROB,0.0,{'0': 1},
53,Toon Link,0.0,{'0': 5},
53,Wii Fit Trainer,0.0,{'0': 2},
53,Rosalina and Luma,0.0,{'0': 1},
53,Greninja,0.0,{'0': 1},
53,Duck Hunt,0.0,{'0': 3},
53,Ken,0.0,{'0': 2},
53,Min Min,0.0,{'0': 1},
53,Mii Brawler,0.0,{'0': 3},
