rank,character,read_value,candidates,correct
1,Young Link,304.0,{'304': 3},
2,Ganondorf,301.0,{'301': 3},
3,Jigglypuff,265.0,{'265': 3},
4,Dr Mario,260.0,{'260': 3},
5,Richter,250.0,{'250': 3},
6,Isabelle,247.0,{'247': 3},
7,Captain Falcon,242.0,{'242': 3},
8,Lucas,229.0,"{'229': 2, '225': 1}",
9,Shulk,221.0,{'221': 3},
10,Donkey Kong,219.0,{'219': 3},
11,Terry,217.0,{'217': 3},
12,Daisy,216.0,{'216': 3},
13,King K Rool,215.0,{'215': 3},
14,Mario,214.0,{'214': 3},
15,Pichu,210.0,{'210': 3},
16,Sora,204.0,{'204': 3},
17,Bowser,203.0,{'203': 3},
17,Dark Pit,203.0,{'203': 3},
17,Joker,203.0,{'203': 3},
20,Mega Man,201.0,{'201': 3},
20,Little Mac,201.0,{'201': 3},
22,Incineroar,200.0,{'200': 3},
23,Steve,198.0,{'198': 3},
24,Inkling,194.0,{'194': 3},
25,Peach,193.0,{'193': 3},
26,Hero,190.0,{'190': 3},
27,Samus,187.0,{'187': 3},
27,Banjo and Kazooie,187.0,{'187': 3},
29,Fox,186.0,{'186': 3},
29,Pit,186.0,{'186': 3},
29,Ike,186.0,{'186': 3},
32,Cloud,184.0,{'184': 3},
33,Bowser Jr,183.0,{'183': 3},
34,Ness,182.0,{'182': 3},
35,Wolf,181.0,"{'181': 3, '173': 3, '154': 3}",
35,Pac-Man,181.0,{'181': 3},
37,Roy,180.0,{'180': 3},
37,Mr Game and Watch,180.0,{'180': 6},
37,Villager,180.0,{'180': 3},
37,Kazuya,180.0,{'180': 3},
41,Diddy Kong,177.0,"{'177': 2, '7': 1}",
42,Sheik,175.0,{'175': 3},
43,King Dedede,173.0,{'173': 3},
44,Zelda,172.0,{'172': 3},
45,Pikachu,169.0,{'169': 3},
46,Falco,168.0,{'168': 3},
47,Simon,167.0,{'167': 3},
47,Byleth,167.0,{'167': 3},
47,Sephiroth,167.0,{'167': 3},
50,Kirby,165.0,{'165': 3},
51,Mii Swordsman,164.0,{'164': 3},
52,Luigi,161.0,{'161': 3},
52,Corrin,161.0,{'161': 3},
52,Ridley,161.0,{'161': 3},
52,Piranha Plant,161.0,{'161': 3},
56,Olimar,159.0,{'159': 3},
57,Palutena,157.0,"{'197': 2, '157': 1}",
57,Pyra-Mythra,157,{'157': 3},
59,Mii Gunner,155.0,{'155': 3},
60,Link,154.0,{'154': 3},
61,Marth,150.0,{'150': 3},
62,Ice Climbers,146.0,{'146': 3},
63,Bayonetta,145.0,{'145': 3},
64,Sonic,143.0,{'143': 3},
65,Lucina,139.0,{'139': 3},
66,Snake,117.0,"{'117': 2, '7': 1}",
67,Ryu,109.0,{'109': 3},
68,Robin,68.0,{'68': 3},
69,Dark Samus,0.0,{'0': 2},
69,Yoshi,0.0,{'0': 1},
69,Mewtwo,0.0,{'0': 2},
69,Chrom,0.0,{'0': 2},
69,Zero Suit Samus,0.0,{'0': 2},
69,Pokemon Trainer,0.0,{'0': 1},
69,Lucario,0.0,{'0': 1},
69,ROB,0.0,{'0': 3},
69,Toon Link,0.0,{'0': 4},
69,Wii Fit Trainer,0.0,{'0': 5},
69,Rosalina and Luma,0.0,{'0': 1},
69,Greninja,0.0,{'0': 2},
69,Duck Hunt,0.0,{'0': 3},
69,Ken,0.0,{'0': 3},
69,Min Min,0.0,{'0': 1},
69,Mii Brawler,0.0,{'0': 2},
