rank,character,read_value,candidates,correct
1,Young Link,36.48,{'36.48': 3},
2,Jigglypuff,24.53,{'24.53': 3},
3,Captain Falcon,5.59,{'5.59': 3},
4,Shulk,4.97,{'4.97': 3},
5,Dr Mario,4.86,{'4.86': 3},
6,Ganondorf,3.86,{'3.86': 3},
7,Mario,2.78,{'2.78': 3},
8,Lucas,2.4,{'2.4': 3},
9,Daisy,1.89,{'1.89': 3},
10,Richter,1.35,{'1.35': 3},
11,Banjo and Kazooie,0.94,{'0.94': 3},
12,Donkey Kong,0.83,{'0.83': 3},
13,Terry,0.67,{'0.67': 3},
14,Roy,0.64,{'0.64': 3},
15,Steve,0.62,{'0.62': 3},
16,Byleth,0.54,{'0.54': 3},
17,Peach,0.45,{'0.45': 3},
18,Pichu,0.37,{'0.37': 3},
18,Bowser Jr,0.37,{'0.37': 3},
18,Cloud,0.37,{'0.37': 3},
21,Pikachu,0.32,{'0.32': 3},
21,Sheik,0.32,{'0.32': 3},
21,Wolf,0.32,"{'0.32': 3, '0.08': 3}",
24,Mr Game and Watch,0.29,{'0.29': 3},
25,Ness,0.27,{'0.27': 3},
25,Joker,0.27,{'0.27': 3},
27,Ike,0.24,{'0.24': 3},
28,Bowser,0.18,{'0.18': 3},
29,Samus,0.16,{'0.16': 3},
29,Incineroar,0.16,{'0.16': 3},
29,Hero,0.16,{'0.16': 3},
32,Zelda,0.13,{'0.13': 3},
32,Pit,0.13,{'0.13': 3},
32,Villager,0.13,{'0.13': 3},
32,Sora,0.13,{'0.13': 3},
36,Link,0.1,{'0.1': 3},
36,Mega Man,0.1,{'0.1': 3},
36,Little Mac,0.1,{'0.1': 6},
36,Pac-Man,0.1,{'0.1': 3},
36,Isabelle,0.1,{'0.1': 3},
41,Fox,0.08,{'0.08': 3},
41,Marth,0.08,{'0.08': 3},
41,Palutena,0.08,{'0.08': 3},
41,Bayonetta,0.08,{'0.08': 3},
41,Inkling,0.08,{'0.08': 3},
41,Simon,0.08,{'0.08': 3},
47,Kirby,0.05,{'0.05': 3},
47,Luigi,0.05,{'0.05': 3},
47,Ice Climbers,0.05,{'0.05': 3},
47,Falco,0.05,{'0.05': 3},
47,Dark Pit,0.05,{'0.05': 3},
47,Diddy Kong,0.05,{'0.05': 3},
47,Sonic,0.05,{'0.05': 3},
47,Olimar,0.05,{'0.05': 3},
47,King K Rool,0.05,{'0.05': 3},
47,Piranha Plant,0.05,{'0.05': 3},
47,Sephiroth,0.05,{'0.05': 3},
47,Pyra-Mythra,0.05,{'0.05': 3},
47,Kazuya,0.05,{'0.05': 6},
60,Lucina,0.02,{'0.02': 3},
60,Wario,0.02,{'0.02': 3},
60,Snake,0.02,{'0.02': 3},
60,King Dedede,0.02,{'0.02': 3},
60,Robin,0.02,{'0.02': 3},
60,Ryu,0.02,{'0.02': 3},
60,Corrin,0.02,{'0.02': 6},
60,Ridley,0.02,{'0.02': 3},
60,Mii Swordsman,0.02,{'0.02': 3},
60,Mii Gunner,0.02,{'0.02': 3},
70,Dark Samus,0.0,{'0.0': 3},
70,Yoshi,0.0,{'0.0': 3},
70,Mewtwo,0.0,{'0.0': 3},
70,Chrom,0.0,{'0.0': 3},
70,Zero Suit Samus,0.0,{'0.0': 3},
70,Pokemon Trainer,0.0,{'0.0': 3},
70,Lucario,0.0,{'0.0': 3},
70,ROB,0.0,{'0.0': 3},
70,Toon Link,0.0,{'0.0': 6},
70,Wii Fit Trainer,0.0,{'0.0': 6},
70,Rosalina and Luma,0.0,{'0.0': 6},
70,Greninja,0.0,{'0.0': 3},
70,Duck Hunt,0.0,{'0.0': 3},
70,Ken,0.0,{'0.0': 3},
70,Min Min,0.0,{'0.0': 3},
70,Mii Brawler,0.0,{'0.0': 3},
