rank,character,read_value,candidates,correct
1,Young Link,88216.0,"{'8816': 2, '88216': 1}",
2,Jigglypuff,5014.0,{'5014': 3},
3,Shulk,1159.0,{'1159': 3},
4,Captain Falcon,1058.0,{'1058': 3},
5,Dr Mario,1030.0,{'1030': 3},
6,Ganondorf,715.0,"{'715': 2, '7315': 1}",
7,Mario,610.0,{'610': 3},
8,Lucas,537.0,{'537': 6},
9,Daisy,445.0,{'445': 3},
10,Richter,316.0,"{'316': 2, '3216': 1}",
11,Banjo and Kazooie,225.0,{'225': 3},
12,Donkey Kong,142.0,{'142': 3},
13,Terry,132.0,{'132': 3},
14,Steve,125.0,{'125': 3},
15,Roy,117.0,{'117': 6},
16,Byleth,108.0,{'108': 3},
17,Peach,57.0,{'57': 3},
18,Bowser Jr,51.0,{'51': 3},
18,Pichu,51.0,{'51': 3},
20,Sheik,49.0,{'49': 3},
21,Cloud,48.0,{'48': 3},
22,Pikachu,47.0,{'47': 6},
23,Wolf,46.0,"{'46': 3, '15': 3}",
24,Mr Game and Watch,41.0,"{'41': 2, '241': 1}",
25,Ness,39.0,{'39': 3},
26,Joker,36.0,{'36': 3},
27,Ike,30.0,{'30': 3},
28,Villager,24.0,{'24': 3},
29,Samus,23.0,{'23': 6},
29,Bowser,23.0,{'23': 3},
31,Zelda,21.0,{'21': 3},
32,Hero,20.0,{'20': 3},
33,Pit,19.0,{'19': 3},
33,Mega Man,19.0,{'19': 3},
35,Incineroar,18.0,{'18': 3},
35,Sora,18.0,{'18': 3},
37,Isabelle,14.0,{'14': 3},
38,Pac-Man,13.0,"{'13': 2, '213': 1}",
38,Marth,13.0,"{'13': 2, '213': 1}",
40,Inkling,12.0,{'12': 3},
40,Simon,12.0,{'12': 3},
40,Link,12.0,{'12': 3},
43,Fox,11.0,{'11': 3},
43,Diddy Kong,11.0,"{'11': 2, '211': 1}",
45,Palutena,10.0,{'10': 3},
45,Little Mac,10.0,{'10': 3},
45,Bayonetta,10.0,{'10': 3},
45,Falco,10.0,{'10': 3},
49,Sonic,9.0,{'9': 3},
50,Sephiroth,8.0,{'8': 3},
50,Dark Pit,8.0,{'8': 3},
52,Ice Climbers,7.0,{'7': 3},
52,Olimar,7.0,{'7': 3},
52,Kazuya,7.0,{'7': 3},
55,King K Rool,6.0,{'6': 3},
55,Snake,6.0,{'6': 3},
57,Pyra-Mythra,5.0,{'5': 3},
57,Kirby,5.0,{'5': 3},
57,Piranha Plant,5.0,{'5': 3},
57,Lucina,5.0,{'5': 3},
57,Wario,5.0,{'5': 3},
62,Corrin,4.0,{'4': 3},
63,Luigi,3.0,{'3': 3},
63,Ryu,3.0,{'3': 3},
63,Ridley,3.0,{'3': 3},
63,King Dedede,3.0,{'3': 3},
67,Mii Swordsman,2.0,{'2': 3},
67,Mii Gunner,2.0,{'2': 3},
69,Robin,1.0,{'1': 3},
70,Dark Samus,0.0,{'0': 3},
70,Yoshi,0.0,{'0': 3},
70,Mewtwo,0.0,{'0': 3},
70,Chrom,0.0,{'0': 3},
70,Zero Suit Samus,0.0,{'0': 3},
70,Pokemon Trainer,0.0,{'0': 3},
70,Lucario,0.0,{'0': 3},
70,ROB,0.0,{'0': 3},
70,Toon Link,0.0,{'0': 6},
70,Wii Fit Trainer,0.0,{'0': 3},
70,Rosalina and Luma,0.0,{'0': 3},
70,Greninja,0.0,{'0': 3},
70,Duck Hunt,0.0,{'0': 3},
70,Ken,0.0,{'0': 3},
70,Min Min,0.0,{'0': 3},
70,Mii Brawler,0.0,{'0': 3},
