rank,character,read_value,candidates,correct
1,Falco,100.0,{'100.0': 3},
1,Dark Pit,100.0,{'100.0': 3},
1,Wario,100.0,{'100.0': 3},
1,Diddy Kong,100.0,{'100.0': 3},
1,King Dedede,100.0,{'100.0': 3},
1,Villager,100.0,{'100.0': 3},
1,Robin,100.0,{'100.0': 3},
1,Ryu,100.0,{'100.0': 3},
1,Ridley,100.0,{'100.0': 3},
1,Piranha Plant,100.0,{'100.0': 3},
1,Pyra-Mythra,100.0,{'100.0': 3},
1,Mii Swordsman,100.0,{'100.0': 3},
13,Young Link,78.0,{'78.0': 3},
14,Ike,77.77,{'77.77': 3},
15,Dr Mario,76.0,{'76.0': 3},
15,Terry,76.0,{'76.0': 3},
17,Richter,72.0,{'72.0': 3},
18,Fox,66.66,{'66.66': 3},
18,Inkling,66.66,{'66.66': 3},
20,Byleth,65.0,{'65.0': 3},
21,Banjo and Kazooie,62.85,{'62.85': 3},
22,Ness,60.0,{'60.0': 3},
22,Pit,60.0,{'60.0': 6},
24,Lucas,58.0,"{'98.0': 2, '58.0': 1}",
25,Bowser,57.14,"{'57.14': 2, '87.14': 1}",
25,Bowser Jr,57.14,"{'57.14': 2, '87.14': 1}",
27,Jigglypuff,56.0,{'56.0': 3},
28,Captain Falcon,54.0,{'54.0': 3},
29,Mario,52.0,"{'92.0': 2, '52.0': 1}",
29,Ganondorf,52.0,"{'92.0': 4, '52.0': 2}",
31,Link,50.0,"{'90.0': 2, '50.0': 1}",
31,Luigi,50.0,{'50.0': 3},
31,Ice Climbers,50.0,{'50.0': 3},
31,Olimar,50.0,{'50.0': 3},
31,King K Rool,50.0,{'50.0': 3},
31,Incineroar,50.0,"{'90.0': 2, '50.0': 1}",
31,Joker,50.0,"{'90.0': 4, '50.0': 2}",
31,Hero,50.0,"{'90.0': 2, '50.0': 1}",
31,Sephiroth,50.0,{'50.0': 3},
40,Peach,47.05,{'47.05': 3},
41,Daisy,44.0,{'44.0': 3},
41,Shulk,44.0,{'44.0': 3},
43,Roy,41.66,{'41.66': 3},
44,Zelda,40.0,{'40.0': 3},
45,Steve,39.13,{'39.13': 3},
46,Mr Game and Watch,36.36,{'36.36': 3},
47,Cloud,35.71,{'35.71': 3},
48,Pikachu,33.33,{'33.33': 3},
48,Marth,33.33,{'33.33': 3},
48,Palutena,33.33,"{'0.05': 2, '33.33': 1}",
48,Bayonetta,33.33,"{'333.53': 2, '33.33': 1}",
48,Simon,33.33,"{'33.53': 2, '33.33': 1}",
53,Donkey Kong,25.8,{'25.8': 3},
54,Mega Man,25.0,{'25.0': 3},
54,Pac-Man,25.0,{'25.0': 3},
54,Isabelle,25.0,{'25.0': 3},
57,Sora,20.0,{'20.0': 3},
58,Samus,16.66,{'16.66': 3},
58,Sheik,16.66,{'16.66': 3},
58,Wolf,16.66,"{'16.66': 3, '0.0': 3}",
61,Pichu,14.28,{'14.28': 3},
62,Kirby,0.0,{'0.0': 3},
62,Lucina,0.0,{'0.0': 3},
62,Snake,0.0,{'0.0': 3},
62,Sonic,0.0,{'0.0': 3},
62,Little Mac,0.0,{'0.0': 3},
62,Corrin,0.0,{'0.0': 3},
62,Kazuya,0.0,{'0.0': 3},
62,Mii Gunner,0.0,{'0.0': 3},
62,Dark Samus,0.0,{'0.0': 3},
62,Yoshi,0.0,{'0.0': 3},
62,Mewtwo,0.0,{'0.0': 3},
62,Chrom,0.0,{'0.0': 3},
62,Zero Suit Samus,0.0,{'0.0': 3},
62,Pokemon Trainer,0.0,{'0.0': 3},
62,Lucario,0.0,{'0.0': 3},
62,ROB,0.0,{'0.0': 3},
62,Toon Link,0.0,{'0.0': 6},
62,Wii Fit Trainer,0.0,{'0.0': 3},
62,Rosalina and Luma,0.0,{'0.0': 3},
62,Greninja,0.0,{'0.0': 3},
62,Duck Hunt,0.0,{'0.0': 3},
62,Ken,0.0,{'0.0': 3},
62,Min Min,0.0,{'0.0': 3},
62,Mii Brawler,0.0,{'0.0': 3},
