rank,character,read_value,candidates,correct
1,Young Link,713.0,"{'713': 2, '113': 1}",
2,Jigglypuff,465.0,{'465': 3},
3,Dr Mario,106.0,{'106': 3},
4,Captain Falcon,103.0,{'103': 3},
5,Shulk,88.0,{'88': 3},
6,Ganondorf,67.0,{'67': 3},
7,Mario,53.0,"{'93': 2, '53': 1}",
8,Lucas,47.0,"{'47': 5, '4': 1}",
9,Daisy,37.0,{'37': 3},
10,Richter,36.0,{'36': 3},
11,Banjo and Kazooie,22.0,{'22': 3},
12,Terry,19.0,{'19': 3},
13,Byleth,13.0,{'13': 3},
14,Roy,10.0,{'10': 3},
15,Steve,9.0,{'9': 2},
16,Donkey Kong,8.0,{'8': 3},
16,Peach,8.0,{'8': 3},
16,Bowser Jr,8.0,{'8': 2},
19,Ike,7.0,{'7': 3},
20,Ness,6.0,{'6': 3},
20,Villager,6.0,"{'6': 2, '5': 1}",
22,Cloud,5.0,"{'3': 2, '5': 1}",
22,Joker,5.0,{'5': 1},
24,Pikachu,4.0,{'4': 3},
24,Bowser,4.0,{'4': 3},
24,Mr Game and Watch,4.0,{'4': 3},
27,Pit,3.0,{'3': 3},
27,Incineroar,3.0,{'3': 3},
27,Hero,3.0,{'3': 3},
30,Link,2.0,{'2': 6},
30,Fox,2.0,{'2': 3},
30,Sheik,2.0,{'2': 3},
30,Zelda,2.0,{'2': 3},
30,Pichu,2.0,{'2': 3},
30,Falco,2.0,{'2': 3},
30,Wolf,2.0,"{'2': 3, '0': 2}",
30,Dark Pit,2.0,{'2': 3},
30,Diddy Kong,2.0,{'2': 3},
30,Inkling,2.0,{'2': 3},
30,Piranha Plant,2.0,{'2': 3},
30,Pyra-Mythra,2.0,{'2': 3},
42,Samus,1.0,{'1': 3},
42,Luigi,1.0,{'1': 3},
42,Ice Climbers,1.0,{'1': 3},
42,Marth,1.0,{'1': 3},
42,Wario,1.0,{'1': 3},
42,King Dedede,1.0,{'1': 3},
42,Olimar,1.0,{'1': 3},
42,Mega Man,1.0,{'1': 3},
42,Palutena,1.0,{'1': 3},
42,Pac-Man,1.0,{'1': 3},
42,Robin,1.0,{'1': 3},
42,Ryu,1.0,{'1': 3},
42,Bayonetta,1.0,{'1': 3},
42,Ridley,1.0,{'1': 3},
42,Simon,1.0,{'1': 3},
42,King K Rool,1.0,{'1': 3},
42,Isabelle,1.0,{'1': 3},
42,Sephiroth,1.0,{'1': 3},
42,Sora,1.0,{'1': 3},
42,Mii Swordsman,1.0,{'1': 3},
62,Kirby,0.0,{'0': 1},
62,Lucina,0.0,{'0': 1},
62,Snake,0.0,{'0': 3},
62,Sonic,0.0,{'0': 3},
62,Little Mac,0.0,{'0': 2},
62,Corrin,0.0,{'0': 1},
62,Kazuya,0.0,{'0': 2},
62,Mii Gunner,0.0,{'0': 2},
62,Dark Samus,0.0,{'0': 1},
62,Yoshi,0.0,{'0': 2},
62,Mewtwo,0.0,{'0': 2},
62,Chrom,0.0,{'0': 1},
62,Zero Suit Samus,0.0,{'0': 2},
62,Pokemon Trainer,0.0,{'0': 2},
62,Lucario,0.0,{'0': 1},
62,ROB,0.0,{'0': 1},
62,Toon Link,0.0,{'0': 5},
62,Wii Fit Trainer,0.0,{'0': 5},
62,Rosalina and Luma,0.0,{'0': 3},
62,Greninja,0.0,{'0': 1},
62,Duck Hunt,0.0,{'0': 2},
62,Ken,0.0,{'0': 3},
62,Min Min,0.0,{'0': 2},
62,Mii Brawler,0.0,{'0': 2},
