rank,character,read_value,candidates,correct
1,Young Link,10.0,{'10': 3},
2,Jigglypuff,9.0,{'9': 2},
3,Richter,5.0,{'5': 3},
4,Dr Mario,4.0,{'4': 3},
5,Lucas,3.0,{'3': 3},
6,Villager,2.0,{'2': 3},
7,Ness,1.0,{'1': 3},
7,Captain Falcon,1.0,{'1': 6},
7,Zelda,1.0,{'1': 3},
7,Marth,1.0,{'1': 3},
7,Ganondorf,1.0,{'1': 3},
7,Diddy Kong,1.0,{'1': 3},
7,Wolf,1.0,"{'1': 3, '0': 2}",
7,Bowser Jr,1.0,{'1': 3},
7,Sora,1.0,{'1': 6},
16,Mario,0.0,{'0': 1},
16,Donkey Kong,0.0,{'0': 2},
16,Link,0.0,{'0': 1},
16,Samus,0.0,{'0': 3},
16,Kirby,0.0,{'0': 2},
16,Fox,0.0,{'0': 1},
16,Pikachu,0.0,{'0': 2},
16,Luigi,0.0,{'0': 2},
16,Peach,0.0,{'0': 2},
16,Daisy,0.0,{'0': 2},
16,Bowser,0.0,{'0': 1},
16,Ice Climbers,0.0,{'0': 1},
16,Sheik,0.0,{'0': 3},
16,Pichu,0.0,{'0': 2},
16,Falco,0.0,{'0': 1},
16,Lucina,0.0,{'0': 1},
16,Roy,0.0,{'0': 1},
16,Mr Game and Watch,0.0,{'0': 2},
16,Pit,0.0,{'0': 2},
16,Dark Pit,0.0,{'0': 1},
16,Wario,0.0,{'0': 2},
16,Snake,0.0,{'0': 2},
16,Ike,0.0,{'0': 1},
16,Sonic,0.0,{'0': 1},
16,King Dedede,0.0,{'0': 3},
16,Olimar,0.0,{'0': 3},
16,Mega Man,0.0,{'0': 1},
16,Little Mac,0.0,{'0': 4},
16,Palutena,0.0,{'0': 2},
16,Pac-Man,0.0,{'0': 1},
16,Robin,0.0,{'0': 1},
16,Shulk,0.0,{'0': 3},
16,Ryu,0.0,{'0': 3},
16,Cloud,0.0,{'0': 3},
16,Corrin,0.0,{'0': 2},
16,Bayonetta,0.0,{'0': 1},
16,Inkling,0.0,{'0': 1},
16,Ridley,0.0,{'0': 1},
16,Simon,0.0,{'0': 1},
16,King K Rool,0.0,{'0': 2},
16,Isabelle,0.0,{'0': 1},
16,Incineroar,0.0,{'0': 1},
16,Piranha Plant,0.0,{'0': 1},
16,Joker,0.0,{'0': 3},
16,Hero,0.0,{'0': 2},
16,Banjo and Kazooie,0.0,{'0': 1},
16,Terry,0.0,{'0': 2},
16,Byleth,0.0,{'0': 2},
16,Steve,0.0,{'0': 2},
16,Sephiroth,0.0,{'0': 2},
16,Pyra-Mythra,0.0,{'0': 2},
16,Kazuya,0.0,{'0': 1},
16,Mii Swordsman,0.0,{'0': 1},
16,Mii Gunner,0.0,{'0': 2},
16,Dark Samus,0.0,{'0': 3},
16,Yoshi,0.0,{'0': 2},
16,Mewtwo,0.0,{'0': 3},
16,Chrom,0.0,{'0': 2},
16,Zero Suit Samus,0.0,{'0': 1},
16,Pokemon Trainer,0.0,{'0': 1},
16,Lucario,0.0,{'0': 3},
16,ROB,0.0,{'0': 2},
16,Toon Link,0.0,{'0': 4},
16,Wii Fit Trainer,0.0,{'0': 6},
16,Rosalina and Luma,0.0,{'0': 2},
16,Greninja,0.0,{'0': 1},
16,Duck Hunt,0.0,{'0': 3},
16,Ken,0.0,{'0': 2},
16,Min Min,0.0,{'0': 2},
16,Mii Brawler,0.0,{'0': 3},
