rank,character,read_value,candidates,correct
1,Young Link,618.0,{'618': 3},
2,Jigglypuff,366.0,{'366': 3},
3,Dr Mario,85.0,{'85': 3},
4,Captain Falcon,78.0,{'78': 3},
5,Shulk,63.0,{'63': 3},
6,Ganondorf,49.0,{'49': 3},
7,Mario,45.0,{'45': 3},
8,Lucas,37.0,"{'3': 2, '37': 2, '7': 2}",
9,Daisy,28.0,{'28': 3},
10,Richter,26.0,{'26': 3},
11,Banjo and Kazooie,20.0,"{'20': 2, '200': 1}",
12,Terry,14.0,{'14': 3},
13,Byleth,10.0,{'10': 3},
14,Roy,8.0,"{'8': 1, '38': 1}",
15,Peach,7.0,{'7': 4},
15,Bowser Jr,7.0,{'7': 3},
15,Steve,7.0,{'7': 3},
18,Donkey Kong,5.0,{'5': 3},
18,Ness,5.0,"{'9': 2, '5': 1}",
20,Bowser,4.0,{'4': 3},
20,Joker,4.0,{'4': 3},
22,Mr Game and Watch,3.0,{'3': 6},
22,Villager,3.0,{'3': 3},
22,Cloud,3.0,{'3': 3},
25,Fox,2.0,{'2': 3},
25,Pikachu,2.0,{'2': 3},
25,Zelda,2.0,{'2': 3},
25,Pit,2.0,{'2': 3},
25,Dark Pit,2.0,{'2': 3},
25,Ike,2.0,{'2': 3},
25,Inkling,2.0,{'2': 3},
25,Incineroar,2.0,{'2': 3},
25,Piranha Plant,2.0,{'2': 3},
25,Hero,2.0,{'2': 3},
25,Pyra-Mythra,2.0,{'2': 3},
36,Link,1.0,{'1': 3},
36,Samus,1.0,{'1': 3},
36,Luigi,1.0,{'1': 3},
36,Ice Climbers,1.0,{'1': 3},
36,Sheik,1.0,{'1': 3},
36,Pichu,1.0,{'1': 3},
36,Falco,1.0,{'1': 3},
36,King Dedede,1.0,{'1': 3},
36,Olimar,1.0,{'1': 3},
36,Mega Man,1.0,{'1': 3},
36,Palutena,1.0,{'1': 3},
36,Pac-Man,1.0,{'1': 3},
36,Robin,1.0,{'1': 3},
36,Ryu,1.0,{'1': 3},
36,Simon,1.0,{'1': 3},
36,King K Rool,1.0,{'1': 3},
36,Isabelle,1.0,{'1': 3},
36,Mii Swordsman,1.0,{'1': 3},
54,Kirby,0.0,{'0': 1},
54,Marth,0.0,{'0': 2},
54,Lucina,0.0,{'0': 1},
54,Wolf,0.0,{'0': 4},
54,Wario,0.0,{'0': 3},
54,Snake,0.0,{'0': 1},
54,Diddy Kong,0.0,{'0': 2},
54,Sonic,0.0,{'0': 2},
54,Little Mac,0.0,{'0': 2},
54,Corrin,0.0,{'0': 2},
54,Bayonetta,0.0,{'0': 1},
54,Ridley,0.0,{'0': 1},
54,Sephiroth,0.0,{'0': 2},
54,Kazuya,0.0,{'0': 1},
54,Sora,0.0,{'0': 1},
54,Mii Gunner,0.0,{'0': 3},
54,Dark Samus,0.0,{'0': 1},
54,Yoshi,0.0,{'0': 2},
54,Mewtwo,0.0,{'0': 2},
54,Chrom,0.0,{'0': 1},
54,Zero Suit Samus,0.0,{'0': 1},
54,Pokemon Trainer,0.0,{'0': 1},
54,Lucario,0.0,{'0': 1},
54,ROB,0.0,{'0': 2},
54,Toon Link,0.0,{'0': 4},
54,Wii Fit Trainer,0.0,"{'0': 4, '4': 1}",
54,Rosalina and Luma,0.0,{'0': 1},
54,Greninja,0.0,{'0': 1},
54,Duck Hunt,0.0,{'0': 3},
54,Ken,0.0,{'0': 3},
54,Min Min,0.0,{'0': 2},
54,Mii Brawler,0.0,{'0': 1},
