rank,character,read_value,candidates,correct
1,Dark Pit,100.0,{'100.0': 3},
1,King Dedede,100.0,{'100.0': 3},
1,Robin,100.0,{'100.0': 3},
1,Ryu,100.0,{'100.0': 3},
1,Piranha Plant,100.0,{'100.0': 3},
1,Pyra-Mythra,100.0,{'100.0': 3},
1,Mii Swordsman,100.0,{'100.0': 3},
8,Fox,66.66,{'66.66': 3},
8,Inkling,66.66,{'66.66': 3},
10,Villager,60.0,{'60.0': 3},
11,Young Link,58.0,{'58.0': 3},
12,Bowser,57.14,{'57.14': 3},
12,Banjo and Kazooie,57.14,{'57.14': 3},
14,Terry,56.0,{'56.0': 3},
15,Dr Mario,54.0,"{'94.0': 2, '54.0': 1}",
16,Richter,52.0,"{'92.0': 2, '52.0': 1}",
17,Luigi,50.0,"{'90.0': 2, '50.0': 1}",
17,Ness,50.0,{'50.0': 3},
17,Ice Climbers,50.0,{'50.0': 3},
17,Falco,50.0,{'50.0': 3},
17,Olimar,50.0,{'50.0': 3},
17,Bowser Jr,50.0,"{'90.0': 2, '50.0': 1}",
17,King K Rool,50.0,"{'90.0': 4, '50.0': 2}",
17,Byleth,50.0,"{'90.0': 2, '50.0': 1}",
25,Mario,42.0,{'42.0': 3},
25,Lucas,42.0,{'42.0': 3},
27,Peach,41.17,"{'41.17': 2, '4.47': 1}",
28,Zelda,40.0,{'40.0': 3},
28,Pit,40.0,{'40.0': 3},
28,Joker,40.0,{'40.0': 6},
31,Jigglypuff,38.0,{'38.0': 3},
32,Shulk,36.0,{'36.0': 3},
33,Roy,33.33,"{'53.33': 2, '33.33': 1}",
33,Palutena,33.33,{'33.33': 3},
33,Simon,33.33,{'33.33': 3},
33,Incineroar,33.33,{'33.33': 1},
33,Hero,33.33,"{'333.53': 2, '33.33': 1}",
38,Ganondorf,32.0,{'32.0': 3},
39,Steve,30.43,{'30.43': 3},
40,Mr Game and Watch,27.27,"{'0.22': 2, '27.27': 1}",
41,Daisy,26.0,{'26.0': 3},
42,Link,25.0,{'25.0': 3},
42,Mega Man,25.0,{'25.0': 3},
42,Pac-Man,25.0,{'25.0': 3},
42,Isabelle,25.0,{'25.0': 3},
46,Captain Falcon,24.0,{'24.0': 3},
47,Ike,22.22,{'22.22': 3},
48,Cloud,21.42,{'21.42': 3},
49,Samus,16.66,{'16.66': 3},
49,Pikachu,16.66,{'16.66': 3},
51,Donkey Kong,16.12,{'16.12': 3},
52,Sheik,8.33,{'8.33': 3},
53,Pichu,7.14,"{'7.14': 2, '0.74': 1}",
54,Kirby,0.0,{'0.0': 3},
54,Marth,0.0,{'0.0': 3},
54,Lucina,0.0,{'0.0': 3},
54,Wolf,0.0,{'0.0': 6},
54,Wario,0.0,{'0.0': 3},
54,Snake,0.0,{'0.0': 3},
54,Diddy Kong,0.0,{'0.0': 3},
54,Sonic,0.0,{'0.0': 3},
54,Little Mac,0.0,{'0.0': 3},
54,Corrin,0.0,{'0.0': 3},
54,Bayonetta,0.0,{'0.0': 3},
54,Ridley,0.0,{'0.0': 3},
54,Sephiroth,0.0,{'0.0': 3},
54,Kazuya,0.0,{'0.0': 3},
54,Sora,0.0,{'0.0': 3},
54,Mii Gunner,0.0,{'0.0': 3},
54,Dark Samus,0.0,{'0.0': 3},
54,Yoshi,0.0,{'0.0': 3},
54,Mewtwo,0.0,{'0.0': 3},
54,Chrom,0.0,{'0.0': 3},
54,Zero Suit Samus,0.0,{'0.0': 3},
54,Pokemon Trainer,0.0,{'0.0': 3},
54,Lucario,0.0,{'0.0': 3},
54,ROB,0.0,{'0.0': 3},
54,Toon Link,0.0,{'0.0': 6},
54,Wii Fit Trainer,0.0,{'0.0': 3},
54,Rosalina and Luma,0.0,{'0.0': 3},
54,Greninja,0.0,{'0.0': 3},
54,Duck Hunt,0.0,{'0.0': 3},
54,Ken,0.0,{'0.0': 3},
54,Min Min,0.0,{'0.0': 3},
54,Mii Brawler,0.0,{'0.0': 3},
