rank,character,read_value,candidates,correct
1,Kirby,3.0,{'3.0': 3},
1,Fox,3.0,{'3.0': 3},
1,Luigi,3.0,{'3.0': 3},
1,Ness,3.0,{'3.0': 3},
1,Captain Falcon,3.0,{'3.0': 3},
1,Bowser,3.0,{'3.0': 6},
1,Zelda,3.0,{'3.0': 6},
1,Lucina,3.0,{'3.0': 6},
1,Chrom,3.0,{'3.0': 3},
1,Wario,3.0,{'3.0': 3},
1,King Dedede,3.0,{'3.0': 3},
1,Lucario,3.0,{'3.0': 3},
1,Little Mac,3.0,{'3.0': 3},
1,Pac-Man,3.0,{'3.0': 3},
1,Bayonetta,3.0,{'3.0': 3},
1,Ridley,3.0,{'3.0': 3},
1,King K Rool,3.0,{'3.0': 3},
1,Pyra-Mythra,3.0,{'3.0': 3},
19,Donkey Kong,2.83,{'2.83': 3},
20,Young Link,2.8,{'2.8': 3},
20,Ganondorf,2.8,{'2.8': 3},
22,Cloud,2.71,{'2.71': 3},
23,Link,2.7,{'2.7': 3},
24,Snake,2.66,{'2.66': 3},
24,Ike,2.66,{'2.66': 3},
24,Joker,2.66,{'2.66': 3},
27,Mii Swordsman,2.63,{'2.63': 3},
28,Byleth,2.62,{'2.62': 3},
29,Samus,2.55,{'2.55': 3},
29,Min Min,2.55,{'2.55': 3},
31,Sonic,2.51,{'2.51': 3},
32,Palutena,2.5,{'2.5': 3},
33,Sheik,2.0,{'2.0': 3},
33,Marth,2.0,{'2.0': 3},
33,Diddy Kong,2.0,{'2.0': 3},
33,Sora,2.0,{'2.0': 3},
37,Mario,0.0,{'0.0': 3},
37,Dark Samus,0.0,{'0.0': 3},
37,Yoshi,0.0,{'0.0': 3},
37,Pikachu,0.0,{'0.0': 3},
37,Jigglypuff,0.0,{'0.0': 3},
37,Peach,0.0,{'0.0': 3},
37,Daisy,0.0,{'0.0': 3},
37,Ice Climbers,0.0,{'0.0': 3},
37,Dr Mario,0.0,{'0.0': 3},
37,Pichu,0.0,{'0.0': 3},
37,Falco,0.0,{'0.0': 3},
37,Mewtwo,0.0,{'0.0': 3},
37,Roy,0.0,{'0.0': 3},
37,Mr Game and Watch,0.0,{'0.0': 3},
37,Meta Knight,0.0,{'0.0': 3},
37,Pit,0.0,{'0.0': 3},
37,Dark Pit,0.0,{'0.0': 3},
37,Zero Suit Samus,0.0,{'0.0': 3},
37,Pokemon Trainer,0.0,{'0.0': 3},
37,Lucas,0.0,{'0.0': 6},
37,Olimar,0.0,{'0.0': 3},
37,ROB,0.0,{'0.0': 3},
37,Toon Link,0.0,{'0.0': 3},
37,Sephiroth,0.0,{'0.0': 9},
37,Villager,0.0,{'0.0': 3},
37,Mega Man,0.0,{'0.0': 3},
37,Rosalina and Luma,0.0,{'0.0': 3},
37,Greninja,0.0,{'0.0': 3},
37,Robin,0.0,{'0.0': 3},
37,Shulk,0.0,{'0.0': 3},
37,Bowser Jr,0.0,{'0.0': 3},
37,Duck Hunt,0.0,{'0.0': 3},
37,Ryu,0.0,{'0.0': 3},
37,Ken,0.0,{'0.0': 3},
37,Corrin,0.0,{'0.0': 3},
37,Inkling,0.0,{'0.0': 3},
37,Simon,0.0,{'0.0': 3},
37,Richter,0.0,{'0.0': 3},
37,Isabelle,0.0,{'0.0': 3},
37,Incineroar,0.0,{'0.0': 3},
37,Piranha Plant,0.0,{'0.0': 6},
37,Hero,0.0,{'0.0': 6},
37,Banjo and Kazooie,0.0,{'0.0': 6},
37,Terry,0.0,{'0.0': 6},
37,Steve,0.0,{'0.0': 6},
37,Kazuya,0.0,{'0.0': 6},
37,Mii Brawler,0.0,{'0.0': 3},
37,Mii Gunner,0.0,{'0.0': 3},
