rank,character,read_value,candidates,correct
1,Snake,51.0,{'51': 1},
2,Link,41.0,{'41': 3},
3,Sonic,39.0,{'39': 3},
3,Cloud,39.0,{'39': 3},
5,Ike,33.0,{'33': 6},
6,Donkey Kong,30.0,{'30': 6},
7,Min Min,27.0,{'27': 6},
8,Ganondorf,21.0,"{'21': 5, '2': 1}",
9,Young Link,15.0,{'15': 3},
10,Mii Swordsman,11.0,{'11': 2},
11,Samus,9.0,"{'9': 1, '2': 1}",
12,Byleth,8.0,{'8': 2},
13,Captain Falcon,3.0,{'3': 3},
13,Little Mac,3.0,{'3': 3},
13,Joker,3.0,{'3': 3},
16,Kirby,2.0,{'2': 3},
16,Zelda,2.0,{'2': 3},
16,King Dedede,2.0,{'2': 3},
16,Lucario,2.0,{'2': 6},
16,Palutena,2.0,{'2': 3},
16,Pac-Man,2.0,{'2': 3},
22,Fox,1.0,{'1': 3},
22,Luigi,1.0,{'1': 3},
22,Ness,1.0,{'1': 3},
22,Bowser,1.0,{'1': 3},
22,Sheik,1.0,{'1': 3},
22,Marth,1.0,{'1': 3},
22,Lucina,1.0,{'1': 3},
22,Chrom,1.0,{'1': 3},
22,Wario,1.0,{'1': 3},
22,Diddy Kong,1.0,{'1': 3},
22,Bayonetta,1.0,{'1': 3},
22,Ridley,1.0,{'1': 3},
22,King K Rool,1.0,{'1': 3},
22,Pyra-Mythra,1.0,{'1': 3},
22,Sora,1.0,{'1': 3},
37,Mario,0.0,{'0': 2},
37,Dark Samus,0.0,{'0': 3},
37,Yoshi,0.0,{'0': 1},
37,Pikachu,0.0,{'0': 1},
37,Jigglypuff,0.0,{'0': 2},
37,Peach,0.0,{'0': 2},
37,Daisy,0.0,{'0': 1},
37,Ice Climbers,0.0,{'0': 2},
37,Dr Mario,0.0,{'0': 3},
37,Pichu,0.0,{'0': 3},
37,Falco,0.0,{'0': 1},
37,Mewtwo,0.0,{'0': 3},
37,Mr Game and Watch,0.0,{'0': 1},
37,Meta Knight,0.0,{'0': 1},
37,Pit,0.0,{'0': 1},
37,Dark Pit,0.0,{'0': 3},
37,Zero Suit Samus,0.0,{'0': 2},
37,Pokemon Trainer,0.0,{'0': 1},
37,Lucas,0.0,{'0': 2},
37,Olimar,0.0,{'0': 2},
37,ROB,0.0,{'0': 3},
37,Toon Link,0.0,{'0': 2},
37,Wolf,0.0,{'0': 2},
37,Villager,0.0,{'0': 3},
37,Mega Man,0.0,{'0': 1},
37,Wii Fit Trainer,0.0,{'0': 1},
37,Rosalina and Luma,0.0,{'0': 4},
37,Greninja,0.0,{'0': 2},
37,Robin,0.0,{'0': 2},
37,Shulk,0.0,{'0': 2},
37,Bowser Jr,0.0,{'0': 3},
37,Duck Hunt,0.0,{'0': 2},
37,Ryu,0.0,{'0': 1},
37,Ken,0.0,{'0': 1},
37,Corrin,0.0,{'0': 1},
37,Inkling,0.0,{'0': 2},
37,Simon,0.0,{'0': 2},
37,Richter,0.0,{'0': 2},
37,Isabelle,0.0,{'0': 2},
37,Incineroar,0.0,{'0': 2},
37,Piranha Plant,0.0,{'0': 1},
37,Hero,0.0,{'0': 5},
37,Banjo and Kazooie,0.0,{'0': 2},
37,Terry,0.0,{'0': 3},
37,Steve,0.0,{'0': 4},
37,Sephiroth,0.0,{'0': 4},
37,Kazuya,0.0,{'0': 4},
37,Mii Brawler,0.0,{'0': 3},
37,Mii Gunner,0.0,{'0': 3},
