rank,character,read_value,candidates,correct
1,Snake,17280.0,{'17280': 1},
2,Link,14119.0,{'14119': 3},
3,Cloud,12976.0,{'12976': 3},
4,Sonic,12498.0,{'12498': 3},
5,Donkey Kong,11975.0,{'11975': 3},
6,Ike,11833.0,{'11833': 6},
7,Min Min,8710.0,{'8710': 6},
8,Ganondorf,7516.0,{'7516': 6},
9,Young Link,5223.0,"{'9223': 2, '5223': 1}",
10,Mii Swordsman,3651.0,{'3651': 3},
11,Samus,3071.0,{'3071': 3},
12,Byleth,2812.0,{'2812': 3},
13,Captain Falcon,930.0,"{'930': 2, '9300': 1}",
14,Little Mac,870.0,{'870': 3},
15,Joker,781.0,{'781': 3},
16,Kirby,703.0,{'703': 3},
17,Pac-Man,678.0,{'678': 3},
18,Zelda,623.0,{'623': 3},
19,Lucario,611.0,{'611': 3},
20,Palutena,520.0,{'520': 3},
21,King Dedede,495.0,{'495': 3},
22,Diddy Kong,453.0,{'453': 3},
23,Chrom,451.0,{'451': 3},
24,Lucina,439.0,{'439': 3},
25,King K Rool,412.0,{'412': 3},
26,Wario,402.0,{'402': 3},
27,Sora,368.0,{'368': 3},
28,Sheik,356.0,{'356': 3},
29,Ness,326.0,{'326': 3},
30,Pyra-Mythra,324.0,{'324': 3},
31,Bayonetta,313.0,{'313': 3},
32,Bowser,305.0,{'305': 3},
33,Luigi,282.0,{'282': 3},
34,Marth,277.0,{'277': 3},
35,Fox,258.0,"{'298': 2, '258': 1}",
36,Ridley,234.0,{'234': 3},
37,Mario,0.0,{'0': 1},
37,Dark Samus,0.0,{'0': 2},
37,Yoshi,0.0,{'0': 2},
37,Pikachu,0.0,{'0': 1},
37,Jigglypuff,0.0,{'0': 1},
37,Peach,0.0,{'0': 1},
37,Daisy,0.0,{'0': 2},
37,Ice Climbers,0.0,{'0': 2},
37,Dr Mario,0.0,{'0': 1},
37,Pichu,0.0,{'0': 2},
37,Falco,0.0,{'0': 2},
37,Mewtwo,0.0,{'0': 3},
37,Roy,0.0,{'0': 3},
37,Mr Game and Watch,0.0,{'0': 2},
37,Meta Knight,0.0,{'0': 2},
37,Pit,0.0,{'0': 1},
37,Dark Pit,0.0,{'0': 2},
37,Zero Suit Samus,0.0,{'0': 2},
37,Pokemon Trainer,0.0,{'0': 1},
37,Lucas,0.0,{'0': 4},
37,Olimar,0.0,{'0': 3},
37,ROB,0.0,{'0': 1},
37,Toon Link,0.0,{'0': 2},
37,Sephiroth,0.0,{'0': 7},
37,Villager,0.0,{'0': 3},
37,Mega Man,0.0,{'0': 1},
37,Wii Fit Trainer,0.0,{'0': 3},
37,Rosalina and Luma,0.0,{'0': 1},
37,Greninja,0.0,{'0': 2},
37,Robin,0.0,{'0': 2},
37,Shulk,0.0,{'0': 1},
37,Bowser Jr,0.0,{'0': 2},
37,Duck Hunt,0.0,{'0': 2},
37,Ryu,0.0,{'0': 2},
37,Ken,0.0,{'0': 2},
37,Corrin,0.0,{'0': 2},
37,Inkling,0.0,{'0': 2},
37,Simon,0.0,{'0': 3},
37,Richter,0.0,{'0': 2},
37,Isabelle,0.0,{'0': 2},
37,Incineroar,0.0,{'0': 1},
37,Piranha Plant,0.0,{'0': 3},
37,Hero,0.0,{'0': 2},
37,Banjo and Kazooie,0.0,{'0': 3},
37,Terry,0.0,{'0': 4},
37,Steve,0.0,{'0': 5},
37,Kazuya,0.0,{'0': 3},
37,Mii Brawler,0.0,{'0': 3},
37,Mii Gunner,0.0,{'0': 1},
