rank,character,read_value,candidates,correct
1,Link,28.0,{'28': 3},
1,Min Min,28.0,{'28': 3},
3,Ike,25.0,{'25': 3},
4,Ganondorf,24.0,{'24': 3},
5,Snake,22.0,{'22': 3},
6,Cloud,18.0,{'18': 6},
7,Sonic,16.0,{'16': 6},
8,Donkey Kong,13.0,{'13': 6},
9,Byleth,9.0,"{'9': 2, '5': 1}",
9,Mii Swordsman,9.0,"{'9': 2, '5': 1}",
11,Young Link,7.0,{'7': 3},
12,Sora,2.0,{'2': 3},
13,Samus,1.0,{'1': 3},
13,Bowser,1.0,{'1': 3},
13,Marth,1.0,{'1': 3},
13,Lucina,1.0,{'1': 3},
13,Chrom,1.0,{'1': 3},
13,Diddy Kong,1.0,{'1': 3},
13,Pac-Man,1.0,{'1': 3},
13,King K Rool,1.0,{'1': 6},
21,Kirby,0.0,{'0': 2},
21,Fox,0.0,{'0': 2},
21,Luigi,0.0,{'0': 2},
21,Ness,0.0,{'0': 1},
21,Captain Falcon,0.0,{'0': 1},
21,Sheik,0.0,{'0': 1},
21,Zelda,0.0,{'0': 4},
21,Wario,0.0,{'0': 3},
21,King Dedede,0.0,{'0': 2},
21,Lucario,0.0,{'0': 2},
21,Little Mac,0.0,{'0': 3},
21,Palutena,0.0,{'0': 1},
21,Bayonetta,0.0,{'0': 1},
21,Ridley,0.0,{'0': 4},
21,Joker,0.0,{'0': 2},
21,Pyra-Mythra,0.0,{'0': 1},
21,Mario,0.0,{'0': 2},
21,Dark Samus,0.0,{'0': 3},
21,Yoshi,0.0,{'0': 2},
21,Pikachu,0.0,{'0': 1},
21,Jigglypuff,0.0,{'0': 3},
21,Peach,0.0,{'0': 2},
21,Daisy,0.0,{'0': 1},
21,Ice Climbers,0.0,{'0': 2},
21,Dr Mario,0.0,{'0': 1},
21,Pichu,0.0,{'0': 3},
21,Falco,0.0,{'0': 1},
21,Mewtwo,0.0,{'0': 3},
21,Roy,0.0,{'0': 3},
21,Mr Game and Watch,0.0,{'0': 2},
21,Meta Knight,0.0,{'0': 2},
21,Pit,0.0,{'0': 3},
21,Dark Pit,0.0,{'0': 1},
21,Zero Suit Samus,0.0,{'0': 1},
21,Pokemon Trainer,0.0,{'0': 3},
21,Lucas,0.0,{'0': 3},
21,Olimar,0.0,{'0': 1},
21,ROB,0.0,{'0': 1},
21,Toon Link,0.0,{'0': 3},
21,Sephiroth,0.0,{'0': 4},
21,Villager,0.0,{'0': 1},
21,Mega Man,0.0,{'0': 3},
21,Wii Fit Trainer,0.0,{'0': 3},
21,Rosalina and Luma,0.0,{'0': 1},
21,Greninja,0.0,{'0': 2},
21,Robin,0.0,{'0': 1},
21,Shulk,0.0,{'0': 2},
21,Bowser Jr,0.0,{'0': 2},
21,Duck Hunt,0.0,{'0': 3},
21,Ryu,0.0,{'0': 3},
21,Ken,0.0,{'0': 1},
21,Corrin,0.0,{'0': 2},
21,Inkling,0.0,{'0': 3},
21,Simon,0.0,{'0': 2},
21,Richter,0.0,{'0': 1},
21,Isabelle,0.0,{'0': 2},
21,Incineroar,0.0,{'0': 3},
21,Piranha Plant,0.0,{'0': 2},
21,Hero,0.0,{'0': 2},
21,Banjo and Kazooie,0.0,{'0': 5},
21,Terry,0.0,{'0': 5},
21,Steve,0.0,{'0': 2},
21,Kazuya,0.0,{'0': 1},
21,Mii Brawler,0.0,{'0': 3},
21,Mii Gunner,0.0,{'0': 1},
