rank,character,read_value,candidates,correct
1,Cloud,14.0,{'14': 3},
2,Sonic,8.0,{'8': 3},
3,Link,7.0,{'7': 3},
3,Snake,7.0,{'7': 3},
5,Donkey Kong,6.0,{'6': 3},
6,Min Min,5.0,"{'9': 2, '5': 2, '2': 2}",
7,Ganondorf,4.0,{'4': 6},
8,Samus,2.0,{'2': 6},
8,Young Link,2.0,{'2': 3},
8,King Dedede,2.0,{'2': 3},
8,Little Mac,2.0,{'2': 3},
8,Mii Swordsman,2.0,{'2': 3},
13,Kirby,1.0,{'1': 3},
13,Fox,1.0,{'1': 3},
13,Luigi,1.0,{'1': 3},
13,Captain Falcon,1.0,{'1': 3},
13,Zelda,1.0,{'1': 3},
13,Wario,1.0,{'1': 3},
13,Ike,1.0,{'1': 3},
13,Lucario,1.0,{'1': 3},
13,Palutena,1.0,{'1': 3},
13,Pac-Man,1.0,{'1': 3},
13,Ridley,1.0,{'1': 3},
13,Joker,1.0,{'1': 3},
13,Byleth,1.0,{'1': 3},
13,Pyra-Mythra,1.0,{'1': 3},
27,Ness,0.0,{'0': 2},
27,Bowser,0.0,{'0': 2},
27,Sheik,0.0,{'0': 1},
27,Marth,0.0,{'0': 2},
27,Lucina,0.0,{'0': 2},
27,Chrom,0.0,{'0': 2},
27,Diddy Kong,0.0,{'0': 2},
27,Bayonetta,0.0,{'0': 2},
27,Sora,0.0,{'0': 2},
27,Mario,0.0,{'0': 2},
27,Dark Samus,0.0,{'0': 1},
27,Yoshi,0.0,{'0': 3},
27,Pikachu,0.0,{'0': 2},
27,Jigglypuff,0.0,{'0': 2},
27,Peach,0.0,{'0': 1},
27,Daisy,0.0,{'0': 2},
27,Ice Climbers,0.0,{'0': 1},
27,Dr Mario,0.0,{'0': 2},
27,Pichu,0.0,{'0': 2},
27,Falco,0.0,{'0': 2},
27,Mewtwo,0.0,{'0': 2},
27,Roy,0.0,{'0': 1},
27,Mr Game and Watch,0.0,{'0': 1},
27,Meta Knight,0.0,{'0': 2},
27,Pit,0.0,{'0': 2},
27,Dark Pit,0.0,{'0': 1},
27,Zero Suit Samus,0.0,{'0': 3},
27,Pokemon Trainer,0.0,{'0': 2},
27,Lucas,0.0,{'0': 1},
27,Olimar,0.0,{'0': 2},
27,ROB,0.0,{'0': 2},
27,Toon Link,0.0,{'0': 2},
27,Wolf,0.0,{'0': 1},
27,Villager,0.0,{'0': 2},
27,Mega Man,0.0,{'0': 2},
27,Wii Fit Trainer,0.0,{'0': 1},
27,Rosalina and Luma,0.0,{'0': 1},
27,Greninja,0.0,{'0': 2},
27,Robin,0.0,{'0': 1},
27,Shulk,0.0,{'0': 2},
27,Bowser Jr,0.0,{'0': 2},
27,Duck Hunt,0.0,{'0': 2},
27,Ryu,0.0,{'0': 1},
27,Ken,0.0,{'0': 1},
27,Corrin,0.0,{'0': 1},
27,Inkling,0.0,{'0': 1},
27,Simon,0.0,{'0': 1},
27,Richter,0.0,{'0': 1},
27,Isabelle,0.0,{'0': 1},
27,Incineroar,0.0,{'0': 1},
27,Piranha Plant,0.0,{'0': 2},
27,Hero,0.0,{'0': 7},
27,Banjo and Kazooie,0.0,{'0': 2},
27,Terry,0.0,{'0': 4},
27,Steve,0.0,{'0': 2},
27,Sephiroth,0.0,{'0': 4},
27,Kazuya,0.0,{'0': 5},
27,Mii Brawler,0.0,{'0': 3},
27,Mii Gunner,0.0,{'0': 2},
