rank,character,read_value,candidates,correct
1,Link,24.0,{'24': 3},
2,Snake,22.0,{'22': 3},
3,Sonic,18.0,{'18': 3},
4,Min Min,16.0,{'16': 3},
5,Cloud,15.0,{'15': 3},
6,Ike,14.0,{'14': 6},
7,Donkey Kong,12.0,{'12': 6},
8,Young Link,9.0,{'9': 4},
9,Ganondorf,7.0,{'7': 3},
10,Byleth,6.0,{'6': 3},
11,Mii Swordsman,5.0,"{'9': 2, '5': 1}",
12,Samus,3.0,{'3': 3},
13,Captain Falcon,2.0,{'2': 3},
14,Sheik,1.0,{'1': 3},
14,Marth,1.0,{'1': 3},
14,Diddy Kong,1.0,{'1': 3},
14,Palutena,1.0,{'1': 3},
14,Joker,1.0,{'1': 3},
14,Sora,1.0,{'1': 3},
20,Kirby,0.0,{'0': 2},
20,Fox,0.0,{'0': 3},
20,Luigi,0.0,{'0': 1},
20,Ness,0.0,{'0': 2},
20,Bowser,0.0,{'0': 1},
20,Zelda,0.0,{'0': 2},
20,Lucina,0.0,{'0': 2},
20,Chrom,0.0,{'0': 4},
20,Wario,0.0,{'0': 2},
20,King Dedede,0.0,{'0': 2},
20,Lucario,0.0,{'0': 2},
20,Little Mac,0.0,{'0': 2},
20,Pac-Man,0.0,{'0': 1},
20,Bayonetta,0.0,{'0': 1},
20,Ridley,0.0,{'0': 1},
20,King K Rool,0.0,{'0': 1},
20,Pyra-Mythra,0.0,{'0': 2},
20,Mario,0.0,{'0': 2},
20,Dark Samus,0.0,{'0': 2},
20,Yoshi,0.0,{'0': 1},
20,Pikachu,0.0,{'0': 1},
20,Jigglypuff,0.0,{'0': 2},
20,Peach,0.0,{'0': 2},
20,Daisy,0.0,{'0': 1},
20,Ice Climbers,0.0,{'0': 2},
20,Dr Mario,0.0,{'0': 1},
20,Pichu,0.0,{'0': 1},
20,Falco,0.0,{'0': 1},
20,Mewtwo,0.0,{'0': 2},
20,Roy,0.0,{'0': 2},
20,Mr Game and Watch,0.0,{'0': 1},
20,Meta Knight,0.0,{'0': 2},
20,Pit,0.0,{'0': 2},
20,Dark Pit,0.0,{'0': 1},
20,Zero Suit Samus,0.0,{'0': 2},
20,Pokemon Trainer,0.0,{'0': 1},
20,Lucas,0.0,{'0': 2},
20,Olimar,0.0,{'0': 3},
20,ROB,0.0,{'0': 2},
20,Toon Link,0.0,{'0': 2},
20,Sephiroth,0.0,{'0': 6},
20,Villager,0.0,{'0': 1},
20,Mega Man,0.0,{'0': 1},
20,Wii Fit Trainer,0.0,{'0': 3},
20,Rosalina and Luma,0.0,{'0': 3},
20,Greninja,0.0,{'0': 1},
20,Robin,0.0,{'0': 1},
20,Shulk,0.0,{'0': 3},
20,Bowser Jr,0.0,{'0': 2},
20,Duck Hunt,0.0,{'0': 1},
20,Ryu,0.0,{'0': 3},
20,Ken,0.0,{'0': 2},
20,Corrin,0.0,{'0': 1},
20,Inkling,0.0,{'0': 2},
20,Simon,0.0,{'0': 2},
20,Richter,0.0,{'0': 1},
20,Isabelle,0.0,{'0': 2},
20,Incineroar,0.0,{'0': 1},
20,Piranha Plant,0.0,{'0': 1},
20,Hero,0.0,{'0': 4},
20,Banjo and Kazooie,0.0,{'0': 3},
20,Terry,0.0,{'0': 4},
20,Steve,0.0,{'0': 4},
20,Kazuya,0.0,{'0': 3},
20,Mii Brawler,0.0,{'0': 2},
20,Mii Gunner,0.0,{'0': 2},
