rank,character,read_value,candidates,correct
1,Snake,136.0,{'136': 3},
2,Link,111,{'111': 3},
3,Cloud,106.0,{'106': 3},
4,Sonic,98.0,{'98': 3},
5,Ike,88.0,{'88': 3},
6,Donkey Kong,85.0,{'85': 6},
7,Min Min,69.0,{'69': 6},
8,Ganondorf,59.0,{'59': 6},
9,Young Link,42.0,{'42': 3},
10,Mii Swordsman,29.0,"{'29': 2, '290': 1}",
11,Samus,23.0,{'23': 3},
12,Byleth,21.0,"{'21': 2, '2': 1}",
13,Captain Falcon,9.0,{'9': 1},
13,Little Mac,9.0,{'9': 1},
15,Joker,8.0,{'8': 2},
16,Kirby,6.0,{'6': 3},
16,Zelda,6.0,{'6': 3},
16,King Dedede,6.0,{'6': 3},
16,Lucario,6.0,{'6': 3},
16,Pac-Man,6.0,{'6': 3},
21,Palutena,5.0,{'5': 1},
22,Fox,3.0,{'3': 3},
22,Luigi,3.0,{'3': 3},
22,Ness,3.0,{'3': 3},
22,Bowser,3.0,{'3': 3},
22,Lucina,3.0,{'3': 3},
22,Chrom,3.0,{'3': 3},
22,Wario,3.0,{'3': 3},
22,Bayonetta,3.0,{'3': 3},
22,Ridley,3.0,{'3': 3},
22,King K Rool,3.0,{'3': 3},
22,Pyra-Mythra,3.0,{'3': 3},
33,Sheik,2.0,{'2': 3},
33,Marth,2.0,{'2': 6},
33,Diddy Kong,2.0,{'2': 3},
33,Sora,2.0,{'2': 3},
37,Mario,0.0,{'0': 2},
37,Dark Samus,0.0,{'0': 3},
37,Yoshi,0.0,{'0': 3},
37,Pikachu,0.0,{'0': 1},
37,Jigglypuff,0.0,{'0': 3},
37,Peach,0.0,{'0': 3},
37,Daisy,0.0,{'0': 1},
37,Ice Climbers,0.0,{'0': 2},
37,Dr Mario,0.0,{'0': 2},
37,Pichu,0.0,{'0': 1},
37,Falco,0.0,{'0': 2},
37,Mewtwo,0.0,{'0': 3},
37,Roy,0.0,{'0': 1},
37,Mr Game and Watch,0.0,{'0': 1},
37,Meta Knight,0.0,{'0': 2},
37,Pit,0.0,{'0': 3},
37,Dark Pit,0.0,{'0': 1},
37,Zero Suit Samus,0.0,{'0': 2},
37,Pokemon Trainer,0.0,{'0': 3},
37,Lucas,0.0,{'0': 2},
37,Olimar,0.0,{'0': 2},
37,ROB,0.0,{'0': 1},
37,Toon Link,0.0,{'0': 3},
37,Sephiroth,0.0,{'0': 5},
37,Villager,0.0,{'0': 2},
37,Mega Man,0.0,{'0': 1},
37,Wii Fit Trainer,0.0,{'0': 1},
37,Rosalina and Luma,0.0,{'0': 1},
37,Greninja,0.0,{'0': 1},
37,Robin,0.0,{'0': 2},
37,Shulk,0.0,{'0': 2},
37,Bowser Jr,0.0,"{'0': 1, '6': 1}",
37,Duck Hunt,0.0,{'0': 2},
37,Ryu,0.0,{'0': 2},
37,Ken,0.0,{'0': 3},
37,Corrin,0.0,{'0': 2},
37,Inkling,0.0,{'0': 2},
37,Simon,0.0,{'0': 3},
37,Richter,0.0,{'0': 2},
37,Isabelle,0.0,{'0': 2},
37,Incineroar,0.0,{'0': 1},
37,Piranha Plant,0.0,{'0': 1},
37,Hero,0.0,{'0': 3},
37,Banjo and Kazooie,0.0,{'0': 3},
37,Terry,0.0,{'0': 6},
37,Steve,0.0,{'0': 2},
37,Kazuya,0.0,{'0': 4},
37,Mii Brawler,0.0,{'0': 3},
37,Mii Gunner,0.0,{'0': 1},
