rank,character,read_value,candidates,correct
1,Sheik,100.0,{'100.0': 3},
1,Marth,100.0,{'100.0': 3},
1,Diddy Kong,100.0,{'100.0': 3},
1,Sora,100.0,{'100.0': 3},
5,Palutena,50.0,{'50.0': 3},
6,Min Min,33.33,{'33.33': 4},
7,Mii Swordsman,27.27,{'27.27': 6},
8,Byleth,25.0,{'25.0': 6},
9,Link,24.39,{'24.39': 3},
10,Samus,22.22,{'22.22': 3},
11,Snake,20.0,{'20.0': 3},
12,Ganondorf,19.04,{'19.04': 3},
13,Ike,18.18,{'18.18': 3},
14,Sonic,17.94,{'17.94': 3},
15,Donkey Kong,13.33,{'13.33': 3},
15,Young Link,13.33,{'13.33': 3},
17,Cloud,10.25,{'10.25': 3},
18,Kirby,0.0,{'0.0': 3},
18,Fox,0.0,{'0.0': 3},
18,Luigi,0.0,{'0.0': 6},
18,Ness,0.0,{'0.0': 3},
18,Captain Falcon,0.0,{'0.0': 3},
18,Bowser,0.0,{'0.0': 3},
18,Zelda,0.0,{'0.0': 3},
18,Lucina,0.0,{'0.0': 3},
18,Chrom,0.0,{'0.0': 3},
18,Wario,0.0,{'0.0': 3},
18,King Dedede,0.0,{'0.0': 3},
18,Lucario,0.0,{'0.0': 3},
18,Little Mac,0.0,{'0.0': 3},
18,Pac-Man,0.0,{'0.0': 3},
18,Bayonetta,0.0,{'0.0': 3},
18,Ridley,0.0,{'0.0': 3},
18,King K Rool,0.0,{'0.0': 3},
18,Joker,0.0,{'0.0': 3},
18,Pyra-Mythra,0.0,{'0.0': 3},
18,Mario,0.0,{'0.0': 3},
18,Dark Samus,0.0,{'0.0': 3},
18,Yoshi,0.0,{'0.0': 3},
18,Pikachu,0.0,{'0.0': 3},
18,Jigglypuff,0.0,{'0.0': 3},
18,Peach,0.0,{'0.0': 3},
18,Daisy,0.0,{'0.0': 3},
18,Ice Climbers,0.0,{'0.0': 3},
18,Dr Mario,0.0,{'0.0': 3},
18,Pichu,0.0,{'0.0': 3},
18,Falco,0.0,{'0.0': 3},
18,Mewtwo,0.0,{'0.0': 3},
18,Roy,0.0,{'0.0': 6},
18,Mr Game and Watch,0.0,{'0.0': 3},
18,Meta Knight,0.0,{'0.0': 3},
18,Pit,0.0,{'0.0': 3},
18,Dark Pit,0.0,{'0.0': 3},
18,Zero Suit Samus,0.0,{'0.0': 3},
18,Pokemon Trainer,0.0,{'0.0': 3},
18,Lucas,0.0,{'0.0': 3},
18,Olimar,0.0,{'0.0': 3},
18,ROB,0.0,{'0.0': 3},
18,Toon Link,0.0,{'0.0': 3},
18,Wolf,0.0,{'0.0': 3},
18,Villager,0.0,{'0.0': 3},
18,Mega Man,0.0,{'0.0': 3},
18,Wii Fit Trainer,0.0,{'0.0': 3},
18,Rosalina and Luma,0.0,{'0.0': 3},
18,Greninja,0.0,{'0.0': 3},
18,Robin,0.0,{'0.0': 3},
18,Shulk,0.0,{'0.0': 3},
18,Bowser Jr,0.0,{'0.0': 3},
18,Duck Hunt,0.0,{'0.0': 3},
18,Ryu,0.0,{'0.0': 3},
18,Ken,0.0,{'0.0': 3},
18,Corrin,0.0,{'0.0': 3},
18,Inkling,0.0,{'0.0': 3},
18,Simon,0.0,{'0.0': 3},
18,Richter,0.0,{'0.0': 3},
18,Isabelle,0.0,{'0.0': 3},
18,Incineroar,0.0,{'0.0': 3},
18,Piranha Plant,0.0,{'0.0': 3},
18,Hero,0.0,{'0.0': 6},
18,Banjo and Kazooie,0.0,{'0.0': 6},
18,Terry,0.0,{'0.0': 6},
18,Steve,0.0,{'0.0': 6},
18,Sephiroth,0.0,{'0.0': 6},
18,Kazuya,0.0,{'0.0': 6},
18,Mii Brawler,0.0,{'0.0': 3},
18,Mii Gunner,0.0,{'0.0': 3},
