rank,character,read_value,candidates,correct
1,Banjo and Kazooie,86178.0,{'86178': 3},
2,ROB,57399,{'57399': 3},
3,Yoshi,55129.0,"{'99129': 2, '55129': 1}",
4,Byleth,54096.0,"{'4096': 4, '54096': 2}",
5,King K Rool,52853.0,"{'92853': 4, '52853': 2}",
6,Ike,45806.0,{'45806': 6},
7,Piranha Plant,41303.0,{'41303': 6},
8,King Dedede,30945.0,{'30945': 6},
9,Wolf,29080.0,"{'29080': 3, '1209': 3, '1027': 3}",
10,Bowser Jr,27330.0,{'27330': 3},
11,Mii Brawler,25500.0,{'25500': 3},
12,Luigi,20740.0,{'20740': 3},
13,Captain Falcon,20173.0,{'20173': 3},
14,Pac-Man,15563.0,{'15563': 3},
15,Mr Game and Watch,15075.0,{'15075': 3},
16,Duck Hunt,14319.0,{'14319': 3},
17,Ganondorf,12165.0,{'12165': 1},
18,Sora,11091.0,{'11091': 6},
19,Donkey Kong,10107.0,{'10107': 3},
20,Sephiroth,10021.0,{'10021': 3},
21,Peach,9410.0,{'9410': 3},
22,Roy,9142.0,{'9142': 3},
23,Kirby,8320.0,{'8320': 3},
24,Incineroar,7956.0,{'7956': 3},
25,Bowser,6282.0,{'6282': 3},
26,Toon Link,4961.0,{'4961': 3},
27,Marth,4364.0,{'4364': 3},
28,Sonic,3438.0,{'3438': 3},
29,Kazuya,2830.0,{'2830': 3},
30,Villager,2654.0,{'2654': 3},
31,Cloud,2625.0,{'2625': 3},
32,Ryu,2512.0,{'2512': 3},
33,Diddy Kong,2505.0,{'2505': 3},
34,Terry,2464.0,{'2464': 3},
35,Fox,2289.0,{'2289': 3},
36,Snake,2223.0,{'2223': 3},
37,Young Link,2173.0,{'2173': 3},
38,Richter,1897.0,{'1897': 3},
39,Dark Pit,1878.0,{'1878': 3},
40,Pit,1786.0,{'1786': 3},
41,Mario,1765.0,{'1765': 3},
42,Mii Swordsman,1540.0,{'1540': 3},
43,Simon,1121.0,"{'1121': 2, '21': 1}",
44,Little Mac,988.0,{'988': 3},
45,Falco,908.0,{'908': 3},
46,Joker,891.0,{'891': 3},
47,Palutena,843.0,{'843': 3},
48,Ridley,830.0,{'830': 3},
49,Dr Mario,727.0,{'727': 3},
50,Rosalina and Luma,579.0,"{'579': 2, '879': 1}",
51,Pikachu,564.0,"{'964': 2, '564': 1}",
52,Isabelle,560.0,"{'960': 2, '560': 1}",
53,Min Min,512.0,"{'912': 2, '512': 1}",
54,Olimar,504.0,"{'4': 2, '504': 1}",
55,Steve,502.0,{'502': 3},
56,Ness,487.0,{'487': 3},
56,Chrom,487.0,{'487': 3},
58,Zero Suit Samus,450.0,{'450': 3},
59,Lucina,429.0,{'429': 3},
60,Lucario,424.0,{'424': 3},
61,Ice Climbers,399.0,{'399': 3},
62,Ken,394.0,{'394': 3},
63,Hero,351.0,"{'31': 2, '351': 1}",
64,Pyra-Mythra,334.0,{'334': 3},
65,Samus,315.0,{'315': 3},
66,Pichu,314.0,{'314': 3},
67,Shulk,227.0,{'227': 3},
68,Link,173.0,{'173': 3},
69,Dark Samus,0.0,{'0': 2},
69,Jigglypuff,0.0,{'0': 1},
69,Daisy,0.0,{'0': 1},
69,Sheik,0.0,{'0': 3},
69,Zelda,0.0,{'0': 3},
69,Mewtwo,0.0,{'0': 3},
69,Pokemon Trainer,0.0,{'0': 3},
69,Lucas,0.0,{'0': 2},
69,Mega Man,0.0,{'0': 4},
69,Wii Fit Trainer,0.0,{'0': 3},
69,Greninja,0.0,{'0': 3},
69,Robin,0.0,{'0': 2},
69,Corrin,0.0,{'0': 5},
69,Bayonetta,0.0,{'0': 3},
69,Inkling,0.0,{'0': 1},
69,Mii Gunner,0.0,{'0': 2},
