rank,character,read_value,candidates,correct
1,Banjo and Kazooie,37117.0,{'37117': 3},
2,ROB,29629.0,{'29629': 3},
3,Yoshi,29373.0,{'29373': 3},
4,Ike,22200.0,{'22200': 6},
5,King K Rool,22066.0,{'22066': 6},
6,Byleth,21742.0,{'21742': 6},
7,Piranha Plant,20842.0,{'20842': 6},
8,Bowser Jr,14676.0,{'14676': 6},
9,King Dedede,14214.0,{'14214': 3},
10,Wolf,12605.0,"{'12605': 3, '609': 3, '389': 3}",
11,Mii Brawler,12048.0,{'12048': 6},
12,Mr Game and Watch,9831.0,{'9831': 3},
13,Luigi,9679.0,{'9679': 3},
14,Captain Falcon,9416.0,{'9416': 3},
15,Pac-Man,7896.0,{'7896': 3},
16,Duck Hunt,5551.0,"{'9951': 2, '5551': 1}",
17,Sora,5464.0,"{'9464': 2, '5464': 1}",
18,Roy,4498.0,{'4498': 6},
19,Kirby,4474.0,{'4474': 3},
20,Ganondorf,4344.0,{'4344': 3},
21,Donkey Kong,4127.0,{'4127': 3},
22,Sephiroth,3800.0,{'3800': 3},
23,Peach,3489.0,{'3489': 3},
24,Incineroar,2917.0,{'2917': 3},
25,Bowser,2385.0,{'2385': 6},
26,Marth,2299.0,{'2299': 3},
27,Toon Link,2247.0,{'2247': 3},
28,Sonic,2237.0,"{'223': 2, '2237': 1}",
29,Cloud,1312.0,{'1312': 3},
30,Diddy Kong,1288.0,{'1288': 3},
31,Villager,1100.0,{'1100': 3},
32,Fox,1019.0,{'1019': 3},
33,Terry,1017.0,{'1017': 3},
34,Kazuya,986.0,{'986': 3},
35,Ryu,951.0,{'951': 3},
36,Mario,868.0,{'868': 3},
37,Snake,850.0,{'850': 3},
38,Pit,765.0,{'765': 3},
39,Dark Pit,750.0,{'750': 3},
40,Richter,693.0,{'693': 3},
41,Mii Swordsman,605.0,{'605': 3},
42,Falco,517.0,"{'917': 2, '517': 1}",
43,Simon,486.0,{'486': 3},
44,Ridley,380.0,{'380': 6},
45,Joker,372.0,{'372': 3},
46,Pikachu,350.0,{'350': 3},
47,Isabelle,330.0,{'330': 3},
48,Dr Mario,322.0,{'322': 3},
49,Little Mac,302.0,{'302': 3},
50,Ness,295.0,{'295': 3},
51,Palutena,287.0,{'287': 3},
52,Zero Suit Samus,242.0,{'242': 3},
53,Rosalina and Luma,240.0,{'240': 3},
54,Min Min,232.0,{'232': 3},
55,Chrom,228.0,{'228': 3},
56,Ice Climbers,194.0,{'194': 3},
57,Lucina,189.0,{'189': 3},
58,Steve,182.0,{'182': 6},
59,Olimar,173.0,{'173': 3},
60,Ken,164.0,{'164': 3},
61,Pichu,137.0,{'137': 3},
62,Lucario,132.0,{'132': 3},
63,Hero,120.0,{'120': 3},
64,Pyra-Mythra,118.0,{'118': 3},
65,Samus,105.0,{'105': 3},
66,Link,102.0,{'102': 3},
67,Shulk,64.0,{'64': 3},
68,Dark Samus,0.0,"{'0': 2, '5': 1}",
68,Jigglypuff,0.0,{'0': 2},
68,Daisy,0.0,{'0': 2},
68,Sheik,0.0,{'0': 2},
68,Zelda,0.0,{'0': 2},
68,Mewtwo,0.0,{'0': 3},
68,Pokemon Trainer,0.0,{'0': 1},
68,Lucas,0.0,{'0': 2},
68,Mega Man,0.0,{'0': 4},
68,Wii Fit Trainer,0.0,{'0': 5},
68,Greninja,0.0,{'0': 4},
68,Robin,0.0,{'0': 4},
68,Corrin,0.0,{'0': 3},
68,Bayonetta,0.0,{'0': 3},
68,Inkling,0.0,{'0': 2},
68,Mii Gunner,0.0,{'0': 2},
