rank,character,read_value,candidates,correct
1,Banjo and Kazooie,66742.0,{'66742': 3},
2,King K Rool,41158.0,{'41158': 3},
3,ROB,39663.0,{'39663': 3},
4,Byleth,39131.0,{'39131': 4},
5,Yoshi,35834.0,{'35834': 6},
6,Ike,31455.0,{'31455': 6},
7,Piranha Plant,26732.0,{'26732': 6},
8,Wolf,22995.0,"{'22995': 6, '859': 3, '785': 3}",
9,King Dedede,21729.0,{'21729': 3},
10,Mii Brawler,17383.0,{'17383': 3},
11,Bowser Jr,17247.0,{'17247': 3},
12,Luigi,15154.0,{'15154': 3},
13,Captain Falcon,13615.0,{'13615': 3},
14,Duck Hunt,11803.0,{'11803': 3},
15,Pac-Man,11316.0,"{'11316': 2, '14316': 1}",
16,Ganondorf,10503.0,{'10503': 3},
17,Mr Game and Watch,8848.0,{'8848': 3},
18,Peach,8358.0,{'8358': 6},
19,Sephiroth,8355.0,{'8355': 3},
20,Donkey Kong,8333.0,{'8333': 3},
21,Sora,8054.0,{'8054': 3},
22,Roy,6504.0,{'6504': 3},
23,Incineroar,6502.0,{'6502': 3},
24,Kirby,5696.0,"{'9696': 2, '5696': 1}",
25,Bowser,5053.0,"{'9053': 2, '5053': 1}",
26,Toon Link,3606.0,{'3606': 3},
27,Marth,3187.0,{'3187': 3},
28,Kazuya,2441.0,{'2441': 3},
29,Villager,2386.0,{'2386': 3},
30,Ryu,1946.0,{'1946': 3},
31,Terry,1882.0,{'1882': 3},
32,Cloud,1803.0,{'1803': 3},
33,Fox,1641.0,{'1641': 6},
34,Diddy Kong,1634.0,{'1634': 3},
35,Young Link,1628.0,{'1628': 3},
36,Sonic,1606.0,{'1606': 3},
37,Snake,1554.0,{'1554': 3},
38,Pit,1472.0,{'1472': 3},
39,Richter,1461.0,{'1461': 3},
40,Dark Pit,1432.0,{'1432': 3},
41,Mario,1284.0,{'1284': 3},
42,Mii Swordsman,1260.0,{'1260': 3},
43,Simon,805.0,{'805': 3},
44,Little Mac,780.0,{'780': 3},
45,Joker,689.0,{'689': 3},
46,Palutena,638.0,{'638': 3},
47,Dr Mario,512.0,"{'912': 2, '512': 1}",
48,Ridley,507.0,"{'907': 2, '507': 1}",
49,Falco,506.0,{'506': 3},
50,Olimar,497.0,{'497': 3},
51,Min Min,490.0,{'490': 3},
52,Steve,452.0,{'452': 3},
53,Rosalina and Luma,434.0,{'434': 3},
54,Lucario,424.0,{'424': 3},
55,Lucina,400.0,{'400': 3},
56,Isabelle,353.0,{'353': 3},
57,Hero,350.0,{'350': 3},
58,Ken,305.0,{'305': 3},
59,Ice Climbers,296.0,{'296': 3},
60,Pikachu,288.0,{'288': 3},
61,Pyra-Mythra,280.0,"{'280': 2, '2800': 1}",
62,Samus,279.0,{'279': 3},
63,Ness,254.0,{'254': 3},
64,Zero Suit Samus,252.0,"{'2352': 2, '252': 1}",
65,Chrom,231.0,{'231': 3},
66,Shulk,224.0,{'224': 6},
67,Pichu,200.0,{'200': 3},
68,Link,108.0,{'108': 3},
69,Dark Samus,0.0,{'0': 2},
69,Jigglypuff,0.0,{'0': 3},
69,Daisy,0.0,{'0': 2},
69,Sheik,0.0,{'0': 2},
69,Zelda,0.0,{'0': 5},
69,Mewtwo,0.0,{'0': 1},
69,Pokemon Trainer,0.0,{'0': 1},
69,Lucas,0.0,{'0': 1},
69,Mega Man,0.0,{'0': 5},
69,Wii Fit Trainer,0.0,{'0': 4},
69,Greninja,0.0,{'0': 2},
69,Robin,0.0,{'0': 1},
69,Corrin,0.0,{'0': 3},
69,Bayonetta,0.0,{'0': 2},
69,Inkling,0.0,{'0': 2},
69,Mii Gunner,0.0,{'0': 3},
