rank,character,read_value,candidates,correct
1,Banjo and Kazooie,75611.0,{'75611': 3},
2,ROB,34014.0,{'34014': 3},
3,Byleth,33333.0,{'33333': 3},
4,Yoshi,28978.0,{'28978': 6},
5,Ike,28663.0,{'28663': 6},
6,King K Rool,20408.0,{'20408': 6},
7,Mii Brawler,17339.0,{'17339': 6},
8,King Dedede,16546.0,{'16546': 6},
9,Wolf,16128.0,"{'16128': 3, '980': 3, '954': 3}",
10,Bowser Jr,14978.0,{'14978': 3},
11,Captain Falcon,13452.0,{'13452': 3},
12,Luigi,11840.0,{'11840': 3},
13,Piranha Plant,11522.0,"{'11522': 2, '14522': 1}",
14,Pac-Man,8000.0,{'8000': 3},
15,Roy,7240.0,{'7240': 3},
16,Duck Hunt,6930.0,{'6930': 3},
17,Ganondorf,6594.0,{'6594': 3},
18,Sora,6379.0,{'6379': 6},
19,Donkey Kong,6279.0,{'6279': 3},
20,Mr Game and Watch,6086.0,{'6086': 3},
21,Sephiroth,5951.0,"{'9951': 2, '5951': 1}",
22,Peach,5875.0,{'5875': 3},
23,Incineroar,5025.0,{'5025': 3},
24,Kirby,3871.0,{'3871': 3},
25,Marth,3526.0,{'3526': 6},
26,Bowser,3073.0,{'3073': 3},
27,Cloud,2745.0,{'2745': 3},
28,Toon Link,2698.0,{'2698': 3},
29,Ryu,2359.0,{'2359': 3},
30,Terry,1920.0,{'1920': 3},
31,Kazuya,1804.0,{'1804': 3},
32,Villager,1762.0,{'1762': 6},
33,Pit,1760.0,{'1760': 3},
34,Dark Pit,1593.0,{'1593': 3},
35,Sonic,1560.0,{'1560': 3},
36,Diddy Kong,1475.0,{'1475': 3},
37,Fox,1431.0,{'1431': 3},
38,Mario,1375.0,{'1375': 3},
39,Young Link,1261.0,{'1261': 3},
40,Mii Swordsman,1250.0,{'1250': 3},
41,Little Mac,1206.0,{'1206': 3},
42,Richter,1161.0,{'1161': 3},
43,Snake,1071.0,{'1071': 3},
44,Joker,751.0,"{'131': 2, '751': 1}",
45,Simon,718.0,{'718': 6},
46,Chrom,510.0,{'510': 3},
47,Dr Mario,490.0,{'490': 3},
48,Lucina,481.0,{'481': 3},
49,Falco,416.0,{'416': 3},
50,Palutena,402.0,{'402': 3},
51,Ness,386.0,{'386': 3},
52,Isabelle,373.0,"{'373': 2, '375': 1}",
53,Ken,368.0,{'368': 3},
54,Lucario,348.0,{'348': 3},
55,Zero Suit Samus,337.0,{'337': 3},
56,Olimar,308.0,{'308': 3},
57,Pikachu,300.0,{'300': 3},
58,Steve,299.0,{'299': 3},
59,Ice Climbers,280.0,{'280': 3},
60,Hero,245.0,{'245': 3},
61,Samus,213.0,"{'213': 2, '279': 1}",
62,Pyra-Mythra,204.0,{'204': 3},
63,Min Min,191.0,{'191': 3},
64,Rosalina and Luma,186.0,{'186': 3},
65,Link,182.0,{'182': 3},
66,Ridley,176.0,{'176': 6},
67,Shulk,100.0,{'100': 3},
68,Pichu,54.0,{'54': 3},
69,Dark Samus,0.0,{'0': 1},
69,Jigglypuff,0.0,{'0': 1},
69,Daisy,0.0,{'0': 2},
69,Sheik,0.0,{'0': 1},
69,Mewtwo,0.0,{'0': 2},
69,Pokemon Trainer,0.0,{'0': 2},
69,Lucas,0.0,{'0': 1},
69,Mega Man,0.0,{'0': 2},
69,Wii Fit Trainer,0.0,{'0': 3},
69,Greninja,0.0,{'0': 3},
69,Robin,0.0,{'0': 3},
69,Corrin,0.0,{'0': 3},
69,Bayonetta,0.0,{'0': 2},
69,Inkling,0.0,{'0': 2},
69,Mii Gunner,0.0,{'0': 2},
