rank,character,read_value,candidates,correct
1,Byleth,205.0,{'205': 3},
2,Banjo and Kazooie,204.0,{'204': 3},
3,Piranha Plant,170.0,{'170': 3},
4,Ike,144.0,{'144': 3},
5,King K Rool,89.0,{'89': 3},
6,ROB,80.0,{'80': 3},
7,Mii Brawler,69.0,{'69': 3},
8,Captain Falcon,61.0,{'61': 6},
9,Bowser Jr,56.0,"{'6': 2, '56': 1}",
10,King Dedede,55.0,"{'35': 2, '55': 1}",
11,Luigi,49.0,{'49': 3},
12,Yoshi,44.0,{'44': 3},
13,Wolf,36.0,"{'36': 3, '1': 3, '0': 4}",
14,Pac-Man,28.0,{'28': 3},
15,Donkey Kong,26.0,{'26': 6},
15,Duck Hunt,26.0,{'26': 3},
17,Kirby,24.0,{'24': 3},
18,Sephiroth,21.0,"{'21': 2, '2': 1}",
18,Sora,21.0,"{'21': 2, '2': 1}",
20,Ganondorf,18.0,{'18': 3},
21,Incineroar,17.0,"{'17': 2, '7': 1}",
22,Peach,16.0,{'16': 6},
23,Mr Game and Watch,15.0,{'15': 3},
24,Villager,11.0,"{'11': 2, '4': 1}",
25,Bowser,8.0,{'8': 2},
25,Kazuya,8.0,{'8': 2},
27,Roy,5.0,{'5': 1},
27,Pit,5.0,"{'6': 2, '5': 1}",
27,Snake,5.0,"{'5': 2, '3': 2}",
27,Sonic,5.0,"{'9': 2, '5': 1}",
27,Mii Swordsman,5.0,{'5': 3},
32,Toon Link,4.0,{'4': 3},
32,Terry,4.0,{'4': 3},
34,Chrom,3.0,{'3': 3},
34,Dark Pit,3.0,{'3': 3},
34,Diddy Kong,3.0,{'3': 3},
37,Zero Suit Samus,2.0,{'2': 3},
37,Ridley,2.0,{'2': 3},
37,Simon,2.0,{'2': 3},
37,Richter,2.0,{'2': 3},
37,Steve,2.0,{'2': 3},
37,Pyra-Mythra,2.0,{'2': 3},
43,Samus,1.0,{'1': 3},
43,Pikachu,1.0,{'1': 3},
43,Ness,1.0,{'1': 3},
43,Dr Mario,1.0,{'1': 3},
43,Pichu,1.0,{'1': 3},
43,Little Mac,1.0,{'1': 3},
43,Palutena,1.0,{'1': 3},
43,Ken,1.0,{'1': 6},
43,Isabelle,1.0,{'1': 3},
43,Joker,1.0,{'1': 3},
43,Hero,1.0,{'1': 3},
54,Mario,0.0,{'0': 3},
54,Link,0.0,{'0': 2},
54,Fox,0.0,{'0': 2},
54,Ice Climbers,0.0,{'0': 3},
54,Falco,0.0,{'0': 2},
54,Marth,0.0,{'0': 1},
54,Lucina,0.0,{'0': 3},
54,Young Link,0.0,{'0': 2},
54,Olimar,0.0,{'0': 1},
54,Lucario,0.0,{'0': 3},
54,Rosalina and Luma,0.0,{'0': 1},
54,Shulk,0.0,{'0': 2},
54,Ryu,0.0,{'0': 1},
54,Cloud,0.0,{'0': 3},
54,Min Min,0.0,{'0': 2},
54,Dark Samus,0.0,{'0': 2},
54,Jigglypuff,0.0,{'0': 3},
54,Daisy,0.0,{'0': 2},
54,Sheik,0.0,{'0': 2},
54,Zelda,0.0,{'0': 1},
54,Mewtwo,0.0,{'0': 3},
54,Pokemon Trainer,0.0,{'0': 3},
54,Lucas,0.0,{'0': 2},
54,Mega Man,0.0,{'0': 4},
54,Wii Fit Trainer,0.0,{'0': 1},
54,Greninja,0.0,{'0': 1},
54,Robin,0.0,{'0': 1},
54,Corrin,0.0,{'0': 3},
54,Bayonetta,0.0,{'0': 3},
54,Inkling,0.0,{'0': 2},
54,Mii Gunner,0.0,{'0': 1},
