rank,character,read_value,candidates,correct
1,Banjo and Kazooie,8.0,{'8': 2},
2,King K Rool,6.0,{'6': 3},
3,ROB,4.0,{'4': 3},
4,Luigi,3.0,{'3': 3},
5,Ike,2.0,{'2': 3},
5,Bowser Jr,2.0,{'2': 3},
7,Captain Falcon,1.0,{'1': 3},
7,Ganondorf,1.0,{'1': 3},
7,Roy,1.0,{'1': 3},
7,Pit,1.0,{'1': 3},
7,Wario,1.0,{'1': 3},
7,Snake,1.0,{'1': 3},
7,Toon Link,1.0,{'1': 3},
7,Incineroar,1.0,{'1': 3},
7,Piranha Plant,1.0,{'1': 3},
7,Sephiroth,1.0,{'1': 3},
7,Mii Brawler,1.0,{'1': 3},
18,Mario,0.0,{'0': 1},
18,Donkey Kong,0.0,{'0': 1},
18,Link,0.0,{'0': 1},
18,Samus,0.0,{'0': 2},
18,Yoshi,0.0,{'0': 1},
18,Kirby,0.0,{'0': 1},
18,Fox,0.0,{'0': 1},
18,Pikachu,0.0,{'0': 1},
18,Ness,0.0,{'0': 1},
18,Peach,0.0,{'0': 2},
18,Bowser,0.0,{'0': 3},
18,Ice Climbers,0.0,{'0': 1},
18,Dr Mario,0.0,{'0': 2},
18,Pichu,0.0,{'0': 2},
18,Falco,0.0,{'0': 1},
18,Marth,0.0,{'0': 2},
18,Lucina,0.0,{'0': 3},
18,Young Link,0.0,{'0': 1},
18,Chrom,0.0,{'0': 2},
18,Mr Game and Watch,0.0,{'0': 4},
18,Wolf,0.0,{'0': 3},
18,Dark Pit,0.0,{'0': 2},
18,Zero Suit Samus,0.0,{'0': 1},
18,Diddy Kong,0.0,{'0': 3},
18,Sonic,0.0,{'0': 2},
18,King Dedede,0.0,{'0': 2},
18,Olimar,0.0,{'0': 2},
18,Lucario,0.0,{'0': 3},
18,Villager,0.0,{'0': 2},
18,Rosalina and Luma,0.0,{'0': 1},
18,Little Mac,0.0,{'0': 2},
18,Palutena,0.0,{'0': 1},
18,Pac-Man,0.0,{'0': 2},
18,Shulk,0.0,{'0': 1},
18,Duck Hunt,0.0,{'0': 2},
18,Ryu,0.0,{'0': 1},
18,Ken,0.0,{'0': 1},
18,Cloud,0.0,{'0': 3},
18,Ridley,0.0,{'0': 3},
18,Simon,0.0,{'0': 1},
18,Richter,0.0,{'0': 2},
18,Isabelle,0.0,{'0': 2},
18,Joker,0.0,{'0': 1},
18,Hero,0.0,{'0': 2},
18,Terry,0.0,{'0': 1},
18,Byleth,0.0,{'0': 2},
18,Min Min,0.0,{'0': 2},
18,Steve,0.0,{'0': 1},
18,Pyra-Mythra,0.0,{'0': 2},
18,Kazuya,0.0,{'0': 1},
18,Sora,0.0,{'0': 1},
18,Mii Swordsman,0.0,{'0': 1},
18,Dark Samus,0.0,{'0': 2},
18,Jigglypuff,0.0,{'0': 2},
18,Daisy,0.0,{'0': 1},
18,Sheik,0.0,{'0': 2},
18,Zelda,0.0,{'0': 3},
18,Mewtwo,0.0,{'0': 1},
18,Pokemon Trainer,0.0,{'0': 1},
18,Lucas,0.0,{'0': 3},
18,Mega Man,0.0,{'0': 5},
18,Wii Fit Trainer,0.0,{'0': 4},
18,Greninja,0.0,{'0': 4},
18,Robin,0.0,{'0': 1},
18,Corrin,0.0,{'0': 3},
18,Bayonetta,0.0,{'0': 3},
18,Inkling,0.0,{'0': 2},
18,Mii Gunner,0.0,{'0': 3},
