rank,character,read_value,candidates,correct
1,Banjo and Kazooie,34.0,{'34': 3},
2,ROB,29.0,{'29': 3},
3,King K Rool,20.0,"{'20': 2, '200': 1}",
4,Bowser Jr,19.0,{'19': 6},
5,Wolf,18.0,"{'18': 6, '1': 3, '0': 1}",
6,Ike,17.0,"{'17': 4, '7': 2}",
7,Captain Falcon,16.0,{'16': 6},
7,Byleth,16.0,{'16': 6},
9,Yoshi,15.0,{'15': 3},
10,Sephiroth,14.0,{'14': 3},
11,Luigi,13.0,{'13': 4},
12,Piranha Plant,12.0,{'12': 3},
13,King Dedede,11.0,"{'11': 2, '4': 1}",
13,Mii Brawler,11.0,{'11': 2},
15,Incineroar,10.0,{'10': 3},
16,Mr Game and Watch,8.0,{'8': 3},
16,Duck Hunt,8.0,{'8': 2},
18,Ganondorf,7.0,{'7': 3},
18,Sora,7.0,{'7': 1},
20,Donkey Kong,6.0,{'6': 3},
20,Bowser,6.0,{'6': 3},
20,Roy,6.0,{'6': 2},
23,Peach,4.0,{'4': 3},
23,Snake,4.0,{'4': 3},
23,Pac-Man,4.0,{'4': 3},
26,Kirby,3.0,{'3': 3},
26,Diddy Kong,3.0,{'3': 1},
26,Toon Link,3.0,{'3': 3},
26,Terry,3.0,{'3': 3},
30,Marth,2.0,{'2': 3},
30,Sonic,2.0,{'2': 3},
30,Palutena,2.0,{'2': 3},
30,Ryu,2.0,{'2': 3},
30,Richter,2.0,{'2': 3},
30,Mii Swordsman,2.0,{'2': 3},
36,Mario,1.0,{'1': 3},
36,Samus,1.0,{'1': 3},
36,Fox,1.0,{'1': 3},
36,Pichu,1.0,{'1': 3},
36,Lucina,1.0,{'1': 6},
36,Young Link,1.0,{'1': 3},
36,Chrom,1.0,{'1': 3},
36,Pit,1.0,{'1': 3},
36,Dark Pit,1.0,{'1': 3},
36,Zero Suit Samus,1.0,{'1': 3},
36,Lucario,1.0,{'1': 3},
36,Villager,1.0,{'1': 3},
36,Little Mac,1.0,{'1': 3},
36,Shulk,1.0,{'1': 3},
36,Cloud,1.0,{'1': 3},
36,Ridley,1.0,{'1': 3},
36,Min Min,1.0,{'1': 3},
53,Link,0.0,{'0': 3},
53,Pikachu,0.0,{'0': 3},
53,Ness,0.0,{'0': 2},
53,Ice Climbers,0.0,{'0': 1},
53,Dr Mario,0.0,{'0': 2},
53,Falco,0.0,{'0': 2},
53,Olimar,0.0,{'0': 2},
53,Rosalina and Luma,0.0,{'0': 2},
53,Ken,0.0,{'0': 3},
53,Simon,0.0,{'0': 2},
53,Isabelle,0.0,{'0': 1},
53,Joker,0.0,{'0': 2},
53,Hero,0.0,{'0': 2},
53,Steve,0.0,{'0': 2},
53,Pyra-Mythra,0.0,{'0': 4},
53,Kazuya,0.0,{'0': 2},
53,Dark Samus,0.0,{'0': 1},
53,Jigglypuff,0.0,{'0': 1},
53,Daisy,0.0,{'0': 2},
53,Sheik,0.0,{'0': 2},
53,Zelda,0.0,{'0': 1},
53,Mewtwo,0.0,{'0': 6},
53,Pokemon Trainer,0.0,{'0': 2},
53,Lucas,0.0,{'0': 1},
53,Mega Man,0.0,{'0': 3},
53,Wii Fit Trainer,0.0,{'0': 6},
53,Greninja,0.0,{'0': 3},
53,Robin,0.0,{'0': 2},
53,Corrin,0.0,{'0': 3},
53,Bayonetta,0.0,{'0': 3},
53,Inkling,0.0,{'0': 1},
53,Mii Gunner,0.0,{'0': 1},
