rank,character,read_value,candidates,correct
1,Bowser Jr,6.0,{'6': 3},
2,Yoshi,2.0,{'2': 3},
2,Ike,2.0,{'2': 3},
2,King K Rool,2.0,{'2': 6},
5,Captain Falcon,1.0,{'1': 6},
5,Peach,1.0,{'1': 6},
5,Pichu,1.0,{'1': 6},
5,Pit,1.0,{'1': 6},
5,Diddy Kong,1.0,{'1': 3},
5,Duck Hunt,1.0,{'1': 3},
5,Piranha Plant,1.0,{'1': 3},
5,Sephiroth,1.0,{'1': 3},
5,Mii Brawler,1.0,{'1': 3},
14,Mario,0.0,{'0': 1},
14,Donkey Kong,0.0,{'0': 3},
14,Link,0.0,{'0': 3},
14,Samus,0.0,"{'0': 2, '4': 1}",
14,Kirby,0.0,{'0': 5},
14,Fox,0.0,{'0': 3},
14,Pikachu,0.0,{'0': 1},
14,Luigi,0.0,{'0': 2},
14,Ness,0.0,{'0': 3},
14,Bowser,0.0,{'0': 1},
14,Ice Climbers,0.0,{'0': 2},
14,Dr Mario,0.0,{'0': 3},
14,Falco,0.0,{'0': 2},
14,Marth,0.0,{'0': 2},
14,Lucina,0.0,{'0': 1},
14,Young Link,0.0,{'0': 2},
14,Ganondorf,0.0,{'0': 2},
14,Roy,0.0,{'0': 2},
14,Chrom,0.0,{'0': 2},
14,Mr Game and Watch,0.0,{'0': 2},
14,Meta Knight,0.0,{'0': 1},
14,Dark Pit,0.0,{'0': 2},
14,Zero Suit Samus,0.0,{'0': 1},
14,Wario,0.0,{'0': 3},
14,Snake,0.0,{'0': 1},
14,Sonic,0.0,{'0': 3},
14,King Dedede,0.0,{'0': 1},
14,Olimar,0.0,{'0': 2},
14,Lucario,0.0,{'0': 1},
14,ROB,0.0,{'0': 1},
14,Toon Link,0.0,{'0': 2},
14,Wolf,0.0,{'0': 3},
14,Villager,0.0,{'0': 3},
14,Rosalina and Luma,0.0,{'0': 5},
14,Little Mac,0.0,{'0': 2},
14,Palutena,0.0,{'0': 1},
14,Pac-Man,0.0,{'0': 1},
14,Shulk,0.0,{'0': 1},
14,Ryu,0.0,{'0': 3},
14,Ken,0.0,{'0': 2},
14,Cloud,0.0,{'0': 6},
14,Ridley,0.0,{'0': 1},
14,Simon,0.0,{'0': 2},
14,Richter,0.0,{'0': 1},
14,Isabelle,0.0,{'0': 3},
14,Incineroar,0.0,{'0': 2},
14,Joker,0.0,{'0': 2},
14,Hero,0.0,{'0': 4},
14,Banjo and Kazooie,0.0,{'0': 1},
14,Terry,0.0,{'0': 1},
14,Byleth,0.0,"{'0': 1, '4': 1}",
14,Min Min,0.0,{'0': 3},
14,Steve,0.0,{'0': 3},
14,Pyra-Mythra,0.0,{'0': 3},
14,Kazuya,0.0,{'0': 1},
14,Sora,0.0,{'0': 2},
14,Mii Swordsman,0.0,{'0': 1},
14,Dark Samus,0.0,{'0': 1},
14,Jigglypuff,0.0,{'0': 1},
14,Daisy,0.0,{'0': 3},
14,Sheik,0.0,{'0': 2},
14,Zelda,0.0,{'0': 2},
14,Mewtwo,0.0,{'0': 2},
14,Pokemon Trainer,0.0,{'0': 1},
14,Lucas,0.0,{'0': 1},
14,Mega Man,0.0,{'0': 4},
14,Wii Fit Trainer,0.0,{'0': 5},
14,Greninja,0.0,{'0': 4},
14,Robin,0.0,{'0': 4},
14,Corrin,0.0,{'0': 3},
14,Bayonetta,0.0,{'0': 3},
14,Inkling,0.0,{'0': 2},
14,Mii Gunner,0.0,{'0': 1},
