rank,character,read_value,candidates,correct
1,Link,100.0,{'100.0': 3},
1,Ness,100.0,{'100.0': 3},
1,Ice Climbers,100.0,{'100.0': 3},
1,Olimar,100.0,{'100.0': 6},
1,Rosalina and Luma,100.0,{'100.0': 6},
1,Ken,100.0,{'100.0': 6},
1,Hero,100.0,{'100.0': 6},
1,Steve,100.0,{'100.0': 6},
1,Pyra-Mythra,100.0,{'100.0': 3},
10,Kazuya,80.0,{'80.0': 3},
11,Yoshi,70.0,{'70.0': 3},
12,Mario,66.66,{'66.66': 3},
12,Dark Pit,66.66,{'66.66': 3},
14,Villager,62.5,{'62.5': 3},
15,Sonic,60.0,{'60.0': 3},
15,Bowser Jr,60.0,{'60.0': 3},
15,Sora,60.0,{'60.0': 3},
18,Dr Mario,50.0,"{'90.0': 2, '50.0': 1}",
18,Ganondorf,50.0,{'50.0': 3},
18,Ike,50.0,{'50.0': 3},
18,ROB,50.0,{'50.0': 3},
18,Ridley,50.0,{'50.0': 3},
18,Simon,50.0,{'50.0': 3},
18,Isabelle,50.0,"{'90.0': 2, '50.0': 1}",
18,Piranha Plant,50.0,"{'90.0': 2, '50.0': 1}",
18,Joker,50.0,{'50.0': 3},
18,Byleth,50.0,{'50.0': 3},
28,Kirby,40.0,{'40.0': 3},
28,Luigi,40.0,{'40.0': 3},
28,Mr Game and Watch,40.0,{'40.0': 3},
28,Duck Hunt,40.0,{'40.0': 3},
28,King K Rool,40.0,{'40.0': 3},
28,Banjo and Kazooie,40.0,{'40.0': 3},
34,Marth,37.5,{'37.5': 3},
35,Wolf,33.33,"{'33.33': 3, '20.0': 3, '0.0': 3}",
35,Ryu,33.33,{'33.33': 3},
35,Terry,33.33,"{'0.5': 2, '33.33': 1}",
38,Peach,30.0,{'30.0': 3},
38,Bowser,30.0,{'30.0': 3},
38,King Dedede,30.0,{'30.0': 3},
38,Pac-Man,30.0,{'30.0': 3},
38,Incineroar,30.0,{'30.0': 3},
38,Sephiroth,30.0,{'30.0': 3},
44,Fox,25.0,{'25.0': 3},
44,Young Link,25.0,{'25.0': 3},
44,Pit,25.0,{'25.0': 3},
44,Richter,25.0,{'25.0': 3},
44,Mii Swordsman,25.0,{'25.0': 3},
49,Donkey Kong,20.0,{'20.0': 3},
49,Roy,20.0,{'20.0': 3},
49,Diddy Kong,20.0,{'20.0': 3},
49,Mii Brawler,20.0,{'20.0': 3},
53,Snake,16.66,{'16.66': 3},
54,Captain Falcon,10.0,{'10.0': 3},
55,Samus,0.0,{'0.0': 3},
55,Pikachu,0.0,{'0.0': 3},
55,Pichu,0.0,{'0.0': 3},
55,Falco,0.0,{'0.0': 3},
55,Lucina,0.0,{'0.0': 3},
55,Chrom,0.0,{'0.0': 3},
55,Zero Suit Samus,0.0,{'0.0': 3},
55,Lucario,0.0,{'0.0': 3},
55,Toon Link,0.0,{'0.0': 3},
55,Little Mac,0.0,{'0.0': 3},
55,Palutena,0.0,{'0.0': 3},
55,Shulk,0.0,{'0.0': 3},
55,Min Min,0.0,{'0.0': 3},
55,Dark Samus,0.0,{'0.0': 3},
55,Jigglypuff,0.0,{'0.0': 3},
55,Daisy,0.0,{'0.0': 3},
55,Sheik,0.0,{'0.0': 3},
55,Zelda,0.0,{'0.0': 3},
55,Mewtwo,0.0,{'0.0': 3},
55,Pokemon Trainer,0.0,{'0.0': 3},
55,Lucas,0.0,{'0.0': 3},
55,Mega Man,0.0,{'0.0': 6},
55,Wii Fit Trainer,0.0,{'0.0': 6},
55,Greninja,0.0,{'0.0': 6},
55,Robin,0.0,{'0.0': 6},
55,Corrin,0.0,{'0.0': 6},
55,Bayonetta,0.0,{'0.0': 3},
55,Inkling,0.0,{'0.0': 3},
55,Mii Gunner,0.0,{'0.0': 3},
