rank,character,read_value,candidates,correct
1,Sephiroth,72170.0,{'72170': 1},
2,Ike,38903.0,{'38903': 3},
3,Lucario,29570.0,{'29570': 3},
4,Donkey Kong,6381.0,{'6381': 3},
5,Little Mac,5975.0,"{'9975': 2, '5975': 1}",
6,Captain Falcon,4764.0,{'4764': 3},
7,Roy,4405.0,{'4405': 3},
8,Ganondorf,4059.0,{'4059': 6},
9,Mr Game and Watch,3878.0,{'3878': 3},
10,Dark Pit,3200.0,{'3200': 3},
11,Sora,2871.0,{'2871': 3},
12,King K Rool,1768.0,{'1768': 3},
13,Simon,1513.0,{'1513': 3},
14,Bowser,1439.0,{'1439': 3},
15,Steve,1376.0,{'1376': 6},
16,Hero,1332.0,{'1332': 3},
17,Luigi,1296.0,{'1296': 3},
18,Byleth,1271.0,{'1271': 3},
19,Ice Climbers,1200.0,{'1200': 3},
20,Dr Mario,1170.0,{'1170': 3},
21,Zelda,1149.0,{'1149': 3},
22,Snake,1122.0,"{'2': 2, '1122': 1}",
23,Pikachu,1121.0,"{'1121': 2, '1421': 1}",
24,King Dedede,1119.0,{'1119': 3},
25,Samus,1068.0,{'1068': 3},
26,Kirby,1031.0,{'1031': 3},
27,Jigglypuff,910.0,"{'910': 2, '9100': 1}",
28,Richter,903.0,{'903': 3},
29,Pit,898.0,{'898': 3},
30,Mega Man,880.0,"{'880': 4, '8380': 2}",
31,Fox,824.0,{'824': 3},
32,Duck Hunt,778.0,"{'778': 2, '178': 1}",
33,Toon Link,746.0,{'746': 3},
34,Greninja,739.0,{'739': 3},
35,Peach,714.0,"{'714': 2, '114': 1}",
36,Banjo and Kazooie,662.0,{'662': 3},
37,Wario,592.0,"{'992': 2, '592': 1}",
38,Cloud,522.0,"{'922': 2, '522': 1}",
39,Marth,520.0,{'520': 3},
40,Inkling,505.0,"{'905': 2, '505': 1}",
41,Bowser Jr,500.0,{'500': 3},
42,Meta Knight,499.0,{'499': 3},
43,Isabelle,440.0,{'440': 3},
44,Olimar,433.0,{'433': 3},
45,Robin,423.0,{'423': 3},
46,Joker,422.0,{'422': 3},
46,Mii Swordsman,422.0,{'422': 3},
48,Corrin,382.0,{'382': 3},
49,Sheik,359.0,{'359': 3},
49,Young Link,359.0,"{'359': 2, '355': 1}",
51,Link,330.0,{'330': 3},
52,Shulk,294.0,{'294': 6},
53,Falco,290.0,{'290': 3},
54,Terry,278.0,{'278': 3},
55,Wolf,274.0,{'274': 3},
56,Sonic,266.0,{'266': 3},
57,Diddy Kong,264.0,{'264': 3},
58,Pyra-Mythra,260.0,{'260': 3},
59,Ryu,226.0,{'226': 6},
60,Kazuya,212.0,{'212': 3},
61,Rosalina and Luma,154.0,{'154': 3},
62,Mario,0.0,{'0': 2},
62,Dark Samus,0.0,{'0': 2},
62,Yoshi,0.0,{'0': 1},
62,Ness,0.0,{'0': 1},
62,Daisy,0.0,{'0': 4},
62,Pichu,0.0,{'0': 2},
62,Lucina,0.0,{'0': 3},
62,Mewtwo,0.0,{'0': 1},
62,Chrom,0.0,{'0': 2},
62,Zero Suit Samus,0.0,{'0': 2},
62,Pokemon Trainer,0.0,{'0': 2},
62,Lucas,0.0,{'0': 4},
62,ROB,0.0,{'0': 2},
62,Villager,0.0,{'0': 1},
62,Wii Fit Trainer,0.0,{'0': 2},
62,Palutena,0.0,{'0': 1},
62,Pac-Man,0.0,{'0': 1},
62,Ken,0.0,{'0': 2},
62,Bayonetta,0.0,{'0': 4},
62,Ridley,0.0,{'0': 2},
62,Incineroar,0.0,{'0': 2},
62,Piranha Plant,0.0,{'0': 2},
62,Min Min,0.0,{'0': 1},
62,Mii Brawler,0.0,{'0': 1},
62,Mii Gunner,0.0,{'0': 2},
