rank,character,read_value,candidates,correct
1,Sephiroth,44375.0,"{'44375': 1, '261': 3}",
2,Ike,19490.0,{'19490': 3},
3,Lucario,16684.0,{'16684': 3},
4,Captain Falcon,4981.0,{'4981': 3},
5,Little Mac,3093.0,{'3093': 3},
6,Donkey Kong,3089.0,{'3089': 3},
7,Mr Game and Watch,2617.0,{'2617': 3},
8,Sora,2555.0,{'2555': 6},
9,Roy,2099.0,{'2099': 3},
10,Dark Pit,1626.0,{'1626': 3},
11,Bowser,1443.0,{'1443': 3},
12,Ganondorf,1258.0,{'1258': 3},
13,Samus,979.0,{'979': 3},
14,Ice Climbers,940.0,{'940': 3},
15,Greninja,840.0,{'840': 6},
16,King K Rool,823.0,{'823': 3},
17,Kirby,803.0,{'803': 3},
18,Richter,771.0,"{'771': 2, '171': 1}",
19,Hero,749.0,{'749': 3},
20,Dr Mario,717.0,"{'717': 2, '17': 1}",
21,Fox,673.0,{'673': 3},
22,Simon,671.0,{'671': 3},
23,Duck Hunt,628.0,{'628': 3},
24,Mega Man,619.0,{'619': 3},
25,King Dedede,612.0,{'612': 3},
26,Steve,601.0,{'601': 3},
27,Toon Link,585.0,"{'985': 2, '585': 1}",
28,Snake,563.0,{'563': 3},
29,Luigi,534.0,{'534': 3},
29,Pit,534.0,"{'34': 2, '534': 1}",
31,Pikachu,523.0,"{'323': 2, '523': 1}",
32,Meta Knight,465.0,{'465': 3},
33,Isabelle,457.0,{'457': 3},
34,Zelda,450.0,{'450': 3},
35,Jigglypuff,410.0,{'410': 3},
36,Wario,395.0,{'395': 3},
36,Cloud,395.0,{'395': 3},
38,Inkling,384.0,{'384': 3},
39,Sheik,381.0,{'381': 3},
40,Banjo and Kazooie,377.0,{'377': 3},
41,Byleth,367.0,{'367': 3},
42,Mii Swordsman,314.0,{'314': 3},
43,Peach,305.0,{'305': 3},
44,Robin,263.0,{'263': 3},
45,Wolf,261.0,{'261': 3},
46,Falco,251.0,{'251': 3},
47,Olimar,242.0,{'242': 3},
48,Sonic,228.0,{'228': 3},
49,Corrin,210.0,{'210': 3},
50,Marth,209.0,{'209': 3},
51,Pyra-Mythra,204.0,{'204': 3},
52,Young Link,198.0,{'198': 6},
53,Shulk,191.0,{'191': 3},
54,Joker,180.0,{'180': 3},
55,Bowser Jr,167.0,{'167': 3},
56,Diddy Kong,162.0,{'162': 3},
56,Terry,162.0,{'162': 3},
58,Ryu,147.0,{'147': 3},
59,Kazuya,83.0,{'83': 6},
60,Rosalina and Luma,78.0,{'78': 3},
61,Link,74.0,"{'74': 2, '4': 1}",
62,Mario,0.0,{'0': 2},
62,Dark Samus,0.0,{'0': 2},
62,Yoshi,0.0,{'0': 1},
62,Ness,0.0,{'0': 1},
62,Daisy,0.0,{'0': 1},
62,Pichu,0.0,{'0': 2},
62,Lucina,0.0,{'0': 3},
62,Mewtwo,0.0,{'0': 3},
62,Chrom,0.0,{'0': 2},
62,Zero Suit Samus,0.0,{'0': 2},
62,Pokemon Trainer,0.0,{'0': 2},
62,Lucas,0.0,{'0': 3},
62,ROB,0.0,{'0': 5},
62,Villager,0.0,{'0': 2},
62,Wii Fit Trainer,0.0,{'0': 1},
62,Palutena,0.0,{'0': 2},
62,Pac-Man,0.0,{'0': 2},
62,Ken,0.0,{'0': 2},
62,Bayonetta,0.0,{'0': 3},
62,Ridley,0.0,{'0': 2},
62,Incineroar,0.0,{'0': 1},
62,Piranha Plant,0.0,{'0': 1},
62,Min Min,0.0,{'0': 2},
62,Mii Brawler,0.0,{'0': 2},
62,Mii Gunner,0.0,{'0': 2},
