rank,character,read_value,candidates,correct
1,Simon,63.0,{'63': 3},
2,Richter,34.0,{'34': 3},
3,Sephiroth,25.0,"{'25': 3, '0': 1}",
4,Ike,22.0,{'22': 3},
5,Sheik,16.0,{'16': 3},
6,Lucario,9.0,"{'9': 1, '2': 1}",
7,Mr Game and Watch,3.0,{'3': 3},
7,Dark Pit,3.0,{'3': 6},
9,Captain Falcon,2.0,{'2': 3},
9,Zelda,2.0,{'2': 3},
9,Snake,2.0,{'2': 3},
9,Hero,2.0,{'2': 3},
13,Donkey Kong,1.0,{'1': 3},
13,Roy,1.0,{'1': 3},
13,Wario,1.0,{'1': 6},
13,Diddy Kong,1.0,{'1': 3},
13,Robin,1.0,{'1': 3},
13,Bowser Jr,1.0,{'1': 3},
13,Isabelle,1.0,{'1': 3},
13,Kazuya,1.0,{'1': 3},
21,Link,0.0,{'0': 1},
21,Samus,0.0,{'0': 2},
21,Kirby,0.0,{'0': 1},
21,Fox,0.0,{'0': 1},
21,Pikachu,0.0,{'0': 2},
21,Luigi,0.0,{'0': 1},
21,Jigglypuff,0.0,{'0': 1},
21,Peach,0.0,{'0': 2},
21,Bowser,0.0,{'0': 3},
21,Ice Climbers,0.0,{'0': 2},
21,Dr Mario,0.0,{'0': 1},
21,Falco,0.0,{'0': 2},
21,Marth,0.0,{'0': 1},
21,Young Link,0.0,{'0': 1},
21,Ganondorf,0.0,{'0': 3},
21,Meta Knight,0.0,{'0': 4},
21,Pit,0.0,{'0': 2},
21,Sonic,0.0,{'0': 3},
21,King Dedede,0.0,{'0': 1},
21,Olimar,0.0,{'0': 1},
21,Toon Link,0.0,{'0': 2},
21,Mega Man,0.0,{'0': 2},
21,Rosalina and Luma,0.0,{'0': 1},
21,Little Mac,0.0,{'0': 3},
21,Greninja,0.0,{'0': 2},
21,Shulk,0.0,{'0': 1},
21,Duck Hunt,0.0,{'0': 2},
21,Ryu,0.0,{'0': 1},
21,Cloud,0.0,{'0': 2},
21,Corrin,0.0,{'0': 2},
21,Inkling,0.0,{'0': 2},
21,King K Rool,0.0,{'0': 2},
21,Joker,0.0,{'0': 1},
21,Banjo and Kazooie,0.0,{'0': 1},
21,Terry,0.0,{'0': 1},
21,Byleth,0.0,{'0': 1},
21,Steve,0.0,{'0': 2},
21,Pyra-Mythra,0.0,{'0': 2},
21,Sora,0.0,{'0': 1},
21,Mii Swordsman,0.0,{'0': 1},
21,Mario,0.0,{'0': 1},
21,Dark Samus,0.0,{'0': 2},
21,Yoshi,0.0,{'0': 3},
21,Ness,0.0,{'0': 4},
21,Daisy,0.0,{'0': 2},
21,Pichu,0.0,{'0': 1},
21,Lucina,0.0,{'0': 1},
21,Mewtwo,0.0,{'0': 1},
21,Chrom,0.0,{'0': 1},
21,Zero Suit Samus,0.0,{'0': 2},
21,Pokemon Trainer,0.0,{'0': 2},
21,Lucas,0.0,{'0': 1},
21,ROB,0.0,{'0': 2},
21,Villager,0.0,{'0': 2},
21,Wii Fit Trainer,0.0,{'0': 2},
21,Palutena,0.0,{'0': 1},
21,Pac-Man,0.0,{'0': 2},
21,Ken,0.0,{'0': 4},
21,Bayonetta,0.0,{'0': 3},
21,Ridley,0.0,{'0': 3},
21,Incineroar,0.0,{'0': 2},
21,Piranha Plant,0.0,{'0': 4},
21,Min Min,0.0,{'0': 3},
21,Mii Brawler,0.0,{'0': 3},
21,Mii Gunner,0.0,"{'0': 3, '4': 1}",
